,headline,date,snippet,source
13,Meet Celia Pym — knitwear’s own ‘damage detective’,24/02/2018,The submitted piece? An Albemarle “Norwegian Sweater” (pictured left) that she picked up from Annemor Sundbo’s Ragpile collection in Norway.,reuters
14,Tracking Tesla Lithium groups follow electric-car maker’s stops and starts,10/04/2018,"That was enough, say industry analysts, to cast a shadow over companies including Albemarle, the largest producer of the electric-car battery raw material, and Nemaska Lithium, which is developing a mining project in Canada.",reuters
15,FMC eyes next-generation batteries in lithium producer Livent’s New York IPO,29/08/2018,"Shares in the world’s largest producer, Albemarle, have dropped 24 per cent year to date while Chile’s SQM is off by 27 per cent.",reuters
16,Volta joins battle for battery breakthrough,11/01/2018,"Backed by Albemarle, one of the world’s largest lithium producers, and US utility Exelon, the fund’s ambition is to invest in those companies whose battery technologies will triumph in the global battle to dominate electric cars and energy storage.",reuters
17,Buffett bets on lithium with extraction deal,21/01/2019,"producers in Chile and Australia. The only current US supply comes from the Silver Peak mine in Nevada, run by Albemarle.",reuters
18,Powering the battery supply chain,23/05/2019,"After that the market was dominated by a cosy oligopoly known as the Big Three: SQM of Chile, which was controlled by the son-in-law of the country’s former dictator Augusto Pinochet, and US producers Albemarle and FMC. In 2015, Albemarle acquired rival US producer Rockwood and last year FMC...",reuters
19,Miners plug into electric car story to win green investors,30/06/2017,"That has thrust miners such as Rio and Glencore, and lithium miners such as Albemarle on to investors’ radars. But Glencore is also a big miner of thermal coal, which most sustainable investors eschew. Rio is divesting from coal but still mines uranium, which is used in nuclear power.",reuters
20,Rio Tinto hails ‘eureka moment’ after large lithium discovery in California,23/10/2019,"The only lithium produced in the US is extracted from brine in Silver Peak, Nevada, in a facility owned by producer Albemarle. But the company does not disclose how much is produced and analysts said it was not substantial.",reuters
21,Trio of lithium IPOs will fuel debate on electric vehicles,30/08/2018,"The largest producers in Chile — Albemarle and SQM — have pledged to expand supply while a host of new mines are being developed, spanning Canada to Australia.",reuters
22,Tianqi Lithium buys into Chile’s SQM,18/05/2018,"Tianqi already owns a 51 per cent stake in the Greenbushes mine in Australia, with US lithium producer Albemarle owning the rest. It also owns lithium assets in Sichuan and Tibet.",reuters
23,BlackRock bets big on lithium’s electric-car future,16/09/2017,"Lithium production is currently dominated by four large players, Chile’s SQM, FMC, Albemarle and Tianqi Lithium. But a host of smaller companies are racing to bring supply to the market and get their material approved for use in batteries.",reuters
24,Short View,18/01/2018,"The Solactive Global Lithium index not only has lithium makers such as US listed Albemarle and FMC Corp, it also contains car-makers Tesla and BYD.",reuters
25,Evonik eyes takeover bid for Clariant,27/03/2015,acquisition of speciality chemical maker Taminco for $1.8bn. That followed Albemarle’s $6.2bn takeover of lithium specialist Rockwood.,reuters
26,Europe’s big batteries push promises relief at last for investors,25/09/2019,"A strong European electric car market would also be a relief for investors, following falls in share prices for almost all companies involved in the battery supply chain this year — from battery materials producer Umicore, to cobalt miners such as Glencore, and lithium producers such as Albemarle.",reuters
27,China’s ambitious investment push into Chile reflects shift in region’s political winds,26/02/2019,"It also required Tianqi to tell regulators about future lithium deals struck with SQM or Albemarle, its main rival, a sign of scepticism about the influence wielded by Chinese companies in critical industries.",reuters
28,Lithium faces $5bn test as supplier stake sale electrifies buyer interest,17/02/2018,"Sociedad Química y Minera de Chile (SQM) accounts for more than 20 per cent of the world’s lithium supply, making it one of five companies that dominate the global market alongside China’s Ganfeng, Tianqi Lithium, FMC and Albemarle.",reuters
29,Lithium bottlenecks threaten to fuel supercycle,09/06/2017,"The growing anxiety about supply comes as the production of lithium remains dominated by a handful of companies: Albemarle, Sociedad Química y Minera de Chile, and Chinese producers Tianqi Lithium and Ganfeng Lithium, which produce from Australia.",reuters
30,Obama leaves a case of environmental whiplash for carmakers and Trump,10/12/2016,"One industry is quite happy with the climate-policy-based electric vehicle tilt: lithium mining and processing. Shares of Albemarle Corporation, which supplies 30 to 35 per cent of the raw material for lithium batteries, have more than doubled over the past year.",reuters
31,Ready to roll,05/11/2016,"His favourite project is in the uplands of Albemarle County in the Piedmont region, between the James river and the Blue Ridge mountains.",reuters
32,Batteries power Tianqi’s quest for lithium producer,29/09/2016,"Tianqi already produces lithium from the Greenbushes lithium mine in Australia, the other big source of lithium outside South America, in a joint venture with US producer Albemarle. This month, it announced plans to invest $300m in a lithium conversion facility in Australia.",reuters
33,Investors grapple with the great resource shift,18/08/2016,"His fund has holdings in lithium miners Albemarle and FMC, battery material supplier Umicore, and carbon fibre maker Hexcel.",reuters
34,Chile’s buried treasure,09/07/2016,"Almost all of the world’s lithium comes from just four countries — Chile, Australia, Argentina and China — while just four companies control most of the supply: Sociedad Química y Minera de Chile (SQM), a fertiliser producer that began mining lithium in the 1990s; two US producers, Albemarle and...",reuters
35,CHILE’S BURIED TREASURE,09/07/2016,"Almost all of the world’s lithium comes from just four countries – Chile, Australia, Argentina and China – while just four companies control most of the world’s supply: Sociedad Química y Minera de Chile (SQM), a fertiliser producer that began mining lithium in the 1990s; two US producers, Albemarle...",reuters
36,RPT-Chilean lithium miner SQM dealt blow by environmental court ruling,28/12/2019,"Albemarle, both of which operate in the salt flats of the Atacama",reuters
37,Lithium miner SQM considering options after environmental court ruling,27/12/2019,"Albemarle, both of which operate in the salt flats of the Atacama",reuters
38,Chilean lithium miner SQM dealt blow by environmental court ruling,26/12/2019,"competitor Albemarle , both of which operate in the salt flats",reuters
39,Nemaska Lithium seeks creditor protection amid industry supply woes,23/12/2019,producer Albemarle Corp warned last month that challenging market,reuters
40,RPT-COLUMN-Unexpected bump on the EV road hits battery metals: Andy Home,18/12/2019,", chiefexecutive of Albemarle Corp, the world's largest producer bullish on the long-term story.Albemarle forecasts lithium demand",reuters
41,COLUMN-Unexpected bump on the EV road hits battery metals: Andy Home,18/12/2019,"back in 2017,"" according to Luke Kissam, chiefexecutive of Albemarle.Albemarle forecasts lithium demand to hit one million tonnesby 2025",reuters
42,Australia's Mineral Resources flags lower lithium sale price at WA project,12/12/2019,Albemarle Corp haddecided to pause operations at the Wodgina Project due,reuters
43,Albemarle CEO says long-term lithium demand remains 'robust',12/12/2019,"(Reuters) - Albemarle Corp, the world's largest lithium producer as shareholder anxiety about Albemarle and its peers has escalated in recent",reuters
44,Chile eyes state-backed lithium push in far-flung salt flats,03/12/2019,Lithium giants Albemarle  and SQM  have,reuters
45,"Lithium miner SQM dodges impacts from Chile protests, hit by lower prices",21/11/2019,""" Albemarle, SQM´s top competitor and neighbor on Chile's Atacama salt flat",reuters
46,Lithium producers hit by first big downturn of electric vehicle era,13/11/2019,"bruising for investors eager to help combat climate change.Albemarle.""Current market conditions are challenging,"" Luke Kissam, Albemarle's chief",reuters
47,"Albemarle's lithium prowess questioned by analysts, dragging on shares",08/11/2019,"By Ernest Scheyder(Reuters) - Albemarle Corp's lithium business lithium than the EV industry needs this year, prompting Albemarle",reuters
48,Albemarle warns of 'challenging' lithium market through next year,07/11/2019,By Ernest Scheyder(Reuters) - Albemarle Corp  Chief Executive Officer Luke Kissam told,reuters
49,Albemarle plans $100 million cost cuts to counter low prices,06/11/2019,"(Reuters) - Albemarle Corp said on Wednesday it had started a cost, but had not specified an amount.Albemarle did not provide any further",reuters
50,Albemarle targets over $100 mln in cost savings,06/11/2019,Nov 6 (Reuters) - Albemarle Corp said on Wednesdayit had started notspecified any amount.Albemarle did not provide additional,reuters
51,Livent CEO sees 'difficult environment' for lithium producers,06/11/2019,"primarily sells one specific type of the white metal, hydroxide. Albemarle  and Albemarle Corp  are the only lithium",reuters
52,DIARY-U.S. earnings week ahead,01/11/2019,Release 06-Nov-2019 AMC ALB Albemarle Corp Q3 2019 Albemarle Corp Earnings,reuters
53,Downturn in battery raw materials claims more Australian victims,01/11/2019,"outlook for demand. Major lithium producer Albemarle, which took control",reuters
54,"Mineral Resources, Albemarle pause Wodgina output on weak lithium market",31/10/2019,"newly formed joint venture with Albemarle Corp had decided to pause concluded the sale of a 60% interest in Wodgina to Albemarle, said",reuters
55,"LME to launch lithium committee including Tesla, Albemarle",29/10/2019,"Australia, BASF and Chile-focused Albemarle, the LME said. Demand for lithium launch.However, Albemarle, the biggest producer, has said",reuters
56,LMEWEEK-LME's planned lithium committee to include Tesla and Albemarle,29/10/2019,and Albemarle.Lithium is used in batteries that power electric vehicles,reuters
57,"Stung by sliding prices, lithium industry pares back expansions",28/10/2019,"By Ernest Scheyder(Reuters) - Albemarle Corp, SQM and other lithium began, many U.S. shale companies are not profitable. Albemarle",reuters
58,"LME WEEK-Stung by sliding prices, lithium industry pares back expansions",28/10/2019,"By Ernest ScheyderOct 28 (Reuters) - Albemarle Corp, SQM andother companies are notprofitable.Albemarle, the world's largest lithium",reuters
59,Chile protesters block access to lithium operations: local leader,25/10/2019,"-based Albemarle .Sergio Cubillos, president of the Atacama the region but had been unable to do so.Cubillos said Albemarle's",reuters
60,Chile protesters block access to lithium operations - local leader,25/10/2019,"Albemarle.Sergio Cubillos, president of the Atacama IndigenousCouncil unable to do so.Cubillos said Albemarle's operations had also been",reuters
61,Albemarle cuts 2019 forecast on lithium price pressure,24/10/2019,"(Reuters) - Albemarle Corp , the world's largest lithium to $6.65.Albemarle also trimmed its 2019 net sales forecast range to $3.6",reuters
62,Rio Tinto studying ways to produce lithium from waste rock at California mine,21/10/2019,"brine project in Silver Peak, Nevada, controlled by, Albemarle",reuters
63,Russia's Rosatom may buy controlling stake in Chile lithium project,15/10/2019,"and Albemarle , accounts for around one-third the world's supply",reuters
64,PRESS DIGEST-British Business - Sept 18,17/09/2019,the plug onits Albemarle and Bond business amid concern that its losses,reuters
65,"Chile taps China, Japan in lithium-for-tech push; faces tough sell",17/09/2019,"Albemarle, the world's top producer, extracting the coveted metal from",reuters
66,PRESS DIGEST-British Business - Sept 17,16/09/2019,"Pawnbroker Albemarle & Bond has been criticised for""woefully",reuters
67,Tianqi starts lithium battery chemical production in Western Australia,11/09/2019,Lithium — a joint venture between it and Albemarle Corp of the United,reuters
68,Chile's Codelco to decide by early 2020 on Maricunga lithium project,30/08/2019,"budged inrecent years.Chile's two lone producers, SQM and Albemarle Corp of the sprawling Salar de Atacama in northernChile, home to SQM and Albemarle",reuters
69,Chilean miner SQM profits plunge alongside lithium price,22/08/2019,industry leader Albemarle Corp fell 4.4% and Livent Corp dropped 5.6 producer Albemarle said earlier this month it would delay construction,reuters
70,Chile's SQM profits plummet on falling lithium prices,22/08/2019,investments.World top lithium producer Albemarle said earlierthis month,reuters
71,"Australia shares edge up, led by banks and small miners; NZ rises too",08/08/2019,"%, respectively.The world's biggest lithium producer Albemarle Corpsaid",reuters
72,"Albemarle to delay construction plans for 125,000 tons of lithium processing",08/08/2019,(Reuters) - Albemarle Corp  said on Thursday it would a change in the country's electric vehicle subsidies.Albemarle said,reuters
73,"Albemarle to delay construction of 125,000 tons of lithium processing capacity",08/08/2019,Aug 8 (Reuters) - Albemarle Corp said on Thursday itwould delay batteries has pushed down prices.Albemarle said the plan would reduce,reuters
74,COLUMN-Glencore and the perils of riding the electric vehicle tiger: Andy Home,08/08/2019,of the world's top lithium producersAlbemarle has done something similar,reuters
75,"Australia shares climb on miners' gains, solid China trade data",08/08/2019,"sharp overnight gains for Albemarle Corp, the world's largest lithium",reuters
76,"Australia shares supported by miners, NZ edges up; sentiment still fragile",07/08/2019,"surge after solid Albemarle Corp results* AGL Energy leads losses, surgingover 7% after the world's largest lithium producer Albemarle",reuters
77,"Chemicals maker Albemarle profit beats, raises 2019 earnings forecast",07/08/2019,"(Reuters) - Albemarle Corp  beat quarterly profit subsidies. To cope with the weakness, Albemarle early this month revised its",reuters
78,Lithium producer Albemarle raises 2019 adjusted profit forecast,07/08/2019,Aug 7 (Reuters) - Albemarle Corp raised its 2019 adjusted profit,reuters
79,Deals of the day-Mergers and acquisitions,01/08/2019,", theEconomic Times (ET) reported.** Albemarle Corp, the world's largest",reuters
80,Chile's Codelco announces joint lithium project with Salar Blanco,01/08/2019,"to top lithium producers Albemarle and SQM, but Salar Blanco has",reuters
81,"Australian, NZ shares slip as Fed rules out lengthy easing after rate cut",31/07/2019,sale to AlbemarleBy Aditya SoniAug 1 (Reuters) - Australian shares on the benchmark after it saidU.S.-based Albemarle Corp will take,reuters
82,Australia's Mineral Resources to sell larger stake in Wodgina to Albemarle,31/07/2019,"that Albemarle Corp, the world's largest lithiumproducer, would now buy a 60%.Albemarle will pay the mining services provider $1.3 billion",reuters
83,RPT-FOCUS-How lithium-rich Chile botched a plan to attract battery makers,17/07/2019,on the globe's top producer of lithium -Albemarle Corp - boosting. But Albemarle'sexpansion has been hampered by technological and regulatory,reuters
84,How lithium-rich Chile botched a plan to attract battery makers,17/07/2019,on the globe's top producer of lithium - Albemarle Corp - boosting output from. But Albemarle's expansion has been hampered by technological and regulatory hurdles,reuters
85,FOCUS-How lithium-rich Chile botched a plan to attract battery makers,17/07/2019,The deals hinged on the globe's top producer of lithium -Albemarle Corp factories. But Albemarle'sexpansion has been hampered by technological,reuters
86,METALS-Shanghai nickel hits 10-1/2-month high on Indonesian supply concerns,14/07/2019,Chilean lithium from top producer Albemarle.* For the top stories,reuters
87,Molymet drops plans for battery parts factory in Chile,13/07/2019,"guaranteed access to cheap Chilean lithium from topproducer Albemarle.Top lithium miner Albemarle, which produces lithium fromChile´s",reuters
88,Chile's Zaldivar mine asks for more time to answer questions amid Atacama water concerns,25/06/2019,""" The Atacama salt flat is home to lithium miners SQM and Albemarle Corp",reuters
89,RPT-COLUMN-Boom-and-bust lithium market needs a pricing rethink: Andy Home,24/06/2019,"://tmsnrt.rs/2ZJsukYBy Andy HomeLONDON, June 25 (Reuters) - Albemarle price for the newcontract, but Albemarle won't be contributing, for now",reuters
90,COLUMN-Boom-and-bust lithium market needs a pricing rethink: Andy Home,24/06/2019,"LONDON, June 24 (Reuters) - Albemarle Corp., theworld's largest lithium, but Albemarle won't be contributing, for now at least.It and other established",reuters
91,South Korea's POSCO drops plans for Chilean battery material plant,21/06/2019,guaranteed access to cheap lithium from top producer Albemarle. POSCO of batteries for electric vehicles (EV) but one not produced by Albemarle,reuters
92,Albemarle details efforts to boost its Chilean lithium output by 30 percent,11/06/2019,"By Ernest Scheyder and Dave Sherwood SANTIAGO (Reuters) - Albemarle ago, U.S.-based Albemarle announced it had developed a process",reuters
93,Albemarle declines to participate in LME lithium contract,11/06/2019,"By Ernest ScheyderSANTIAGO (Reuters) - Albemarle Corp, the world's market) is,"" David Ryan, Albemarle's head of corporate strategy",reuters
94,Chile to clean up rules for lithium industry to boost production,11/06/2019,´s production of the ultralight metal. Top producers SQM and Albemarle,reuters
95,Chile to push both private and public investment in lithium,11/06/2019,Chilerelies entirely on top producers SQM and AlbemarleCorp,reuters
96,Albemarle says won't participate in LME lithium contract,11/06/2019,"SANTIAGO, June 11 (Reuters) - Albemarle Corp, theworld's largest,and that's not what we believe this (lithium market) is,"" DavidRyan, Albemarle's",reuters
97,How much does lithium cost? The industry can't seem to agree,09/06/2019,", including global leader Albemarle Corp, sell nearly all of their lithium, a distinction many on Wall Street do not seem to make. Albemarle's",reuters
98,"Chile, once the world's lithium leader, loses ground to rivals",30/05/2019,"budged in recent years. Chile's two lone producers, SQM and Albemarle-growing market like lithium.""Rival Albemarle, the world's No. 1 lithium",reuters
99,U.S. Senate moves forward on plan to develop electric vehicle supply chain,14/05/2019,as conservative.Albemarle Corp operates the only U.S. lithium mine. The United States does have some processing capability. Albemarle and rival,reuters
100,U.S. faces hurdles in push to build electric vehicle supply chain,14/05/2019,and industry executives see as conservative.Albemarle Corp operates the only have some processing capability.Albemarle and rival Livent Corp,reuters
101,Livent executives to exit after lithium forecast slashed,10/05/2019,Livent rival Albemarle Corp has split its business focus between it from market gyrations. Albemarle posted a better-than-expected quarterly,reuters
