,headline,date,snippet,source
32,Australia lithium miner Altura says it has signed offtake deal with China's Ganfeng,09/11/2018,MELBOURNE (Reuters) - Australian lithium producer Altura Mining on Friday said it had signed a deal to supply Chinese battery giant Ganfeng,reuters
33,"Livent drops in IPO on lithium concerns, CEO sees spiking demand",11/10/2018,The drop came after Chinese rival Ganfeng Lithium sank 29 percent on its ownBy Ernest ScheyderHOUSTON (Reuters) - Lithium producer Livent Corp,reuters
34,Lithium producer Livent falls 3.6 percent in market debut,11/10/2018,near-term earnings prospects for lithium producers.China's Ganfeng(Reuters) - Lithium producer Livent Corp  fell 3.6,reuters
35,Lithium producer Livent falls 3.6 pct in market debut,11/10/2018,-term earnings prospects for lithium producers.China's Ganfeng LithiumOct 11 (Reuters) - Lithium producer Livent Corpfell 3.6 percent,reuters
36,"METALS-Base metal prices drop, track equities rout on macro fears",11/10/2018,with the matter said. * GANFENG: China's Ganfeng Lithium fell 20 by rival Tianqi Lithium. * For the top stories in metals and other news,reuters
37,China's Ganfeng Lithium set to open down 7 percent,10/10/2018,"HONG KONG, Oct 11 (Reuters) - China's top lithium producerGanfeng Lithium was set to open down 7 percent on itsHong Kong debut, a warning",reuters
38,China's Ganfeng Lithium prices HK listing at bottom of range - source,04/10/2018,"producerGanfeng Lithium, a supplier to carmakers such asTesla and BMWBy Julia FiorettiHONG KONG, Oct 4 (Reuters) - China's top lithium",reuters
39,Albemarle eyes future as pure-play lithium market leader,27/09/2018,"SQM, Tianqi and Ganfeng Lithium Co Ltd.It is that scale that Kissamlargest lithium producer, aims to eventually end its dependenceon two",reuters
40,Solid demand to underpin lithium as price slides in 2018,17/09/2018,",, and Japan's Jiangxi Ganfeng Lithium have sufferedBy Zandi ShabalalaLONDON (Reuters) - An oversupply of lithium",reuters
41,GRAPHIC-Solid demand to underpin lithium as price slides in 2018,17/09/2018,Ganfeng Lithiumhave suffered under pressure from commodity prices* Lithium prices decline in 2018: https://tmsnrt.rs/2N3g6cF* Lithium,reuters
42,China's Ganfeng Lithium files for Hong Kong listing,30/08/2018,"HONG KONG, Aug 31 (Reuters) - China's Ganfeng Lithium Co Ltdhas for lithium as electric cars becomemore mainstream.Ganfeng",reuters
43,China's Tianqi Lithium files for $1 billion Hong Kong listing: sources,20/08/2018,"Lithium Corp <002466.SZ> is looking to raise up to $1 billion in lithium prices, two people close to the deal told Reuters.The company",reuters
44,China's Tianqi Lithium seeks up to $1 billion in Hong Kong listing - sources,20/08/2018,"exchange website late on Monday.Its domestic counterpart - Ganfeng LithiumHONG KONG, Aug 20 (Reuters/IFR) - China's Tianqi LithiumCorp",reuters
45,China's Ganfeng buys SQM's stake in lithium project for $87.5 mln,13/08/2018,"Lithium for$87.5 million.The deal also stipulates that Ganfeng lithium producers, said on Monday that itagreed to sell its 50",reuters
46,Lithium Americas sees rapid development of major U.S. lithium project,21/06/2018,"and Chinese producer Ganfeng Lithium, creates battery-grade lithium in lessBy Susan TaylorTORONTO, June 21 (Reuters) - Lithium Americas Corp",reuters
47,Australia's Mineral Resources says to sell minority stake in lithium project,01/05/2018,"a joint venture with China's largest lithium producer, Jiangxi Ganfeng to sell a minority stake in its Wodgina Lithium mine in the west",reuters
48,Australia's Pilbara Minerals to ship first spodumene cargo to China in Aug,18/04/2018,"to one of the two key Chinese offtakersJiangxi Ganfeng Lithium Co Ltd the first cargo of spodumene concentrate, a mineralmined for its lithium",reuters
49,'Urban mining' in South Korea pulls rare battery materials from recycled tech,13/04/2018,"competitors such as China's Jiangxi Ganfeng Lithium <002460.SZ> and GEM, they are sorting through a pile of lithium-ion batteries from old mobile",reuters
50,'Urban mining' in S.Korea pulls rare battery materials from recycled tech,12/04/2018,"or refining ore.Instead, they are sorting through a pile of lithium-ion for overseas cobalt and lithiumfor electric vehicles pushes up",reuters
51,China's recyclers eye looming electric vehicle battery mountain,22/10/2017,"companies like Jiangxi Ganfeng Lithium and GEM Co. Ltd, whose share the benefits, including Jiangxi Ganfeng Lithium , Sinolink Securities",reuters
52,INSIGHT-China's recyclers eye looming electric vehicle battery mountain,22/10/2017,"Ganfeng Lithium and GEM Co. Ltd,whose share prices have risen Jiangxi Ganfeng Lithium, Sinolink Securities, a local brokerage, said",reuters
53,Chinese EV shares surge as government mulls petrol car ban,11/09/2017,", while lithium products maker Jiangxi Ganfeng Lithium Co Ltd rose more percent and 5.9 percent in Shanghai and Hong Kong respectively. Ganfeng",reuters
54,Lithium supply pipeline is filling but will it be enough? Andy Home,20/07/2017,"Jiangxi Ganfeng Lithium, which is now big and integrated enough to claim lithium, and lithium in the right chemical composition, to support",reuters
55,CORRECTED-RPT-COLUMN-Lithium supply pipeline is filling but will it be enough? Andy Home,20/07/2017,"for more production areChile's SQM and China's Jiangxi Ganfeng Lithium for a pieceof the lithium action.The big three, or big four if Ganfeng",reuters
56,CORRECTED-COLUMN-Lithium supply pipeline is filling but will it be enough? Andy Home,20/07/2017,"for more production areChile's SQM and China's Jiangxi Ganfeng Lithium for a pieceof the lithium action.The big three, or big four if Ganfeng",reuters
57,"BRIEF-Lithium Americas appoints Wang Xiaoshen, Jonathan Evans as independent directors",08/06/2017,ofLithium Americas as nominee of Jiangxi Ganfeng Lithium Co Ltd* LithiumJune 8 (Reuters) - Lithium Americas Corp:* Lithium Americas Corp,reuters
58,BRIEF-Lithium Americas provides update on strategic financing with Ganfeng Lithium,10/05/2017,financing withGanfeng Lithium* Private placement will result in issuance of 63.75 millioncommon shares of co to Ganfeng Lithium,reuters
59,Crowded herd of lithium explorers faces culling as supplies rise,06/03/2017,"withproducer SQM, and investments by Jiangxi GanfengLithium Co of explorersfighting for capital to produce lithium faces a painfulreckoning",reuters
60,Argentina lithium projects seek financing as production seen tripling,08/02/2017,"partnered with China's Ganfeng Lithium to build a 25,000 tonne-perBy Juliana CastillaBUENOS AIRES (Reuters) - Argentina's lithium",reuters
61,Cornish lithium dreams may die in South America's salt lakes: Andy Home,06/02/2017,lithium processor (Ganfeng) and two off-take partners (GanfengBy Andy HomeLONDON (Reuters) - There's lithium in them there Cornish,reuters
62,RPT-COLUMN-Cornish lithium dreams may die in South America's salt lakes: Andy Home,06/02/2017,"),an existing lithium processor (Ganfeng) and two off-takepartners) - There's lithium in them thereCornish hills!News that a start-up",reuters
63,COLUMN-Cornish lithium dreams may die in South America's salt lakes: Andy Home,03/02/2017,"By Andy HomeLONDON, Jan 3 (Reuters) - There's lithium in them thereCornish hills!News that a start-up, Cornish Lithium, is going to explore",reuters
64,BRIEF-Lithium Americas announces US$174 mln strategic investment by Ganfeng Lithium,17/01/2017,"announces us$174 million strategicinvestment by Ganfeng Lithium* Lithium* Lithium Americas Corp -following close of privateplacement, Ganfeng",reuters
65,"BRIEF-Jiangxi Ganfeng Lithium's units to invest in Canada firm, battery project",17/01/2017,Jan 17 (Reuters) - Jiangxi Ganfeng Lithium Co Ltd* Says Hong Kong in Lithium Americas Corp for $49 million* Says unit plans to invest,reuters
66,"Factbox: New mines, expansions in lithium",15/12/2016,"and Ganfeng Lithium <002460.SZ>, which aims to produce 50,000LONDON (Reuters) - The global lithium market is heading for a surplus",reuters
67,BRIEF-Jiangxi Ganfeng Lithium's unit GFL to buy shares of Canada's lithium firm,01/12/2016,Dec 1 (Reuters) - Jiangxi Ganfeng Lithium Co Ltd* Says GFL International will own 18.06 percent inInternational Lithium after transaction,reuters
