headline,date,stock
SQM Spikes Higher,05/03/2014,SQM
UPDATE: Morgan Stanley Reiterates on Sociedad Quimica y Minera de Chile as Uncertainty Remains,05/03/2014,SQM
"Tesla Plans Boosting Lithium ETF (LIT, TSLA, ROC, FMC, SQM)",27/02/2014,SQM
"ETF Outlook for Thursday, January 16, 2014 (XLF, LIT, SKYY, GULF)",16/01/2014,SQM
UPDATE: HSBC Global Research Upgrades Sociedad Quimica y Minera de Chile to Neutral on Preference for Phosphates,04/11/2013,SQM
HSBC Upgrades Sociedad Quimica y Minera S.A. to Neutral,04/11/2013,SQM
"Short Interest Swings In Fertilizer Stocks (IPI, MOS, UAN)",31/08/2013,SQM
SQM Q2 Profit Declines 44.1%,28/08/2013,SQM
UPDATE: Bank of America Downgrades Sociedad Quimica y Minera Following Potash Industry Break-Up,30/07/2013,SQM
"Bank of America Downgrades Sociedad Quimica y Minera S.A. to Underperform, Lowers PO to $29.00",30/07/2013,SQM
Miller Tabak Upgrades Sociedad Quimica y Minera S.A. to Accumulate,02/07/2013,SQM
"Scotia Capital Upgrades Sociedad Quimica y Minera S.A. to Sector Outperform, Maintains $55.00 PT",25/06/2013,SQM
Stocks Hitting 52-Week Lows,31/05/2013,SQM
Sociedad Quimica y Minera S.A. Reports Q1 EPS of $0.58 vs $0.60 Est; Revenue of $632.40M vs $560.84M Est,29/05/2013,SQM
"Craig-Hallum Downgrades Sociedad Quimica y Minera S.A. to Hold, Maintains $26.00 PT",21/05/2013,SQM
Top 4 Large-Cap Stocks In The Chemicals-Major Diversified Industry With The Highest EPS,11/04/2013,SQM
UPDATE: Bank of America Downgrades Sociedad Quimica y Minera to Neutral on Deteriorating Momentum,06/03/2013,SQM
"Miller Tabak Downgrades Sociedad Quimica y Minera S.A. to Neutral, Lowers PT to $60.00",06/03/2013,SQM
"Bank of America Downgrades Sociedad Quimica y Minera S.A. to Neutral, Lowers PO to $62.00",06/03/2013,SQM
From Earlier: Santander Upgrades Sociedad Quimica y Minera de Chile from Hold to Buy,13/11/2012,SQM
Top 4 Large-Cap Stocks In The Chemicals-Major Diversified Industry With The Highest Operating Margin,19/03/2012,SQM
Powering Up: It Might Be 2010 All Over Again For Lithium ETF,07/02/2012,SQM
"Fast Money Picks For January 19th (BVN, SQM, AAPL, AKS, F, JNPR, EP)",18/01/2012,SQM
UBS Downgrades Sequans Communications to Neutral ,15/12/2011,SQM
Benzinga's Top Downgrades,15/12/2011,SQM
"Financial Breakfast: Morning News Summary for December 15, 2011",15/12/2011,SQM
Morgan Stanley Downgrades Sociedad Quimica to Underweight,15/12/2011,SQM
Scotia Capital Has Sector Outperform on Sociedad Quimica y Minera de Chile ,26/10/2011,SQM
Hearing Merrill Upgrades Sociedad Quimica y Minera to Buy,27/09/2011,SQM
UPDATE: Scotia Capital Lowering Price Target On Sociedad Quimica y Minera de Chile (SQM,01/09/2011,SQM
Options Brief: Sociedad Quimica y Minera,27/07/2011,SQM
Scotia Capital Has Sector Perform On Sociedad Quimica y Minera de Chile ,14/07/2011,SQM
Calls Purchased on Sociedad Quimica y Minera de Chile,10/06/2011,SQM
Global X Wants to Fertilize Your Portfolio,31/05/2011,SQM
"Top Chemical Manufacturing Stocks to watch on 5/23/11- DD, MON, SSL, PX, SYT, MOS, LYB, APD, AGU, BAK…",23/05/2011,SQM
"Top Chemical Manufacturing Stocks pick to buy- FSI, VHI, SMG, LXU, TNH, SHI, BAK, CF, RTK, GRA, NANX…",09/05/2011,SQM
BofA/Merrill Ups SQM To Neutral,05/04/2011,SQM
SQM Reports 2010 Earnings,02/03/2011,SQM
Top Lithium Battery Plays,29/01/2011,SQM
Marvelous Mines - Zacks Industry Rank Analysis,26/01/2011,SQM
Marvelous Mines - Zacks Industry Rank Analysis,26/01/2011,SQM
Lithium Battery Bulls Are Juiced on Valence,13/01/2011,SQM
Chemical & Mining Co. of Chile Up 4.6% After Hitting 52-Week High (SQM),31/12/2010,SQM
Sociedad Quimica y Minera: Hits All-Time High (SQM),30/12/2010,SQM
"Fast Money Picks For December 27th (SQM, JNJ, JPM, FLWS)",23/12/2010,SQM
"Top five lithium stocks of 2010 (ULBI, FMC, SQM, VLNC, XIDE)",09/12/2010,SQM
"Benzinga's Top Upgrades (FDX, MTL, SQM, KND)",29/11/2010,SQM
Under The Hood: A Forgotten Materials ETF,16/09/2010,SQM
"Not The Final Frontier, But Worth A Look Anyway",08/08/2010,SQM
SQM: Playing The Lithium Boom Chile-Style,29/07/2010,SQM
LIT: Not a Pure Play On Lithium,27/07/2010,SQM
Will Lithium Be Worth More than Gold?,25/07/2010,SQM
ETF Goings On,22/07/2010,SQM
Tuesday Tidbits,20/07/2010,SQM
"New ETF To Focus on Lithium and Battery Makers (SQM, FMC, ROC)",18/07/2010,SQM
"When It Comes To South America, Choose Chile",12/07/2010,SQM
"Top 4 Stocks In The Synthetics Industry With The Highest Profit Margin (SQM, PX, ALB, CCC)",01/07/2010,SQM
"Company News for May 26, 2010 - Corporate Summary",26/05/2010,SQM
A Norwegian Fishery ETF After All?,03/05/2010,SQM
The Agriculture ETF (MOO) Will See Continued Strength On Agribusiness Acquisitions,29/03/2010,SQM
NYT: The Lithium Chase,10/03/2010,SQM
Electric Car Stocks,08/03/2010,SQM
Chilean Mines Back To Shaky Start,01/03/2010,SQM
"February 28, 2010: Chile, No Cause To Tremor.",28/02/2010,SQM
"Benzinga’s Top Upgrades (TDSC, KBR, BLL, SM, SQM)",26/02/2010,SQM
"Cramer Bearish On GOOG, MTW, PBI; Bullish On SQM, DPZ, BUCY, TIN, BZ, PCU, IP",14/01/2010,SQM
"Tim Seymour Likes POT, DBA, SQM, IPI, CZZ, UNG",23/12/2009,SQM
Chile's Soquimich In Play Ahead Of Earnings Report,27/10/2009,SQM
"TheFortuneFinancial.com Free Market Research on PVX, SQM, XEC, ARM, ECA and RPM",18/08/2009,SQM
