,headline,date,snippet,source,headline_sentiment,snippet_sentiment
14,Albemarle CEO says long-term lithium demand remains 'robust',12/12/2019,"(Reuters) - Albemarle Corp, the world's largest lithium producer as shareholder anxiety about Albemarle and its peers has escalated in recent",reuters,0.176|0.824|0.0|-0.128,0.082|0.918|0.0|-0.1779
15,"Albemarle's lithium prowess questioned by analysts, dragging on shares",08/11/2019,"By Ernest Scheyder(Reuters) - Albemarle Corp's lithium business lithium than the EV industry needs this year, prompting Albemarle",reuters,0.132|0.66|0.208|0.2023,0.0|1.0|0.0|0.0
16,Albemarle warns of 'challenging' lithium market through next year,07/11/2019,By Ernest Scheyder(Reuters) - Albemarle Corp  Chief Executive Officer Luke Kissam told,reuters,0.149|0.851|0.0|-0.1027,0.0|1.0|0.0|0.0
17,Albemarle plans $100 million cost cuts to counter low prices,06/11/2019,"(Reuters) - Albemarle Corp said on Wednesday it had started a cost, but had not specified an amount.Albemarle did not provide any further",reuters,0.35|0.65|0.0|-0.5106,0.0|1.0|0.0|0.0
18,Albemarle targets over $100 mln in cost savings,06/11/2019,Nov 6 (Reuters) - Albemarle Corp said on Wednesdayit had started notspecified any amount.Albemarle did not provide additional,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
19,"Mineral Resources, Albemarle pause Wodgina output on weak lithium market",31/10/2019,"newly formed joint venture with Albemarle Corp had decided to pause concluded the sale of a 60% interest in Wodgina to Albemarle, said",reuters,0.244|0.756|0.0|-0.4404,0.0|0.875|0.125|0.4588
20,"LME to launch lithium committee including Tesla, Albemarle",29/10/2019,"Australia, BASF and Chile-focused Albemarle, the LME said. Demand for lithium launch.However, Albemarle, the biggest producer, has said",reuters,0.0|1.0|0.0|0.0,0.081|0.919|0.0|-0.128
21,LMEWEEK-LME's planned lithium committee to include Tesla and Albemarle,29/10/2019,and Albemarle.Lithium is used in batteries that power electric vehicles,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
22,Albemarle cuts 2019 forecast on lithium price pressure,24/10/2019,"(Reuters) - Albemarle Corp , the world's largest lithium to $6.65.Albemarle also trimmed its 2019 net sales forecast range to $3.6",reuters,0.423|0.577|0.0|-0.5267,0.0|1.0|0.0|0.0
23,"Albemarle to delay construction plans for 125,000 tons of lithium processing",08/08/2019,(Reuters) - Albemarle Corp  said on Thursday it would a change in the country's electric vehicle subsidies.Albemarle said,reuters,0.187|0.813|0.0|-0.3182,0.0|1.0|0.0|0.0
24,"Albemarle to delay construction of 125,000 tons of lithium processing capacity",08/08/2019,Aug 8 (Reuters) - Albemarle Corp said on Thursday itwould delay batteries has pushed down prices.Albemarle said the plan would reduce,reuters,0.187|0.813|0.0|-0.3182,0.113|0.887|0.0|-0.3182
25,"Chemicals maker Albemarle profit beats, raises 2019 earnings forecast",07/08/2019,"(Reuters) - Albemarle Corp  beat quarterly profit subsidies. To cope with the weakness, Albemarle early this month revised its",reuters,0.0|0.734|0.266|0.4404,0.129|0.737|0.134|0.0258
26,Lithium producer Albemarle raises 2019 adjusted profit forecast,07/08/2019,Aug 7 (Reuters) - Albemarle Corp raised its 2019 adjusted profit,reuters,0.0|0.707|0.293|0.4404,0.0|0.734|0.266|0.4404
27,Australia's Mineral Resources to sell larger stake in Wodgina to Albemarle,31/07/2019,"that Albemarle Corp, the world's largest lithiumproducer, would now buy a 60%.Albemarle will pay the mining services provider $1.3 billion",reuters,0.0|1.0|0.0|0.0,0.072|0.928|0.0|-0.1027
28,Albemarle details efforts to boost its Chilean lithium output by 30 percent,11/06/2019,"By Ernest Scheyder and Dave Sherwood SANTIAGO (Reuters) - Albemarle ago, U.S.-based Albemarle announced it had developed a process",reuters,0.0|0.803|0.197|0.4019,0.0|1.0|0.0|0.0
29,Albemarle declines to participate in LME lithium contract,11/06/2019,"By Ernest ScheyderSANTIAGO (Reuters) - Albemarle Corp, the world's market) is,"" David Ryan, Albemarle's head of corporate strategy",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
30,Albemarle says won't participate in LME lithium contract,11/06/2019,"SANTIAGO, June 11 (Reuters) - Albemarle Corp, theworld's largest,and that's not what we believe this (lithium market) is,"" DavidRyan, Albemarle's",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
31,Albemarle touts new project to boost its Chilean lithium output by 30 percent,09/05/2019,"By Ernest Scheyder(Reuters) - Albemarle Corp said on Thursday collects annually from Albemarle, due to concerns about Atacama water",reuters,0.074|0.743|0.182|0.3818,0.0|1.0|0.0|0.0
32,Albemarle says new technology will boost Chilean lithium output by 30 percent,09/05/2019,May 9 (Reuters) - Albemarle Corp said on Thursday itis moving,reuters,0.0|0.803|0.197|0.4019,0.0|1.0|0.0|0.0
33,Albemarle's lithium sales drop after Chilean rains,08/05/2019,"By Ernest Scheyder(Reuters) - Albemarle Corp, the world's largest grows about short-term demand for the metal. Albemarle posted first",reuters,0.259|0.741|0.0|-0.2732,0.081|0.919|0.0|-0.128
34,"Albemarle first-quarter profit rises, but lithium sales slip",08/05/2019,"May 8 (Reuters) - Albemarle Corp, the world'slargest producer, or$1.18, in the year-ago period. Albemarle confirmed its 2019sales",reuters,0.0|0.782|0.218|0.2382,0.0|1.0|0.0|0.0
35,Albemarle bullish on lithium outlook after fourth-quarter profit,20/02/2019,"(Reuters) - Albemarle Corp, the world's largest lithium producer.""Albemarle said it expects 2019 sales of $3.65 billion to $3.85 billion. Its",reuters,0.0|0.707|0.293|0.4404,0.0|1.0|0.0|0.0
36,Albemarle swings to quarterly profit on rising lithium sales,20/02/2019,"Feb 20 (Reuters) - Albemarle Corp, the world'slargest lithium",reuters,0.0|0.734|0.266|0.4404,0.0|1.0|0.0|0.0
37,Chile strikes deal with lithium miner Albemarle in contract dispute,24/01/2019,"lithium miner, Albemarle Corp, to resolve a contract dispute and would that requires Albemarle to provide as much as 25 percent of its annual",reuters,0.394|0.606|0.0|-0.6369,0.103|0.798|0.099|-0.0258
38,Exclusive: Chile to delay arbitration with top lithium producer Albemarle,27/12/2018,a previously announced arbitration with Albemarle Corp  had agreed to provide as much as 25 percent of its,reuters,0.183|0.556|0.262|0.0,0.0|0.884|0.116|0.2732
39,Albemarle closes $1.15 billion deal for Australian lithium joint venture,14/12/2018,(Reuters) - Albemarle Corp said on Friday it had finalized.-based Albemarle a 50 percent stake in Mineral Resource's Wodgina,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
40,Albemarle closes $1.15 bln deal for Australian lithium joint venture,14/12/2018,Dec 14 (Reuters) - Albemarle Corp said on Friday ithad finalized U.S.-basedAlbemarle a 50 percent stake in Mineral Resource's Wodgina,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
41,Mineral Resources and Albemarle agree $1.15 billion lithium deal,14/12/2018,"joint venture with U.S.-based Albemarle Corp for $1.15 billion.The deal allows Albemarle Corp, the world's top lithium producer, to expand",reuters,0.0|0.762|0.238|0.3612,0.0|0.814|0.186|0.4767
42,Mineral Resources and Albemarle agree $1.15 bln lithium deal,14/12/2018,"a lithium joint venture with U.S.-basedAlbemarle Corp for $1.15 billion.The deal allows Albemarle Corp, the world's top lithiumproducer",reuters,0.0|0.762|0.238|0.3612,0.0|0.899|0.101|0.2023
43,Exclusive: Albemarle pushes Chile to reverse lithium quota decision - filings,06/12/2018,SANTIAGO/HOUSTON (Reuters) - Albemarle Corp  has.The behind-the-scenes moves come even as Albemarle has publicly,reuters,0.0|0.857|0.143|0.128,0.0|1.0|0.0|0.0
44,Albemarle to respect outcome of Chile lithium arbitration -executive,28/11/2018,"Nov 28 (Reuters) - Albemarle Corp will respect theoutcome month. EricNorris, Albemarle's lithium division president, said",reuters,0.0|0.721|0.279|0.4767,0.0|0.819|0.181|0.4767
45,Chile to file arbitration suit against lithium miner Albemarle by Dec. 15,26/11/2018,an arbitration suit against lithium miner Albemarle by Dec. 15 Albemarle must provide as much as 25 percent of its annual production,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
46,Chile to file arbitration suit against lithium miner Albemarle by Dec 15 - Corfo vp,26/11/2018,"an arbitration suit against lithium miner Albemarle by December15, the Chilean Albemarle had to provide asmuch as 25 percent of its annual production",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
47,Albemarle boosts lithium supply with $1.2 billion Australian deal,22/11/2018,"By Melanie BurtonMELBOURNE (Reuters) - Albemarle Corp, the world's regulators rejected plans to expand its operations in Chile.Albemarle",reuters,0.0|0.777|0.223|0.3182,0.16|0.728|0.112|-0.25
48,Albemarle shores up lithium supply with $1.2 bln Australian deal,21/11/2018,"MELBOURNE, Nov 22 (Reuters) - Albemarle Corp, theworld's top lithium rejected plans to expand itsoperations in Chile.Albemarle will take a 50",reuters,0.0|1.0|0.0|0.0,0.141|0.684|0.175|-0.0516
49,Chilean regulators reject Albemarle's plans to boost lithium output,13/11/2018,"regulators have rejected plans by Albemarle Corp, the world's top lithium said in a resolution on Monday that Albemarle's environmental impact",reuters,0.218|0.565|0.218|0.0,0.143|0.779|0.078|-0.3612
50,Albemarle freezes Chile expansion plans in wake of lithium tech scrutiny,08/11/2018,Nov 8 (Reuters) - Albemarle Corp's chief executiveofficer.Albemarle said it will stop engineering work on its plannedLa Negra V,reuters,0.099|0.901|0.0|-0.0258,0.128|0.872|0.0|-0.296
51,Albemarle profit rise beats forecasts on lithium price hikes,07/11/2018,By Ernest Scheyder(Reuters) - Albemarle Corp  has,reuters,0.0|0.734|0.266|0.4404,0.0|1.0|0.0|0.0
52,Albemarle quarterly profit up 9 pct on lithium price hikes,07/11/2018,"Nov 7 (Reuters) - Albemarle Corp, the world'slargest lithium share, in the year-ago period.Albemarle confirmed its full-year 2018",reuters,0.0|0.734|0.266|0.4404,0.0|0.872|0.128|0.296
53,Albemarle's claim to unique lithium technology draws scrutiny,07/11/2018,(Reuters) - Albemarle Corp's  claim to have developed. The development could help Albemarle cement its position as the world's,reuters,0.0|1.0|0.0|0.0,0.0|0.863|0.137|0.4019
54,Chile to seek international arbitration over Albemarle contract,17/10/2018,"of lithium miner Albemarle Corp to adhere to the terms of a contract drawn up in 2016. Under the contract, U.S.-based Albemarle had",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
55,Chilean gov't to seek international arbitration over Albemarle contract,17/10/2018,was the failure of lithium miner Albemarle Corpto adhere to the terms Albemarle had failedto reply to an agreement to supply a preferential,reuters,0.0|1.0|0.0|0.0,0.125|0.755|0.121|-0.0258
56,Albemarle shares drop after Chile rejects hike in lithium quota,08/10/2018,) - Shares of Albemarle Corp  fell as much as 2.3 percent Albemarle's March request to increase its quota to sell lithium products,reuters,0.366|0.483|0.152|-0.4767,0.0|0.809|0.191|0.5423
57,Albemarle shares drop after media report on Chile lithium quota,08/10/2018,"Oct 8 (Reuters) - Shares of Albemarle Corp fell morethan 2 percent) refused toboost Albemarle’s production quota, even after",reuters,0.171|0.65|0.179|0.0258,0.12|0.761|0.12|0.0
58,Chile regulator refuses to raise Albemarle lithium output quota: newspaper,06/10/2018,"Albemarle Corp, which had already gotten approval for an increase from a request from Albemarle ""for an increase of 258,446 metric tons",reuters,0.0|1.0|0.0|0.0,0.0|0.7|0.3|0.7717
59,Chile regulator refuses to raise Albemarle lithium output quota -newspaper,06/10/2018,"Albemarle Corp, which had already gottenapproval for an increase from.Following a request from Albemarle ""for an increase of258,446 metric",reuters,0.0|1.0|0.0|0.0,0.0|0.777|0.223|0.5574
60,REFILE-Chile weighs arbitration with top lithium producer Albemarle,03/10/2018,"within a week whether to take top producerAlbemarle Corp to arbitration, said Albemarle has failed to reply to questionsabout a contract",reuters,0.0|0.795|0.205|0.2023,0.149|0.769|0.081|-0.3612
61,Albemarle eyes future as pure-play lithium market leader,27/09/2018,"By Ernest ScheyderSept 27 (Reuters) - Albemarle Corp, the world's.Albemarle's lithium earnings have jumped nearly six-foldsince 2014 to more",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
62,Exclusive: Lithium producer Albemarle eyes buying rival if IPO stumbles - source,05/09/2018,By Ernest Scheyder(Reuters) - Albemarle Corp  seeks to tap,reuters,0.0|0.87|0.13|0.128,0.0|1.0|0.0|0.0
63,RPT-FOCUS-Inside Albemarle's quest to reinvent the lithium market,30/08/2018,") - As global demand for lithium hitsoverdrive, Albemarle Corp storage and increase a battery's charge,shaping Albemarle's strategy",reuters,0.0|1.0|0.0|0.0,0.089|0.774|0.137|0.2023
64,Inside Albemarle's quest to reinvent the lithium market,30/08/2018,"overdrive, Albemarle Corp is investing millions of dollars to engineer, shaping Albemarle's strategy, according to sources and documents",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
65,FOCUS-Inside Albemarle's quest to reinvent the lithium market,30/08/2018,"hitsoverdrive, Albemarle Corp is investing millions ofdollars charge,shaping Albemarle's strategy, according to sources",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
66,Chile's SQM says to overtake Albemarle as world's top lithium producer by 2022,08/08/2018,on Wednesday it would overtake competitor Albemarle as the world's top to 28 percent of the world's total versus the U.S.-based Albemarle's 16,reuters,0.0|0.87|0.13|0.2023,0.0|0.924|0.076|0.2023
67,Albemarle boosts stock buyback to $500 million; shares jump,08/08/2018,"By Ernest Scheyder(Reuters) - Albemarle Corp, the world's largest a day after Albemarle reported that its quarterly earnings had",reuters,0.0|0.609|0.391|0.5423,0.0|1.0|0.0|0.0
68,Albemarle quarterly profit nearly triples on strong lithium sales,07/08/2018,"(Reuters) - Albemarle Corp, the world's largest producer of lithium cents per share, in the year-ago quarter.For the full year, Albemarle",reuters,0.0|0.53|0.47|0.7351,0.0|0.896|0.104|0.296
69,Chile says lithium miner Albemarle slow to respond on contract details,30/07/2018,government said on Monday that lithium miner Albemarle had been slow.The contract allows Albemarle to produce lithium on land owned,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
70,CORRECTED-Outgoing Albemarle executive to join Chilean cobalt miner,26/07/2018,"said on Wednesday that it hired outgoing AlbemarleCorp executive John Albemarle's lithium business since2015, will join Genlith's Chilean",reuters,0.0|0.761|0.239|0.296,0.0|0.784|0.216|0.5267
71,Exclusive: Albemarle lithium chief to exit at end of July - memo,24/07/2018,By Ernest Scheyder(Reuters) - The Albemarle Corp executive. Mitchell did not immediately respond to a request for comment.Albemarle,reuters,0.0|0.87|0.13|0.128,0.0|1.0|0.0|0.0
72,BRIEF-Albemarle Says Entered Agreements Relating To An Uncollared Accelerated Share Repurchase Program,14/05/2018,"May 14 (Reuters) - Albemarle Corp:* ALBEMARLE CORP - ON MAY 11 REPURCHASE PROGRAM - SEC FILING* ALBEMARLE - PURSUANT TO TERMS, WILL PURCHASE",reuters,0.0|0.699|0.301|0.5106,0.0|1.0|0.0|0.0
73,BRIEF-Albemarle new brine extraction technology on track - CEO,10/05/2018,May 10 (Reuters) - Albemarle Corp:* ALBEMARLE SEES INCREASE IN SOLID,reuters,0.0|1.0|0.0|0.0,0.0|0.599|0.401|0.656
74,BRIEF-Albemarle lithium customers push for longer contracts - CEO,10/05/2018,May 10 (Reuters) - Albemarle Corp:* ALBEMARLE CORP CONTINUES TO SEE KISSAM* ALBEMARLE LITHIUM EXPANSION PLAN NOT ABOUT MARKET SHAREGAIN,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
75,BRIEF-Albemarle Reports Q1 EPS $1.18,09/05/2018,May 9 (Reuters) - Albemarle Corp:* ALBEMARLE CONTINUES DOUBLE DIGIT,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
76,BRIEF-Albemarle And Dupont Announce Collaboration In Hydroprocessing,24/04/2018,"April 24 (Reuters) - Albemarle Corp:* ALBEMARLE AND DUPONT ANNOUNCE COLLABORATION INHYDROPROCESSING* ALBEMARLE - CO, DUPONT ANNOUNCE",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
77,BRIEF-Albemarle Declares Force Majeure On Shortage Of Key Raw Materials In Urethane Supply Chain,19/04/2018,April 19 (Reuters) - Albemarle Corp:* ALBEMARLE DECLARES FORCE* ALBEMARLE CORP - DOES NOT EXPECT FORCE MAJEURE TO AFFECTPREVIOUSLY,reuters,0.133|0.867|0.0|-0.25,0.0|1.0|0.0|0.0
78,BRIEF-Albemarle Corp Announces Appointment Of Glen Merfeld As Chief Technology Officer For Lithium Business,16/04/2018,April 16 (Reuters) - Albemarle Corp:* ALBEMARLE CORPORATION,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
79,BRIEF-Albemarle Completes Sale Of Portion Of Performance Catalysts Solutions To W. R. Grace & Co,03/04/2018,April 4 (Reuters) - Albemarle Corp:* ALBEMARLE COMPLETES SALE,reuters,0.0|0.727|0.273|0.5423,0.0|1.0|0.0|0.0
80,BRIEF-Albemarle Corp Says CEO Luther Kissam's FY 2017 Total Compensation Was $8.5 Mln,28/03/2018,March 28 (Reuters) - Albemarle Corp:* ALBEMARLE CORP SAYS CEO LUTHER,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
81,BRIEF-Albemarle Receives Increase In Lithium Quota For Chile Operations,09/03/2018,March 9 (Reuters) - Albemarle Corp:* ALBEMARLE CORPORATION RECEIVES INCREASE IN LITHIUM QUOTAFORCHILE OPERATIONS* ALBEMARLE - CHILE'S,reuters,0.0|0.777|0.223|0.3182,0.0|0.811|0.189|0.4648
82,Chile approves increase in lithium quota for Albemarle,09/03/2018,"in U.S. miner Albemarle Corp's annual lithiumproduction limit of 60,000 to 80,000 tonnes peryear.Albemarle asked for the increase",reuters,0.0|0.545|0.455|0.6124,0.0|0.881|0.119|0.3182
83,BRIEF-Albemarle Says CEO's FY 2017 Total Compensation Was $8.5 Mln Vs $8.4 Mln In FY 2016‍​,08/03/2018,March 8 (Reuters) - Albemarle Corp:* ALBEMARLE CORP SAYS CEO LUTHER,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
84,"BRIEF-Guangdong Weihua, Unit Sign Lithium Supply Contract With Albemarle's China Subsidiary",27/02/2018,LITHIUM SUPPLY CONTRACT WITHALBEMARLECORP'S LITHIUM SUBSIDIARY IN CHINA,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
85,BRIEF-Albemarle ‍Declares Quarterly Dividend Of $0.335 Per Share​,23/02/2018,Feb 23 (Reuters) - Albemarle Corp:* ALBEMARLE CORPORATION RAISES DIVIDEND FOR 24TH CONSECUTIVEYEAR* ALBEMARLE CORP - ‍DECLARED,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
86,"BRIEF-Jennison Associates LLC Reports A 7.1 Pct Passive Stake In Albemarle Corp As Of Dec 31, 2017",05/02/2018,"Feb 5 (Reuters) - Albemarle Corp:* JENNISON ASSOCIATES LLC REPORTS A 7.1 PERCENT PASSIVESTAKE INALBEMARLE CORP AS OF DEC 31, 2017 - SEC",reuters,0.0|0.893|0.107|0.2023,0.0|1.0|0.0|0.0
87,"BRIEF-Prudential Financial Reports 7.3 Pct Passive Stake In Albemarle Corp As Of Dec 31, 2017",19/01/2018,"Jan 19 (Reuters) - Albemarle Corp:* PRUDENTIAL FINANCIAL,INC REPORTS A 7.3 PERCENT PASSIVESTAKE INALBEMARLE CORP AS OF DEC 31, 2017",reuters,0.0|0.886|0.114|0.2023,0.0|1.0|0.0|0.0
88,"BRIEF-Albemarle Announces Retirement Executive VP, Corporate Strategy & Investor Relations",18/01/2018,Jan 18 (Reuters) - Albemarle Corp:* ALBEMARLE ANNOUNCES RETIREMENT,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
89,BRIEF-Albemarle Enters Into Agreement To Sell Portion Of Performance Catalysts Solutions To W. R. Grace & Co,14/12/2017,Dec 14 (Reuters) - W. R. Grace & Co:* ALBEMARLE ENTERS. R. GRACE & CO.* ALBEMARLE - W.R. GRACE TO ASSUME LEASE & OPERATIONS,reuters,0.0|0.628|0.372|0.7717,0.0|0.619|0.381|0.871
90,BRIEF-Albemarle posts Q3 earnings per share $1.06,08/11/2017,Nov 8 (Reuters) - Albemarle Corp* Albemarle continues double digit,reuters,0.0|0.732|0.268|0.296,0.0|1.0|0.0|0.0
91,Chile sees no obstacle to Albemarle request to hike lithium output cap,28/09/2017,""" to Albemarle Corp's request for anincrease in its annual lithium. Albemarle had requested the quota hike last week, citingtechnological",reuters,0.32|0.68|0.0|-0.5719,0.0|1.0|0.0|0.0
92,Albemarle asks Chile to raise lithium production limit,15/09/2017,"SANTIAGO, Sept 15 (Reuters) - Albemarle Corp hasasked Chile.""With the understanding that this new technology iscommercially viable, Albemarle",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
93,BRIEF-Albemarle Q2 earnings per share $0.92,07/08/2017,Aug 7 (Reuters) - Albemarle Corp:* Albemarle growth story continues per share view $1.11 -- Thomson ReutersI/B/E/S* Albemarle Corp - ‍we,reuters,0.0|0.694|0.306|0.296,0.0|0.769|0.231|0.5859
94,BRIEF-Laurie Brlas gets elected to Albemarle board of directors,26/06/2017,June 26 (Reuters) - Albemarle Corp:* Laurie Brlas elected to Albemarle Corporation board ofdirectors* Albemarle Corp - board,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
95,Bayer CropScience lawsuit over 'bad faith' Albemarle pricing is revived,20/06/2017,CropScience LPmay pursue part of its lawsuit accusing Albemarle Corp,reuters,0.355|0.461|0.184|-0.3818,0.31|0.69|0.0|-0.3818
96,BRIEF-Albemarle reports Q1 sales $722.1 million,03/05/2017,May 3 (Reuters) - Albemarle Corp* Albemarle reports 10% growth view $0.97 -- Thomson ReutersI/B/E/S* Albemarle Corp - Initiated $250,reuters,0.0|1.0|0.0|0.0,0.0|0.86|0.14|0.3818
97,BRIEF-Albemarle CEO Luther Kissam's FY 2016 total compensation was $8.4 mln,17/03/2017,March 17 (Reuters) - Albemarle Corp* CEO Luther Kissam's FY 2016,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
98,BRIEF-Albemarle positioned to double lithium concentrate production at Greenbushes facility,16/03/2017,"March 16 (Reuters) - Albemarle Corp -* Talison, a JV between co",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
99,BRIEF-Albemarle Q4 earnings per share $5.30,27/02/2017,Feb 27 (Reuters) - Albemarle Corp:* Albemarle reports strong 2016 earnings per share $0.37 from continuing operations* Albemarle - lithium,reuters,0.0|0.694|0.306|0.296,0.0|0.744|0.256|0.6705
100,Albemarle's Chilean lithium plant partially closed after storm,27/02/2017,"SANTIAGO, Feb 27 (Reuters) - A lithium plant at Albemarle's Albemarle's subsidiaryRockwood said it had suspended operations",reuters,0.0|1.0|0.0|0.0,0.181|0.819|0.0|-0.4767
101,BRIEF-Albemarle raises dividend for 23rd consecutive year,23/02/2017,Feb 23 (Reuters) - Albemarle Corp* Albemarle raises dividend,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
102,BRIEF-Albemarle and Tianqi terminate option for indirect minority interest in Albemarle subsidiary,22/02/2017,Feb 22 (Reuters) - Tianqi Lithium Industries Inc:* Albemarle and Tianqi terminate option for indirectminority interest in Albemarle,reuters,0.0|0.786|0.214|0.4588,0.0|0.842|0.158|0.4588
103,"BRIEF-Albemarle says as of Jan. 18, total of EUR 533.3 mln aggregate principal amount of 2021 notes had been validly tendered",19/01/2017,"Jan 19 (Reuters) - Albemarle Corp :* Albemarle Corporation announces debt securities* Albemarle Corp - as of January 18, total of EUR",reuters,0.0|0.93|0.07|0.128,0.104|0.75|0.146|0.25
104,BRIEF-Albemarle Corp announces redemption of all outstanding 3 pct senior notes due 2019,11/01/2017,Jan 11 (Reuters) - Albemarle Corp* Albemarle corporation announces,reuters,0.0|0.733|0.267|0.6124,0.0|1.0|0.0|0.0
