headline,date,stock
Shares of many technology companies are trading lower with the overall market following news President Trump will impose a 5% tariff on goods from Mexico.,2019-05-31 13:34:00-04:00,ENS
"EnerSys Q4 Earnings Confirms Previously-Released Prelim Guidance; Q4 Adj. EPS $1.43 Beats $1.41 Estimate, Sales $796.6M Miss $817.5M Estimate",2019-05-29 17:15:00-04:00,ENS
EnerSys Sees Q1 Adj. EPS $1.30-$1.34 vs $1.47 Estimate,2019-05-16 16:17:00-04:00,ENS
"EnerSys Q4 Adj. EPS $1.43 Beats $1.41 Estimate, Sales $796.6M Miss $817.5M Estimate",2019-05-16 16:16:00-04:00,ENS
"EnerSys 8-K Shows Board Approved Plan To Close Targovishte, Bulgaria Plant; Sees ~$32M Pre-Tax Charge Related To Closing",2019-03-06 16:40:00-05:00,ENS
72 Biggest Movers From Yesterday,2019-02-08 05:18:00-05:00,ENS
54 Stocks Moving In Thursday's Mid-Day Session,2019-02-07 12:28:00-05:00,ENS
"EnerSys Q3 EPS $1.17 Misses $1.25 Estimate, Sales $680M Miss $685.85M Estimate",2019-02-06 16:34:00-05:00,ENS
"Earnings Scheduled For February 6, 2019",2019-02-06 04:10:00-05:00,ENS
EnerSys shares are trading higher after William Blair upgraded from Market Perform To Outperform.,2018-12-21 10:50:00-05:00,ENS
"Benzinga's Top Upgrades, Downgrades For December 21, 2018",2018-12-21 09:41:00-05:00,ENS
William Blair Upgrades EnerSys to Outperform,2018-12-21 07:00:00-05:00,ENS
"Stocks That Will Be Trading Ex Dividend Thurs., Dec. 13, 2018",2018-12-12 11:15:00-05:00,ENS
"Enersys Common Stock Q2 Adj. EPS $1.17 Beats $1.16 Estimate, Sales $660.5M Beat $659.11M Estimate",2018-11-07 16:46:00-05:00,ENS
"Earnings Scheduled For November 7, 2018",2018-11-07 03:51:00-05:00,ENS
EnerSys Reports Purchase Of Alpha Technologies Group Of Cos. For $750M,2018-10-29 16:45:00-04:00,ENS
EnerSys To Buy Alpha Group For $750M,2018-10-29 16:00:00-04:00,ENS
"Stocks Which Set New 52-Week High Yesterday, October 4th",2018-10-05 09:20:00-04:00,ENS
"Stocks Which Set New 52-Week High Yesterday, October 3rd",2018-10-04 11:18:00-04:00,ENS
10 Biggest Price Target Changes For Thursday,2018-10-04 09:45:00-04:00,ENS
"Sidoti & Co. Maintains Buy on EnerSys, Raises Price Target to $104",2018-10-04 09:32:00-04:00,ENS
"Oppenheimer Maintains Outperform on EnerSys, Raises Price Target to $95",2018-10-04 07:55:00-04:00,ENS
"Stocks Which Set New 52-Week High Yesterday, October 1st",2018-10-02 09:20:00-04:00,ENS
"Stocks Which Set New 52-Week High Yesterday, September 26th",2018-09-27 09:12:00-04:00,ENS
"Stocks Which Set New 52-Week High Yesterday, September 25th",2018-09-26 11:53:00-04:00,ENS
"Stocks Which Set New 52-Week High Yesterday, September 17th",2018-09-18 09:25:00-04:00,ENS
"Stocks Which Set New 52-Week High Friday, September 14th",2018-09-17 09:28:00-04:00,ENS
"Stocks Which Set New 52-Week High Yesterday, September 13th",2018-09-14 09:26:00-04:00,ENS
"Stocks Trading Ex Dividend For Thurs., Sep. 13, 2018",2018-09-14 07:09:00-04:00,ENS
"Stocks Which Set New 52-Week High Yesterday, September 12",2018-09-13 09:44:00-04:00,ENS
"Stocks Trading Ex Dividend For Thurs., Sep. 13, 2018",2018-09-13 09:42:00-04:00,ENS
"Stocks Which Set New 52-Week High Yesterday, August 30th",2018-08-31 10:11:00-04:00,ENS
"Stocks Which Set New 52-Week High Yesterday, August 29th",2018-08-30 11:47:00-04:00,ENS
"EnerSys Q1 EPS $1.17, Inline, Sales $670.9M Beat $649.63M Estimate",2018-08-08 16:22:00-04:00,ENS
"Earnings Scheduled For August 8, 2018",2018-08-08 06:03:00-04:00,ENS
"Stocks Which Set New 52-Week High Yesterday, August 1st",2018-08-02 10:56:00-04:00,ENS
"Stocks Which Set New 52-Week High Yesterday, July 31",2018-08-01 12:04:00-04:00,ENS
EnerSys Reaffirms Q1 EPS $1.15-1.19 vs $1.24 Est,2018-05-30 16:18:00-04:00,ENS
"EnerSys Q4 EPS $1.24 Beats $1.23 Estimate, Sales $683M Beat $669.22M Estimate",2018-05-30 16:17:00-04:00,ENS
"Earnings Scheduled For May 30, 2018",2018-05-30 04:36:00-04:00,ENS
"EnerSys Reports Prelim Q4 Adj. EPS $1.24 Beats $1.23 Estimate, Sales $683M Beat $669.22M Estimate",2018-05-16 16:17:00-04:00,ENS
46 Biggest Movers From Yesterday,2018-02-09 04:36:00-05:00,ENS
45 Stocks Moving In Thursday's Mid-Day Session,2018-02-08 12:25:00-05:00,ENS
"EnerSys Reports Q3 Adj. EPS $1.25 vs $1.14 Est., Sales $658.9M vs $634.74M Est.",2018-02-07 16:53:00-05:00,ENS
CL King Upgrades EnerSys to Buy,2018-01-16 08:30:00-05:00,ENS
EnerSys Announces $100M Buyback,2017-11-08 17:33:00-05:00,ENS
"EnerSys Reports Q2 Adj. EPS $1.05, Inline, Sales $617.3M vs $602.8M Est.",2017-11-08 16:27:00-05:00,ENS
"Earnings Scheduled For November 8, 2017",2017-11-08 04:11:00-05:00,ENS
Oppenheimer Presents New Menu Of Top Picks,2017-09-01 11:59:00-04:00,ENS
"EnerSys Reports Q1 Adj. EPS $1.12 vs $1.13 Est., Sales $622.6M vs $615.8M Est.",2017-08-09 16:19:00-04:00,ENS
EnerSys Reports $100M Buyback Plan,2017-08-09 16:18:00-04:00,ENS
"Companies Holding Shareholder Meetings Today Include: AVX Corporation, Bristow Group, Capital Southwest, EnerSys, Israel Chemicals, KEMET, and Mitcham Industries",2017-08-02 08:37:00-04:00,ENS
"8-K From EnerSys Shows Co. Settled A Portion Of Previously-Disclosed Proceeding Related To German Competition Authority For Co.'s Motive Power Battery Unit, Will Pay €12.6M Fine",2017-06-27 16:22:00-04:00,ENS
Mid-Afternoon Market Update: Vera Bradley Surges On Narrower-Than-Expected Loss; EnerSys Shares Slide,2017-05-31 14:32:00-04:00,ENS
12 Biggest Mid-Day Losers For Wednesday,2017-05-31 13:06:00-04:00,ENS
Mid-Day Market Update: Crude Oil Down 3%; J.Jill Shares Spike Higher,2017-05-31 12:34:00-04:00,ENS
Mid-Morning Market Update: Markets Drop; Michael Kors Plans To Close 100 To 125 Stores,2017-05-31 10:08:00-04:00,ENS
"EnerSys Q4 EPS $0.76 vs $1.03 Est, Sales $628.8M vs $622.7M Est",2017-05-30 16:42:00-04:00,ENS
"Earnings Scheduled For May 30, 2017",2017-05-30 05:14:00-04:00,ENS
"EnerSys Reports Q4 EPS $1.28 vs $1.21 Est., Sales $626M vs $606M Est.",2017-05-04 16:29:00-04:00,ENS
EnerSys Awarded $71M Long Term Contract For U.S. Military Batteries,2017-03-21 17:20:00-04:00,ENS
EnerSys Sees Q4 EPS $1.19-$1.23 vs. Est. $1.21,2017-02-08 16:38:00-05:00,ENS
"EnerSys Reports Q3 EPS $1.18 vs. Est. $1.13, Rev. $563.7M vs. Est. $586M",2017-02-08 16:38:00-05:00,ENS
"Earnings Scheduled For February 8, 2017",2017-02-08 04:40:00-05:00,ENS
"EnerSys Reports Q2 EPS $1.15 vs. Est. $1.08, Rev. $576M vs. Est. $584M",2016-11-09 16:20:00-05:00,ENS
18 Biggest Mid-Day Gainers For Wednesday,2016-08-24 12:56:00-04:00,ENS
14 Stocks Moving In Wednesday's Pre-Market Session,2016-08-24 08:28:00-04:00,ENS
S&P Dow Jones Indices Announces 'EnerSys to Join S&P MidCap 400; Wabash National to Join S&P SmallCap 600',2016-08-23 17:46:00-04:00,ENS
10 Must Watch Stocks for Today,2016-08-11 05:18:00-04:00,ENS
After-Hours Earnings Reports: Figures You Shouldn't Miss,2016-08-10 17:24:00-04:00,ENS
"EnerSys Misses EPS, Beats Revenues",2016-08-10 16:51:00-04:00,ENS
"EnerSys Reports Q1 EPS $1.02 vs $1.10 Est, Sales $600.6M vs $599.28M Est",2016-08-10 16:18:00-04:00,ENS
"Earnings Scheduled For August 10, 2016",2016-08-10 04:55:00-04:00,ENS
Benzinga's Top Upgrades,2016-06-02 09:00:00-04:00,ENS
Maxim Group Upgrades EnerSys to Buy,2016-06-02 08:24:00-04:00,ENS
EnerSys Q4'16 Earnings Conference Call: Full Transcript,2016-06-01 17:04:00-04:00,ENS
"EnerSys Reports Q4 EPS $1.03 vs. Est. $1.01, Rev. $611.4M vs. Est. $599.7M",2016-05-31 16:45:00-04:00,ENS
EnerSys Sees Q1 EPS $1.08-$1.12 vs. Est. $1.03,2016-05-31 16:43:00-04:00,ENS
EnerSys Reports Q4 Prelim EPS $1.03 vs. Est. $1.00,2016-05-05 16:36:00-04:00,ENS
EnerSys Announces Acquisition Of Certain Assets Of The Enser Corporation Has Completed,2016-04-15 12:22:00-04:00,ENS
"EnerSys Reports Purchase of Certain Assets of The Enser Corp., No Terms Disclosed",2016-04-14 16:51:00-04:00,ENS
General Electric Leading S&P 500 Index Lower,2016-02-24 12:56:00-05:00,ENS
"Hearing Deal Reporter Says Enersys Potential Takeover Target; GE, UTX, HON Rumored Potential Buyers",2016-02-24 11:59:00-05:00,ENS
EnerSys Sees Q4 Adj. EPS $0.98-$1.02 vs $1.06 Est.,2016-01-28 16:37:00-05:00,ENS
"EnerSys Reports Q3 EPS $0.92 vs $0.93 Est., Sales $573.6M vs $564.4M Est.",2016-01-28 16:37:00-05:00,ENS
Enersys Reports Q2 Non-GAAP EPS $0.97,2015-11-02 06:37:00-05:00,ENS
"EnerSys Reports Q2 EPS $0.87 vs. Est. $0.93, Rev. $569.1M vs. Est. $563.92M",2015-11-02 06:37:00-05:00,ENS
EnerSys Stages Monster Rally After Buyout Rumors Surface,2015-10-06 15:06:00-04:00,ENS
"Shares of EnerSys Resume; Now Trading Up ~7.9%, Down from Session High",2015-10-06 14:53:00-04:00,ENS
"Shares of EnerSys Halted on Circuit Breaker, Now Up 11.3%",2015-10-06 14:47:00-04:00,ENS
"Johnson Controls Is in Talks to Buy EnerSys, According to Sources -DJ",2015-10-06 14:46:00-04:00,ENS
"Enersys Announces CEO John Craig to Reitre; David Shaffer Named as Pres, CEO, COO, Michael Schmidtlein Named CFO",2015-09-22 06:58:00-04:00,ENS
3 Ways To Bet On The Battery Revolution,2015-08-23 18:29:00-04:00,ENS
"EnerSys Reports Q1 EPS $1.03 vs. Inline, Rev. $562.1M vs. Est. $604.75M",2015-08-05 16:11:00-04:00,ENS
"EnerSys Announces Purchase of ICS Industries, No Terms Disclosed",2015-07-23 09:29:00-04:00,ENS
Stephens & Co. Downgrades EnerSys to Equalweight,2015-05-29 09:08:00-04:00,ENS
EnerSys Affirms Q1'16 Adj. EPS $1-$1.04 vs $1.06 Est.,2015-05-27 16:16:00-04:00,ENS
"EnerSys Reports Q4 Adj. EPS $1.15 vs $1.14 Est., Sales $629.9M vs $635M Est.",2015-05-27 16:06:00-04:00,ENS
Enersys Sees Q1 Adj. EPS $1-$1.04 vs $1.10 Est.,2015-05-07 16:14:00-04:00,ENS
"EnerSys Reports Prelim. Q4 EPS $1.15 vs $1.12 Est., Sales $629.9M vs $635M Est.",2015-05-07 16:13:00-04:00,ENS
"EnerSys Announces Prelim. Non-Cash Intangible Impairment Charge ~$25M in Q4, Expecting EPS Impact of $0.54; Reaffirms Q4 Outlook",2015-03-13 16:36:00-04:00,ENS
EnerSys Reports Q3 EPS $1.04 Vs Est $1.06,2015-02-04 16:02:00-05:00,ENS
Enersys Sees Q3 Adj. EPS $1.04-1.08,2014-11-05 16:19:00-05:00,ENS
EnerSys Announces Expansion of Stock Repurchase Program; $60M New Repurchase Authorization ,2014-11-05 16:11:00-05:00,ENS
S&P Upgrades EnerSys from BB to BB+; Outlook Stable,2014-08-19 09:24:00-04:00,ENS
Enersys Reports Q1 EPS of $0.99 vs $1.05 Est; Revenue of $634.10M vs $657.82M Est,2014-08-06 16:24:00-04:00,ENS
EnerSys Announces $60M Buyback,2014-08-05 16:01:00-04:00,ENS
EnerSys Announces $60M Buyback,2014-08-05 16:01:00-04:00,ENS
EnerSys Announces $60M Buyback,2014-08-05 16:01:00-04:00,ENS
Enersys Reports Q4 Adj. EPS $1.18 on Sales $665.2M; Reaffirms Q1 Outlook,2014-05-28 16:02:00-04:00,ENS
"Stifel Nicolaus Initiates Coverage on Enersys at Buy, Announces $80.00 PT",2014-05-28 06:36:00-04:00,ENS
"Stifel Nicolaus Initiates Coverage on Enersys at Buy, Announces $80.00 PT",2014-05-28 06:36:00-04:00,ENS
EnerSys Sees Q4 Charge $0.70-$0.72/Share from Ruling,2014-05-14 19:51:00-04:00,ENS
EnerSys Announces Arbitration Panel Awards Altergy $58.2M in Damages,2014-05-14 19:49:00-04:00,ENS
EnerSys Reaffirms Q1 Guidance ,2014-05-14 19:48:00-04:00,ENS
"Enersys Announces $70M Buyback Plan, Raises Qtr. Dividend; Reports Prelim. Q4 Adj. EPS $1.18 on Sales $665.22M, Expecting Q1 EPS $1.02-1.06",2014-05-07 16:04:00-04:00,ENS
"EnerSys Raises Q Dividend From $0.125 to $0.175/Share, 70M Stock Repurchase",2014-05-07 16:01:00-04:00,ENS
Top 4 Mid-Cap Stocks In The Industrial Electrical Equipment Industry With The Highest Dividend Yield,2014-05-06 05:19:00-04:00,ENS
Enersys Sees Q4 EPS $1.08-1.12 vs $1.05 Est,2014-02-05 16:35:00-05:00,ENS
Enersys Reports Q3 EPS of $1.07 vs $1.03 Est; Revenue of $643.10M vs $623.41M Est,2014-02-05 16:35:00-05:00,ENS
Enersys Sees Q3 EPS $1.00-1.04 vs $0.95 Est,2013-11-06 16:44:00-05:00,ENS
Enersys Reports Q2 EPS of $0.87 vs $0.84 Est; Revenue of $568.80M vs $571.24M Est,2013-11-06 16:38:00-05:00,ENS
Top 4 Mid-Cap Stocks In The Industrial Electrical Equipment Industry With The Highest Operating Margin,2013-10-04 07:12:00-04:00,ENS
"Shares of EnerSys Quiet Following Deal to Buy Purcell Systems for $115M, Co. Expecting Deal to Add $0.15-0.20 in First  Year",2013-09-18 08:15:00-04:00,ENS
S&P Affirms Ratings on EnerSys; Outlook Raised from Stable to Positive,2013-08-13 14:14:00-04:00,ENS
UPDATE: Jefferies Raises PT on EnerSys Following Modest June Quarter Beat Report,2013-08-12 11:27:00-04:00,ENS
"Jefferies Maintains Buy on Enersys, Raises PT to $62.00",2013-08-12 08:54:00-04:00,ENS
Enersys Sees Q2 EPS $0.81-0.85 vs $0.87 Est,2013-08-07 16:07:00-04:00,ENS
Enersys Reports Q1 EPS of $0.83 vs $0.81 Est; Revenue of $597.30M vs $592.38M Est,2013-08-07 16:07:00-04:00,ENS
Top 4 Mid-Cap Stocks In The Industrial Electrical Equipment Industry With The Highest ROE,2013-06-04 05:30:00-04:00,ENS
UPDATE: Jefferies Raises PT on EnerSys Following F4Q Results,2013-05-30 11:39:00-04:00,ENS
"Jefferies Maintains Buy on Enersys, Raises PT to $58.00",2013-05-30 08:18:00-04:00,ENS
"Ardour Capital Downgrades Enersys to Reduce, Raises PT to $44.00",2013-05-29 15:12:00-04:00,ENS
EnerSys Announces its First Quarterly Dividend of $0.125 and $65M tock Repurchase Program,2013-05-28 16:12:00-04:00,ENS
"EnerSys Announces $65M Buyback Plan, Declares Qtr. Dividend of $0.125/Share",2013-05-28 16:11:00-04:00,ENS
Enersys Reports Q4 EPS of $0.80 vs $0.81 Est; Revenue of $572.20M vs $593.79M Est,2013-05-28 16:01:00-04:00,ENS
"Earnings Scheduled For May 28, 2013",2013-05-28 04:06:00-04:00,ENS
Enersys Sees Q1 EPS $0.78-0.82 vs $0.84 Est,2013-05-08 16:26:00-04:00,ENS
Enersys Reports Q4 EPS of $0.80 vs $0.77 Est; Revenue of $572.80M vs $580.99M Est,2013-05-08 16:25:00-04:00,ENS
From Enersys Investor Day: Expecting CapEx $50-75M,2013-04-02 09:27:00-04:00,ENS
Enersys Sees Q4 EPS $0.73-0.77 vs $0.84 Est,2013-02-06 16:56:00-05:00,ENS
Enersys Reports Q3 EPS of $0.88 vs $0.80 Est; Revenue of $557.30M vs $548.54M Est,2013-02-06 16:14:00-05:00,ENS
"EnerSys Names David Shaffer President Europe, Middle East, Names Mark Tough President Asia",2013-01-22 16:56:00-05:00,ENS
"UPDATE: Jefferies & Company Reiterates Buy Rating, Lowers PT on EnerSys",2012-11-07 10:20:00-05:00,ENS
"Jefferies & Company Maintains EnerSys at Buy, Lowers PT from $43 to $41",2012-11-07 07:06:00-05:00,ENS
EnerSys Reports Q2 EPS $0.90 vs $0.87 Est; Revenues $554.2M vs $568.42M Est,2012-11-05 16:23:00-05:00,ENS
UPDATE: Stifel Nicolaus Downgrades EnerSys to Hold on Lead Price Pressure  ,2012-10-04 12:45:00-04:00,ENS
"Stifel Nicolaus Downgrades EnerSys from Buy to Hold, Removes PT",2012-10-04 08:30:00-04:00,ENS
"Stifel Nicolaus Maintains EnerSys at Buy, Raises PT from $43 to $44",2012-08-10 08:18:00-04:00,ENS
"Jefferies & Company Maintains EnerSys at Buy, Raises PT from $40 to $43",2012-08-10 06:28:00-04:00,ENS
EnerSys Reports Q1 EPS $0.95 vs $0.89 Est; Revenues $593.9M vs $599.11M Est,2012-08-08 17:16:00-04:00,ENS
Needham Research Downgrades EnerSys from Buy to Hold,2012-08-01 06:44:00-04:00,ENS
"Enersys Spiking Lower, Hearing Analyst Downgrade",2012-07-31 14:08:00-04:00,ENS
Top 4 Small-Cap Stocks In The Industrial Electrical Equipment Industry With The Highest Revenue,2012-06-21 02:15:00-04:00,ENS
UPDATE: Jefferies Raises PT to $40 on EnerSys on Good Execution  ,2012-05-31 12:08:00-04:00,ENS
"Jefferies & Company Maintains EnerSys at Buy, Raises PT from $39 to $40",2012-05-31 09:02:00-04:00,ENS
EnerSys Jumps 3% on Q4 Results ,2012-05-29 17:15:00-04:00,ENS
EnerSys Reports Q1 EPS $0.98 vs $0.82 Est; Revenues $592.8M vs $598.46M Est,2012-05-29 16:02:00-04:00,ENS
Earnings Scheduled For May 29,2012-05-29 01:45:00-04:00,ENS
EnerSys Reports Preliminary Fourth Quarter EPS of $0.98 vs $0.86-0.90 Prior Guidance ,2012-05-09 16:06:00-04:00,ENS
EnerSys Enters Into Joint Venture in India ,2012-03-28 09:22:00-04:00,ENS
EnerSys Enters into Nickel-Zinc Battery License & Technology Development Agreement ,2012-03-22 16:00:00-04:00,ENS
"UPDATE: Stifel Nicolaus Resumes Buy, $40 Target on EnerSys",2012-03-05 09:54:00-05:00,ENS
UPDATE: Jefferies Raises PT to $39 on EnerSys,2012-02-10 10:02:00-05:00,ENS
"EnerSys Reports Q3 EPS $0.80 vs $0.69 Est; Revenues $574.2M vs $560.46M Est				 ",2012-02-08 16:04:00-05:00,ENS
"End-of-Day Market Summary for November 10, 2011",2011-11-10 16:16:00-05:00,ENS
Afternoon Movers; Markets Moved Higher,2011-11-10 16:01:00-05:00,ENS
"EnerSys Reports Q2 EPS $0.58 vs $0.56 Est; Revenues $547.20M vs $544.84M Est			",2011-11-09 16:04:00-05:00,ENS
EnerSys Acquires South American Battery Business  ,2011-10-17 08:50:00-04:00,ENS
EnerSys to Launch a Joint Venture in South Africa ,2011-09-29 16:00:00-04:00,ENS
EnerSys to Launch a Lithium-Ion Battery Joint Venture in Germany ,2011-09-28 09:03:00-04:00,ENS
Lithium Technology Corporation to Launch a Lithium-Ion Battery Manufacturing Joint Venture in Germany with EnerSys,2011-09-28 09:02:00-04:00,ENS
Jefferies Raises PT on EnerSys to $27,2011-09-19 07:34:00-04:00,ENS
"Stifel Nicolaus Lowers PT On ENS, NVDA",2011-08-12 08:06:00-04:00,ENS
Benzinga's Top Downgrades,2011-08-12 08:02:00-04:00,ENS
"EnerSys Reports Q1 EPS $0.68 vs $0.69 Est; Revenues $569.2M vs $549.94M Est		",2011-08-10 16:01:00-04:00,ENS
Stifel Nicolaus Initiates Coverage On EnerSys ,2011-07-14 08:47:00-04:00,ENS
"Stifel Nicolaus Initiates EnerSys At Buy, $45 PT",2011-07-14 08:26:00-04:00,ENS
"UPDATE: Enersys will Buy Back 294,200 Shares at $33.15 Each",2011-06-03 16:03:00-04:00,ENS
EnerSys Announces $9.8 Million Stock Buy Back  ,2011-06-03 16:02:00-04:00,ENS
Benzinga's Top Upgrades,2011-06-03 08:07:00-04:00,ENS
EnerSys Affirms Q1 EPS $0.66-0.70 vs. $0.71 Estimate,2011-05-31 16:05:00-04:00,ENS
EnerSys Reports Q4 EPS of $0.75 vs. $0.68 Estimate; Sales $548M vs. $527M Estimate,2011-05-31 16:04:00-04:00,ENS
Earnings Highlights for the Week of May 30,2011-05-29 16:09:00-04:00,ENS
EnerSys Expects Q4 Non-GAAP EPS of $0.75,2011-05-11 16:11:00-04:00,ENS
"5 Stocks For Earth Day (AMSC, ENS, FCEL, FSLR, WM)",2011-04-19 14:31:00-04:00,ENS
EnerSys Refinances U.S. Credit Facility ,2011-03-29 16:08:00-04:00,ENS
EnerSys Acquires Lithium Battery Business ,2011-02-28 08:37:00-05:00,ENS
Enersys Up 5.2% After Hitting 52-Week High (ENS),2011-02-10 14:55:00-05:00,ENS
EnerSys Reports Third Quarter Fiscal 2011 Results,2011-02-09 16:06:00-05:00,ENS
Zacks #1 Rank Additions for Thursday - Tale of the Tape,2010-12-09 08:18:00-05:00,ENS
Zacks #1 Rank Additions for Thursday - Tale of the Tape,2010-12-09 08:14:00-05:00,ENS
EnerSys Awarded $38 Million Contract ,2010-11-16 15:33:00-05:00,ENS
"3 Exceptionally Strong Stocks Today (ENS, SOA, SLW)",2010-11-10 15:41:00-05:00,ENS
EnerSys Reports Second Quarter EPS of $.58,2010-11-09 16:53:00-05:00,ENS
Calls Purchased on EnerSys (ENS),2010-10-15 14:03:00-04:00,ENS
EnerSys Awarded $39 million in Contracts for Submarine Batteries,2010-08-09 17:04:00-04:00,ENS
"Jefferies Favor ITRI, AMSC And ENS In The Smart Grid, Wind, Energy Storage And Geothermal Industries",2010-07-14 11:55:00-04:00,ENS
William Blair Reiterates Outperform Rating on EnerSys (ENS),2010-06-03 11:06:00-04:00,ENS
"Stocks To Watch In Today's Trading (NDN, ALEX, BRCM, CNQR, DLB)",2010-02-04 08:37:00-05:00,ENS
EnerSys   (ENS)   Acquires Oerlikon Battery Business,2009-10-30 06:11:00-04:00,ENS
Enseco Energy Services Corp. Announces Private Placement,2009-08-09 23:28:00-04:00,ENS
