,headline,date,snippet,source
79,Lithium miner SQM says no economic impact yet from Chile protests,21/11/2019,"SANTIAGO (Reuters) - Chilean miner SQM, the world's No. 2 lithium",reuters
80,"Chile's SQM profits plunge in Q3 as lithium prices, demand growth fall short",21/11/2019,"of lithium, said its profits had plungedagain in the third quarter",reuters
81,"CEZ, European Metals in conditional agreement over lithium project stake",20/11/2019,"% stake in the Cinovec lithiumproject, the companies said on Wednesday to the Cinoveclithium/tin project in the Czech Republic, which it says",reuters
82,Neoen to expand world's largest lithium ion battery in Australia,18/11/2019,", the world's largest lithium ion battery, by 50% to help improve",reuters
83,Eramet CEO says plans FID on Argentina lithium project in Q1 2020,15/11/2019,"lithium development project inArgentina, with an aim to start to produce 3,000 tonnes of battery-gradelithium carbonate in 2021",reuters
84,Argentina's lithium producers hopeful as Fernandez set to take power,15/11/2019,"lithiumproducers are cautiously optimistic that President-elect Alberto for several industries, including lithium,limitations that slowed",reuters
85,Australia's Pilbara Minerals to reopen Pilgangoora lithium project shortly -CEO,13/11/2019,"should resume operations at its Pilgangooralithium-tantalum project possibly expect.""The company is a supplier of lithium for use in electric",reuters
86,Lithium producers hit by first big downturn of electric vehicle era,13/11/2019,"By Ernest ScheyderLOS ANGELES (Reuters) - The burgeoning lithium Corp , Tianqi Lithium Corp <002466.SZ> and others",reuters
87,"Albemarle's lithium prowess questioned by analysts, dragging on shares",08/11/2019,By Ernest Scheyder(Reuters) - Albemarle Corp's lithium business as prices plunge due to oversupply.Lithium companies have produced far more,reuters
88,Albemarle warns of 'challenging' lithium market through next year,07/11/2019,", the world's largest lithium producer, warned on Thursday that prices market, lithium producers are in a nightmare of their own making",reuters
89,Livent CEO sees 'difficult environment' for lithium producers,06/11/2019,By Ernest Scheyder(Reuters) - The lithium industry is working of its annual lithium hydroxide production until 2020.While Livent,reuters
90,Livent CEO sees 'difficult environment' for lithium industry,06/11/2019,"Nov 6 (Reuters) - The lithium industry is working through""difficult lithiumhydroxide to customers until they need it in 2020.(Reporting",reuters
91,Lithium Australia's unit to supply recycled battery metals to South Korean firm,05/11/2019,"(Reuters) - Lithium Australia NL said its Envirostream Australia unit metals cobalt, nickel and lithium extracted from recycled lithium-ion",reuters
92,Bolivia's lithium partnership with Germany's ACI Systems hits snag,03/11/2019,"company ACI Systems for the industrial use of lithium hit a snag when of the lithium-rich Potosi region said on Sunday.Potosi, in southwest Bolivia",reuters
93,"Mineral Resources, Albemarle pause Wodgina output on weak lithium market",31/10/2019,"operations at the Wodgina Project due to ""challenging"" lithium market conditions. Australian lithium producers had earlier this year flagged",reuters
94,"LME to launch lithium committee including Tesla, Albemarle",29/10/2019,"and users of lithium, a key component in electric car batteries, it said Land Rover, and lithium producers and processors Tianqi Lithium",reuters
95,LMEWEEK-LME's planned lithium committee to include Tesla and Albemarle,29/10/2019,"of producers and users of lithium, a keyingredient in batteries and lithium producersand processors Tianqi Lithium Australia, BASF",reuters
96,"Savannah Resources in talks with carmakers, sees Portuguese lithium in 2021",28/10/2019,"commercial lithium production in northern Portugal in 2021.Portugal is Europe's biggest lithium producer, but its miners sell almost",reuters
97,"Stung by sliding prices, lithium industry pares back expansions",28/10/2019,"By Ernest Scheyder(Reuters) - Albemarle Corp, SQM and other lithium of vehicles during the next decade with lithium-ion batteries",reuters
98,"LME WEEK-Stung by sliding prices, lithium industry pares back expansions",28/10/2019,lithium producers have been scaling back expansion plansas near-term during thenext decade with lithium-ion batteries are expected to help,reuters
99,"Ganfeng Lithium third-quarter profits crash on lower prices, fair value loss",28/10/2019,"By Tom DalyBEIJING (Reuters) - China's Ganfeng Lithium <002466.SZ in electric vehicle batteries.Ganfeng, one of the world's top lithium producers",reuters
100,"Ganfeng Lithium Q3 profits crash on lower prices, fair value loss",28/10/2019,"* Lithium producer posts Q3 profit of 33.4 mln yuan, -86.5%y/y) - China's Ganfeng Lithiumsaid on Monday its net profit slumped86.5",reuters
101,Chile protesters block access to lithium operations: local leader,25/10/2019,"reserves of lithium, have blocked access to lithium operations amid to the world's top two lithium producers: Chile's SQM  and U.S",reuters
102,Chile protesters block access to lithium operations - local leader,25/10/2019,"richest reserves of lithium, have blocked access to lithiumoperations to the world's top two lithiumproducers: Chile's SQM and U.S.-based",reuters
103,Albemarle cuts 2019 forecast on lithium price pressure,24/10/2019,"(Reuters) - Albemarle Corp , the world's largest lithium shares down nearly 7% in extended trading.Demand for lithium, a key",reuters
104,Australia's Galaxy Resources to cut lithium production,23/10/2019,(Reuters) - Australian lithium miner Galaxy Resources Ltd said and short-term sentiment in the electric vehicle and lithium-ion,reuters
105,Australia's Galaxy Resources to review operations at Mt. Cattlin lithium mine,23/10/2019,"most important lithium mine, dueto weak market conditions in the sector.Australian lithium producers have been cutting supply amidplummeting",reuters
106,Tianqi Lithium has first loss in 5-1/2 years as lithium prices crash,22/10/2019,"* Lithium prices fall sharply; firm also blames SQM loans* Full-year profitBEIJING, Oct 22 (Reuters) - Tianqi Lithium Corp,one of the world's",reuters
107,Rio Tinto studying ways to produce lithium from waste rock at California mine,21/10/2019,is studying ways to extract lithium from waste rock at a mine it controls probing the tailings for gold and discovered lithium at a concentration,reuters
108,Russia's Rosatom may buy controlling stake in Chile lithium project,15/10/2019,", may buy a controlling stake in a lithium project in Chile's Atacama salt flat, home to leading lithium producers SQM ",reuters
109,Russia's Rosatom may purchase controlling stake in lithium project in Chile,15/10/2019,"in a lithium project in Chile fromCanada-listed Wealth Minerals Ltd inWealth Minerals's Atacama lithium project in northern Chile, itadded",reuters
110,Ganfeng’s lithium expertise set to power Bacanora’s Mexico project,14/10/2019,By Barbara LewisLONDON (Reuters) - London-listed Bacanora Lithium with China's Ganfeng Lithium Co Ltd puts it in a better position to raise,reuters
111,"Lithium Americas boosts budget, production target for Argentina project",30/09/2019,"By Ernest ScheyderSept 30 (Reuters) - Lithium Americas Corp-Olaroz lithium brine project, a bullish move linked tothe electric",reuters
112,"Lithium Americas trims production target, budget for Nevada mine",25/09/2019,By Ernest ScheyderSept 25 (Reuters) - Lithium Americas Corp has cut on Wednesday from the BritishColumbia-based company comes as lithium prices,reuters
113,Tianqi Lithium in supply deal with Sweden's Northvolt,24/09/2019,"BEIJING (Reuters) - China's Tianqi Lithium Corp <002466.SZ, one of the world's biggest lithium producers, said on Tuesday that its",reuters
114,Australian lithium recovery seen by mid-2020 as EV production revs up,17/09/2019,"the electric-vehicle sector alongside supply cuts should help Australian lithium of spodumene, a type of concentrated lithium ore that accounts for about half",reuters
115,Solid battery demand to drive Australian lithium recovery by mid-2020,17/09/2019,"vehicle sector alongside supply cuts should helpAustralian lithium miners.Australian producers of spodumene, a type of concentratedlithium ore",reuters
116,"Chile taps China, Japan in lithium-for-tech push; faces tough sell",17/09/2019,"in return for access to its lithium deposits, piquing interest from China, the world's No. 2 lithium producer, has held global road shows ahead",reuters
117,"Brazilian lithium producer Sigma in talks with Tesla, other automakers",12/09/2019,#NAME?,reuters
118,Chilean lithium producer SQM bullish on white gold demand; shares rise,11/09/2019,By Fabian CamberoSANTIAGO (Reuters) - Shares in Chilean lithium $1.332 billion of this investment would be in lithium operations,reuters
119,U.S. Coast Guard issues lithium battery warning following California boat fire,11/09/2019,"routes, crew training and the charging oflithium-ion batteries and consider limiting the unsupervised charging oflithium-ion",reuters
120,Tianqi starts lithium battery chemical production in Western Australia,11/09/2019,"MELBOURNE (Reuters) - China's Tianqi Lithium has begun production of lithium hydroxide at its Western Australian plant this week, it said",reuters
121,China's CATL buys into beaten down Australian lithium miner Pilbara,04/09/2019,"in Australian lithium miner Pilbara Minerals, both companies said ingredients such as lithium, nickel and cobalt ahead of an expected demand",reuters
122,Australian lithium miners submerged by low prices,02/09/2019,"lithium production over the past five years to exploit surging prices among lithium miners."" Australia accounts for about half",reuters
123,Chile's Codelco to decide by early 2020 on Maricunga lithium project,30/08/2019,"whether to pursue a joint lithium project withforeign-backed miner Salar Lithium PowerInternational, with smaller stakes held by Canada’sBearing",reuters
124,Portugal vows to hold delayed lithium tender by year-end,29/08/2019,"plans foran international licensing tender for lithium exploration is already Europe's biggest lithium producer, butits miners sell almost",reuters
125,Slump in lithium prices hammers profits at China's Ganfeng,28/08/2019,"By Tom DalyBEIJING (Reuters) - China's biggest lithium producer, Ganfeng Lithium Co <002460.SZ> <1772.HK>, saw its first-half",reuters
126,"Pilbara Minerals takes lithium mine stake off table, slices sales forecast",26/08/2019,"on Tuesday took a stake in its Australian lithium mine off the market, cut its lithium project in the northwestern Pilbara region in Western",reuters
127,Chilean miner SQM profits plunge alongside lithium price,22/08/2019,"producer of lithium, saw its profits plunge along with lithium prices by lower lithium sale prices,"" Chief Executive Ricardo Ramos said",reuters
128,"China's Tianqi Lithium first-half net profit slumps, clinches LG Chem supply deal",22/08/2019,"BEIJING (Reuters) - China's Tianqi Lithium Corp, one of the world's biggest lithium producers, said on Thursday its first-half net profit",reuters
129,"China's Tianqi Lithium H1 net profit slumps, clinches LG Chem supply deal",22/08/2019,"BEIJING, Aug 22 (Reuters) - China's Tianqi Lithium Corp, one of the world's biggest lithium producers, saidon Thursday its first-half net",reuters
130,Chile's SQM profits plummet on falling lithium prices,22/08/2019,", theworld's No. 2 producer of lithium, saw its quarterly earningsplummet results were mainly impacted by lowerlithium sale prices,"" Chief Executive",reuters
131,China's Ganfeng closes deal to raise stake in Argentina lithium project,18/08/2019,"BEIJING, Aug 18 (Reuters) - China's Ganfeng Lithiumsaid on Sunday-Olaroz lithiumbrine project in Argentina to 50%.Ganfeng, based",reuters
132,Australia's Orocobre invests in Advantage Lithium Corp placement,14/08/2019,"Lithium Corp  through a private placement lithium projects in Argentina, Orocobre said in a statement. The two",reuters
133,Australia's Argosy Minerals buys Nevada-based Tonopah lithium project,13/08/2019,"(Reuters) - Lithium-focused explorer Argosy Minerals Ltd on Wednesday the Tonopah Lithium Project in Nevada, United States.Argosy said the sale",reuters
134,"Albemarle to delay construction plans for 125,000 tons of lithium processing",08/08/2019,"delay construction plans for about 125,000 tons of additional lithium the world's top lithium producer is happening as trade tensions between",reuters
135,"Albemarle to delay construction of 125,000 tons of lithium processing capacity",08/08/2019,"construction of about 125,000 tons of additionallithium processing",reuters
136,Lithium producer Albemarle raises 2019 adjusted profit forecast,07/08/2019,", as theworld's largest lithium producer sold more volumes of lithium",reuters
137,Australia's Galaxy Resources flags impairment charge on review of flagship lithium project,06/08/2019,in Western Australia.The lithium miner attributed the charge to the Mt,reuters
138,"Indian firms set up JV to mine for lithium, cobalt overseas",01/08/2019,"such as lithium and cobalt, whichare used in the manufacture resource base, lithium and cobaltare significant,"" the statement said",reuters
139,Chile's Codelco announces joint lithium project with Salar Blanco,01/08/2019,lithium project at the Salar de Maricunga in the country's north by Australia's Lithium Power International with smaller stakes held,reuters
140,Australia's Altura Mining inks lithium supply deal with Chinese battery maker,31/07/2019,(Reuters) - Lithium miner Altura Mining Ltd said on Thursday it has signed an agreement to supply lithium to Chinese battery maker,reuters
141,"Miner Lithium Australia furthers battery push with Chinese partner, shares jump",30/07/2019,"(Reuters) - Lithium Australia NL  said on Tuesday, to sell a range of lithium-ion batteries in the domestic market",reuters
142,Australian lithium producers flag tough market through end of 2019,25/07/2019,"MELBOURNE (Reuters) - Australia-listed lithium producers see little produces lithium carbonate from Argentina, and Pilbara Minerals Ltd",reuters
143,Australian lithium miner Altura raises $15.8 million as big shareholder raises stake,22/07/2019,A$22.4 million ($15.8 million) in the company.The lithium miner said-based supplier of lithium-ion battery materials. Last month,reuters
144,Australian lithium miner Altura raises $15.8 mln as big shareholder raises stake,22/07/2019,million ($15.8 million) in thecompany.The lithium miner said cents per share on July19.Shanshan is a China-based supplier of lithium,reuters
145,Europe's largest lithium project could be up and running mid-2022: EMH,22/07/2019,"at its Cinovec lithium project in the Czech Republic by mid-2022 to the Cinovec lithium/tin project in the Czech Republic, which it describes",reuters
146,Sweden seeks lithium tie-ups in South America amid 'white gold' rush,17/07/2019,towards Peru and other South American countries for lithium tie-ups amid brand Volvo - were looking for alliances with regional lithium and copper,reuters
147,RPT-FOCUS-How lithium-rich Chile botched a plan to attract battery makers,17/07/2019,"country, the world's No.2 miner of lithium, jumpstart its own EV battery governmenthas failed to deliver the bountiful, bargain-priced lithium",reuters
148,How lithium-rich Chile botched a plan to attract battery makers,17/07/2019,", the world's No. 2 miner of lithium, jumpstart its own EV battery industry failed to deliver the bountiful, bargain-priced lithium it had promised",reuters
149,FOCUS-How lithium-rich Chile botched a plan to attract battery makers,17/07/2019,"American country, the world's No.2 miner of lithium, jumpstart its own lithium ithad promised in a fast-changing market, according",reuters
150,"CEZ gives European Metals funding, may partner on lithium project",16/07/2019,developing a large lithium deposit in the country.The loan will mature (EMH) controls the exploration licenses to the Cinovec lithium/tin,reuters
