,headline,date,snippet,source
250,LG Chem plans to invest $424 million for battery material plant in South Korea,25/07/2019,) to build a factory in South Korea to produce cathode material for lithium-ion among its customers. Cathodes in lithium-ion batteries are made up,reuters
251,LG Chem plans to invest $424 mln for battery material plant in S.Korea,25/07/2019,for lithium-ion batteries.LG Chem plans to break ground in the city of Gumi customers.Cathodes in lithium-ion batteries are made up of lithiummetal,reuters
252,Mining and metals group Eramet hopes for better second-half after weak prices hit first-half results,24/07/2019,production in Gabon and develop lithium in Argentina have taken a key step,reuters
253,Mining and metals group Eramet hopes for better H2 after weak prices hit H1 results,24/07/2019,in Gabon and developlithium in Argentina have taken a key step forward,reuters
254,"Battery materials cobalt, nickel face supply crunch by mid 2020s -WoodMac",23/07/2019,", lithium and nickel -- couldface asupply crunch by mid 2020s.* Cobalt% of total lithiumdemand by 2030.* Investment in new nickel projects",reuters
255,BHP makes $400 million climate-change emissions pledge,23/07/2019,"than minerals that are needed for electric vehicles, such as lithium",reuters
256,"CANADA STOCKS-TSX rises, mirrors gain in global equities",23/07/2019,"%.* The most heavily traded shares by volume were NemaskaLithium Inc, Royal",reuters
257,METALS-LME base metals sea-sawed ahead of key policy meetings,23/07/2019,without adequate stockpiles. * LITHIUM: European Metals Holdings could beginoperations at its Cinovec lithium project,reuters
258,METALS-LME nickel rebounds amid broader gains in base metals,22/07/2019,without adequate stockpiles. * LITHIUM: European Metals Holdings could beginoperations at its Cinovec lithium,reuters
259,Australian lithium miner Altura raises $15.8 million as big shareholder raises stake,22/07/2019,A$22.4 million ($15.8 million) in the company.The lithium miner said-based supplier of lithium-ion battery materials. Last month,reuters
260,Australian lithium miner Altura raises $15.8 mln as big shareholder raises stake,22/07/2019,million ($15.8 million) in thecompany.The lithium miner said cents per share on July19.Shanshan is a China-based supplier of lithium,reuters
261,CANADA STOCKS-TSX rises as energy stocks gain on higher oil prices,22/07/2019,"heavily traded shares by volume were NemaskaLithium Inc, Royal Bank",reuters
262,Europe's largest lithium project could be up and running mid-2022: EMH,22/07/2019,"at its Cinovec lithium project in the Czech Republic by mid-2022 to the Cinovec lithium/tin project in the Czech Republic, which it describes",reuters
263,Indonesia aims to start electric vehicle production in 2022,18/07/2019,in lithium batteries.Companies such as Toyota Motor Corp and Hyundai,reuters
264,RPT-COLUMN-Nickel jumps but fear of Indonesia export ban is unfounded: Andy Home,17/07/2019,"into a lithium-ion battery,nickel is now firmly on the speculative radar",reuters
265,METALS-Copper tumbles from two-week peak as Trump renews China tariff threat,17/07/2019,branch of the International Tin Association showed.CHILE LITHIUM: How lithium-rich Chile botched a plan toattract battery makers.COLUMN,reuters
266,Sweden seeks lithium tie-ups in South America amid 'white gold' rush,17/07/2019,towards Peru and other South American countries for lithium tie-ups amid brand Volvo - were looking for alliances with regional lithium and copper,reuters
267,COLUMN-Nickel jumps but fear of Indonesia export ban is unfounded: Andy Home,17/07/2019,"and everything metallic that goes into a lithium-ion battery,nickel",reuters
268,RPT-FOCUS-How lithium-rich Chile botched a plan to attract battery makers,17/07/2019,"country, the world's No.2 miner of lithium, jumpstart its own EV battery governmenthas failed to deliver the bountiful, bargain-priced lithium",reuters
269,How lithium-rich Chile botched a plan to attract battery makers,17/07/2019,", the world's No. 2 miner of lithium, jumpstart its own EV battery industry failed to deliver the bountiful, bargain-priced lithium it had promised",reuters
270,FOCUS-How lithium-rich Chile botched a plan to attract battery makers,17/07/2019,"American country, the world's No.2 miner of lithium, jumpstart its own lithium ithad promised in a fast-changing market, according",reuters
271,Power tools firm Husqvarna CEO sees battery restraints for another decade,16/07/2019,"is lithium ion battery technology,"" he told Reuters in an interview",reuters
272,"CEZ gives European Metals funding, may partner on lithium project",16/07/2019,developing a large lithium deposit in the country.The loan will mature (EMH) controls the exploration licenses to the Cinovec lithium/tin,reuters
273,Czech Republic - Factors To Watch on July 16,16/07/2019,a potential stake in the companywhich is developing a lithium deposit,reuters
274,METALS-Shanghai nickel hits 10-1/2-month high on Indonesian supply concerns,14/07/2019,showed.* LITHIUM: Chile's Molymet has dropped a project to build Chilean lithium from top producer Albemarle.* For the top stories,reuters
275,Molymet drops plans for battery parts factory in Chile,13/07/2019,"guaranteed access to cheap Chilean lithium from topproducer Albemarle Molymet a highly coveted,27-year supply of discounted lithium",reuters
276,Exclusive: Pentagon races to track U.S. rare earths output amid China trade dispute,12/07/2019,"to boost domestic production of lithium, rare earths and other strategic",reuters
277,CANADA STOCKS-TSX flat as healthcare offsets materials' gains,12/07/2019,"by volume were CannTrust,Aurora Cannabis and Nemaska Lithium.* The TSX",reuters
278,Britain's Cornish Lithium turns to crowd funding,12/07/2019,"minerals, not just lithiumBy Barbara LewisLONDON, July 12 (Reuters) - Cornish Lithium, a batteryminerals firm set up by a former City",reuters
279,METALS-Copper extends losses as markets await firm U.S.-China deal,09/07/2019,"oflithium exports hit $76 million, down 23% year on year.CONGO",reuters
280,China's Great Wall-linked battery maker plans to build 20 GWh factory in Europe,09/07/2019,-free lithium-ion battery - a goal of battery producersaiming,reuters
281,Pilbara Minerals inks additional lithium supply deal with China's Great Wall,09/07/2019,(Reuters) - Australian lithium miner Pilbara Minerals on Tuesday said,reuters
282,Australia's Pilbara Minerals inks supply deal with China's Great Wall Motor,09/07/2019,July 9 (Reuters) - Australian lithium miner Pilbara Minerals material forlithium.Deliveries under the deal will begin in August,reuters
283,Australian lithium miner Altura Mining inks supply deal with China firm,08/07/2019,"for lithium, to a Chinese producer of the battery metal.The miner, Altura will supply Chinese lithium producer Shandong Ruifu with 35,000",reuters
284,Intra-Cellular drug fails bipolar depression study; shares fall 14%,08/07/2019,-on therapy to lithium or valproate in a third trial. If the drug,reuters
285,"Chile copper, lithium exports slide in June -central bank",08/07/2019,of the country's prized copper andlithium exports both slid from percent from theprevious year to $2.628 billion. The value of lithium,reuters
286,VW to deepen alliances with battery suppliers for electric push,08/07/2019,", Volkswagen sees potential for using lithium Iron based batteries, known",reuters
287,India proposes tax benefits for electric vehicles to promote sales,05/07/2019,lithium storage batteries and solar electric charging infrastructure,reuters
288,"Tsingshan, partners face cost hike at Indonesia battery chemicals plant - sources",05/07/2019,provide large amountsof the chemicals used to make the lithium-ion,reuters
289,"'Safe like China': In Argentina, ZTE finds eager buyer for surveillance tech",05/07/2019,company is heavily invested in lithium mining in the province and China has,reuters
290,"INSIGHT-""Safe like China"": In Argentina, ZTE finds eager buyer for surveillance tech",05/07/2019,invested in lithium mining in the province and China hasprovided,reuters
291,Australian shares surge to highest since Nov 2007; NZ at another peak,03/07/2019,"on the mining subindex, which fell about0.5%.Lithium miner Pilbara",reuters
292,"Japan's JX Nippon Mining seeks pot of gold in high-tech chips, batteries",03/07/2019,developing materials used in all-solid lithium ion batteries,reuters
293,"Australian shares end firmer on trade truce, rate-cut hopes; NZ dips",01/07/2019,on the basis of stronger basemetal prices.Lithium miner Galaxy Resources,reuters
294,RPT-UPDATE 2-Toyota to invest $2 bln in developing electric vehicles in Indonesia,27/06/2019,"ingredient in thelithium-ion batteries used to power EVs, and has been, can become a majorregional player in lithium battery production",reuters
295,Toyota to invest $2 billion in developing electric vehicles in Indonesia,27/06/2019,"laterite ore, a vital ingredient in the lithium-ion batteries used to power-largest car production hub, can become a major regional player in lithium",reuters
296,RPT-COLUMN-Why Goldman thinks nickel is trading like a biotech start-up: Andy Home,26/06/2019,to lithium-ion batteries and one thatwill grow over time as battery,reuters
297,COLUMN-Why Goldman thinks nickel is trading like a biotech start-up: Andy Home,26/06/2019,DREAMSNickel is a key input to lithium-ion batteries and one,reuters
298,Nevada utility announces three major solar projects with battery storage,26/06/2019,with a 135 MW lithium ion battery and will be located on the Moapa River,reuters
299,Chile's Zaldivar mine asks for more time to answer questions amid Atacama water concerns,25/06/2019,"from Chile's lithium-rich Atacama salt flat.Chilean regulators last."" The Atacama salt flat is home to lithium miners SQM and Albemarle Corp",reuters
300,Spanish stocks - Factors to watch on Tuesday,25/06/2019,aninitial drill programme in Spain to test for metals includinglithium,reuters
301,RPT-COLUMN-Boom-and-bust lithium market needs a pricing rethink: Andy Home,24/06/2019,"(Repeats JUNE 24 story. No change to text.)* Lithium Prices: https Corp., theworld's largest lithium producer, is not impressed",reuters
302,COLUMN-Boom-and-bust lithium market needs a pricing rethink: Andy Home,24/06/2019,"for Reuters.)* Lithium Prices: https://tmsnrt.rs/2ZJsukYBy Andy HomeLONDON, June 24 (Reuters) - Albemarle Corp., theworld's largest lithium",reuters
303,France's Eramet gives go-ahead to lithium project in Argentina,24/06/2019,"approved thedevelopment of a lithium mine in Argentina as the French 24,000tonnes of lithium carbonate equivalent per year in a first",reuters
304,"China's Chengtun starts construction of 60,000-tonnes lithium project - Sichuan Daily",23/06/2019,"started construction of a lithium processingproject with an annual to produce 30,000 tonnes of lithium,20,000 tonnes of battery-level",reuters
305,South Korea's POSCO drops plans for Chilean battery material plant,21/06/2019,guaranteed access to cheap lithium from top producer Albemarle. POSCO in exchange for a 27-year supply of low-cost lithium. The problem,reuters
306,Toyota Tsusho to wait on EV market before upping lithium investment,21/06/2019,"of the world's biggest lithium producers, said on Friday it would take for lithium."" Lithium is one of the core ingredients to make EV",reuters
307,"METALS-Copper, nickel at over 3-week high as dollar eases on Fed rate cut hints",20/06/2019,"a new phasein negotiations, Chinese state media said. * LITHIUMentire remaining 11.8% stake in the lithium miner",reuters
308,Swiss stocks - Factors to watch on June 20,20/06/2019,manufacturing lines for lithium-ion battery modulesfor transport,reuters
309,BRIEF-Leclanche And Comau To Develop Project In E-Mobility,20/06/2019,AUTOMATED MANUFACTURING LINESFORLITHIUM-ION BATTERY MODULES FOR TRANSPORT,reuters
310,RPT-COLUMN-United States aims to reshape the critical minerals world: Andy Home,19/06/2019,revolution such as lithium and cobaltrepresents a second front,reuters
311,COLUMN-United States aims to reshape the critical minerals world: Andy Home,19/06/2019,of theelectric transport revolution such as lithium and cobalt,reuters
312,METALS-Shanghai base metals rise as U.S.-China trade talks set to resume,19/06/2019,the plant.* TIANQI LITHIUM: Tianqi Lithium Corp said onTuesday it would,reuters
313,CORRECTED-METALS-Shanghai base metals rise on U.S.-China trade hopes,18/06/2019,earlier in the day.* Tianqi Lithium Corp said on Tuesday it would,reuters
314,Tianqi Lithium steps up inspections after earthquakes in China's Sichuan,18/06/2019,"BEIJING, June 18 (Reuters) -* Tianqi Lithium Corp said on Tuesday",reuters
315,METALS-Copper rises as supply risks mount,13/06/2019,"lithium projects are making a fresh push forcapital, eager to supply",reuters
316,European lithium projects gain attention amid push toward electric vehicles,13/06/2019,"lithium projects are making a fresh push for capital, eager to supply.That would require local supplies of the metal, and lithium projects",reuters
317,Blackwater founder expands operations in Congo,13/06/2019,"cobalt, copper and lithium thatare needed for electric car batteries",reuters
318,China's Ganzizhou Rongda Lithium restarts spodumene mine after five years,13/06/2019,"BEIJING (Reuters) - Chinese lithium firm Youngy Co Ltd's wholly owned subsidiary, Ganzizhou Rongda Lithium Co Ltd, resumed production",reuters
319,China's Ganzizhou Rongda Lithium restarts spodumene mine after 5 years,13/06/2019,"BEIJING, June 13 (Reuters) - Chinese lithium firm Youngy CoLtd's wholly owned subsidiary, Ganzizhou RongdaLithium Co Ltd, resumed",reuters
320,Australia's Wesfarmers sees Kmart earnings drop in economic warning sign,13/06/2019,"over lithium miner Kidman Resources Ltd and, on Wednesday, online",reuters
321,CORRECTED-UPDATE 2-Australia's Wesfarmers sees Kmart earnings drop in economic warning sign,13/06/2019,"Lynas Corp, while taking overlithium miner Kidman Resources Ltd",reuters
322,KKR to sell Korea-based KCFT to SK Group affiliate for $1 billion,12/06/2019,clad laminates used in lithium-ion batteries for electric vehicle,reuters
323,KKR to sell Korea-based KCFT to SK Group affiliate for $1 bln,12/06/2019,and flexiblecopper clad laminates used in lithium-ion batteries for electric,reuters
324,Nemaska Lithium eyes fresh steps to raise capital for Quebec project: executive,12/06/2019,"SANTIAGO (Reuters) - Nemaska Lithium Inc may issue new shares, take a lithium project in Quebec that faces cost overruns of more than $300",reuters
325,Nemaska Lithium eyes fresh steps to raise capital for Quebec project -executive,12/06/2019,"SANTIAGO, June 12 (Reuters) - Nemaska Lithium Incmay issue new to build a lithium project in Quebec,executive Wanda Cutler said",reuters
326,Sweden's Northvolt raises $1 billion to complete funding for mammoth battery plant,12/06/2019,"lithium-ion battery plant, Sweden's Northvolt said on Wednesday after",reuters
327,Sweden's Northvolt completes capital raising for giant battery plant,12/06/2019,its plans to build Europe's biggest lithium-ionbattery plant.Northvolt of the initial 16 GWh of lithium-ion batterycell manufacturing capacity,reuters
328,"METALS-Copper eases amid slowdown worries, lingering trade woes",12/06/2019,"their reserves of minerals such as lithium, copper and cobalt output of its world-leading reserves of lithium.* For the top stories",reuters
329,Australia's Wesfarmers buying online retailer Catch in e-commerce push,12/06/2019,", with plays for lithium miner Kidman Resources and rare-earth producer",reuters
330,Albemarle details efforts to boost its Chilean lithium output by 30 percent,11/06/2019,"Chilean lithium output by nearly a third and said it is working to reduce, if successful, help the world's largest lithium producer solidify",reuters
331,Albemarle declines to participate in LME lithium contract,11/06/2019,"largest lithium producer, said on Tuesday it will not participate a view by some that lithium, used to make electric car batteries",reuters
332,Chile to clean up rules for lithium industry to boost production,11/06/2019,"rules around its lithium industry to maintain its global share of output of lithium investors in Santiago, Mining Minister Baldo Prokurica said",reuters
333,Amazon is (so far) winning its war against products liability exposure,11/06/2019,additional information about lithium ion batteries and safety tips,reuters
334,U.S. seeks to help countries boost key minerals' output to reduce reliance on China,11/06/2019,"develop their reserves of minerals like lithium, copper and cobalt",reuters
335,Chile to push both private and public investment in lithium,11/06/2019,"of ultralight battery metal lithium.At a gathering of lithium investors of lithium carbonate equivalent per year by 2023.The country produced 96,053",reuters
336,Albemarle says won't participate in LME lithium contract,11/06/2019,"lithium producer, said on Tuesday it will notparticipate in the London,and that's not what we believe this (lithium market) is,"" DavidRyan, Albemarle's",reuters
337,U.S. says it will help boost world minerals output to reduce reliance on China,11/06/2019,countries around the world develop their reserves ofminerals like lithium,reuters
338,Factbox: Some of the biggest candidates for Shanghai's new tech board,11/06/2019,for lithium-ion batteries is seeking funds to expand production,reuters
339,METALS-Copper prices extend gains on hopes China imports could grow,10/06/2019,"States.* LME: The London Metal Exchange surprised the lithiummarket as market leader.* LITHIUM: Opaque pricing for lithium, the powerhouse metal",reuters
340,Kibaran Resources outlines plans for battery graphite plant amid overseas demand,10/06/2019,The graphite processed at the facility will be exported to lithium-ion battery,reuters
341,LME shocks market with Fastmarkets choice as lithium partner,10/06/2019,Exchange (LME) surprised the lithium market on Monday with its choice Minerals Intelligence (BMI) had worked with the LME on developing lithium,reuters
342,Tianqi says happy 'for now' with stake in SQM: president,10/06/2019,"By Ernest ScheyderSANTIAGO (Reuters) - Tianqi Lithium Corp is happy ties with the Chilean lithium producer, the Chinese company's",reuters
343,Tianqi says happy 'for now' with stake in SQM -president,10/06/2019,"SANTIAGO, June 10 (Reuters) - Tianqi Lithium Corpis happy for now with its stake in Chilean lithiumproducer SQM and is working to deepen",reuters
344,LME chooses Fastmarkets for lithium contract pricing,10/06/2019,"chosen Fastmarkets to provide the reference price for itsplanned lithium delayed the launch of a contract for lithium, which is vitalfor electric",reuters
345,How much does lithium cost? The industry can't seem to agree,09/06/2019,"By Ernest ScheyderSANTIAGO (Reuters) - Opaque pricing for lithium electric cars, there is no traded price for lithium. The London Metal",reuters
346,Toyota speeds up electric vehicle schedule as demand heats up,07/06/2019,", increasingly stringent emissions regulations require more lithium-ion.Toyota has for decades been developing its own lithium-ion EV battery",reuters
347,Exclusive: Pentagon eyes rare earth supplies in Africa in push away from China,06/06/2019,"to a maximum 416 tonnes), lithium ion battery precursors (0.02 tonnes",reuters
348,CORRECTED-Around 5 mln T of lithium deposits found in southwest China,05/06/2019,5 million tonnesof lithium deposits have been found in China's reported the find on Wednesday.Demand for lithium is growing rapidly,reuters
349,"Varta hikes production on demand boom, considers capital increase",05/06/2019,"global market leadership for lithium-ion batteries with a market share of around 50% in 2020, it added.Lithium-ion batteries are used to power",reuters
350,METALS-Most metals rise as dollar weakens on dovish Fed comments,05/06/2019,to reducereliance from foreign sources.* CHINA LITHIUM: An estimated 5 million tonnes of lithiumdeposits have been found in China's Yunnan,reuters
351,METALS-Weaker dollar boosts copper prices to near 1-week high,04/06/2019,"""significant shocks"" in global supply chains.* CHINA LITHIUM: An estimated 5 million tonnes of lithiumdeposits have been found in China's",reuters
352,METALS-Copper rebounds as dollar weakens on dovish Fed comments,04/06/2019,of lithium deposits havebeen found in China's southwestern province,reuters
353,Around 5 million tonnes of lithium deposits found in southwest China,04/06/2019,SHANGHAI (Reuters) - An estimated 5 million tonnes of lithium. Demand for lithium is growing rapidly as some consumers shift away from,reuters
354,Zimbabwe says mines can pay for power in foreign currency to secure supply,31/05/2019,"by lithium batteries. In Harare, Bravura Consortium on Friday signed",reuters
355,"Chile, once the world's lithium leader, loses ground to rivals",30/05/2019,"possesses the world's largest reserves of lithium, a lightweight metal crucial to manufacturing batteries for electric vehicles. Chile's lithium",reuters
356,METALS-Copper rises but heading for 6th week of declines,24/05/2019,"and challenging.* SQM: Chile's SQM, the world's No. 2 producer oflithium",reuters
357,METALS-Copper rebounds from more than 4-month low as dollar eases,23/05/2019,"oflithium, said it would delay a key expansion of productioncapacity from",reuters
358,Chile lithium producer SQM delays Atacama expansion amid price slump,23/05/2019,"producer of lithium, said on Thursday it would delay a key expansion drop of nearly 30% in the first quarter, due to weaker lithium prices",reuters
359,"Chilean lithium producer SQM's profits fall on lower prices, higher royalties",23/05/2019,"producer of lithium, said on Thursday that first-quarterearnings in the lithium business line.""The Chilean miner sold lithium at an average price",reuters
360,CANADA STOCKS-TSX futures fall on fears of endless trade war,23/05/2019,: CanaccordGenuity cuts rating to hold from buyLithium Americas Corp,reuters
361,Zimbabwe awards platinum concession to firm linked to Nigerian billionaire,23/05/2019,powered by lithium batteries.The information ministry said Bavura,reuters
362,Australia's Kidman Resources agrees to $534 mln Wesfarmers takeover,22/05/2019,May 23 (Reuters) - Australian lithium miner Kidman ResourcesLtd lodged a A$1.90 per share bid for the lithiumminer on May 2.($1,reuters
363,"Australia, NZ shares edge up, but trade tensions hold back gains",22/05/2019,BHP Group and Rio Tintoreversed course to edge higher. Lithium,reuters
364,Global miner BHP plans to expand nickel output amid battery boom,21/05/2019,"is not looking to produce main battery ingredient lithium as it sees BHP was not looking to move into lithium, expecting profits",reuters
365,Rare earth firms' stocks soar on U.S.-China trade war speculation,21/05/2019,"to China-based producers. Canada's Largo Resources Ltd, Lithium Americas",reuters
366,Glencore to supply cobalt feedstock to restart First Cobalt refinery in Canada,21/05/2019,the potential to produce either a cobalt sulfate for the lithium-ion,reuters
367,BRIEF-Blackstone Resources AG Strategic Alliance In Lithium,21/05/2019,ALLIANCE IN LITHIUM* BLACKSTONE RESOURCES AG -UNIT ENTERED DEALCONCESSIONS FOR LITHIUM RESOURCES* BLACKSTONE RESOURCES AG - CONCESSIONS,reuters
368,"Bolivia's Morales defies term limits, launches bid for fourth term",18/05/2019,areas and tap the country's potential as a major lithium producer,reuters
369,Ford revs up to sell hybrids with appeal of speed and power,17/05/2019,"with a lithium-ion battery, an electric motor and a 10-speed transmission motor and lithium-ion battery pack to a 10-speed automatic",reuters
370,Japan's SMM aims to double battery material capacity in nine years,17/05/2019,) cathode materials used in Panasonic Corp's lithium-ion battery,reuters
371,Japan's SMM aims to double battery material capacity in 9 yrs,17/05/2019,materials used inPanasonic Corp's lithium-ion battery that powers,reuters
372,"Lithium Americas names new CEO, quarterly loss shrinks",15/05/2019,"By Ernest Scheyder(Reuters) - Lithium Americas Corp, which is developing lithium projects in Argentina and Nevada, said on Wednesday",reuters
373,Rpt-Livent aims to boost lithium sales to EV sector by 2020,15/05/2019,(Reuters) - Livent Corp aims to derive morethan half of its lithium sales toretain some customers and offset gyrations in the price oflithium,reuters
374,"METALS-Copper rises on renewed trade deal hopes, Germany's growth recovery",15/05/2019,"operations, while Rio Tinto,is working on copper and lithium projects",reuters
375,China's CATL signs multi-billion-dollar battery supply deal with Volvo,15/05/2019,battery supply deal with Volvo Car Group. The deal to supply lithium ion,reuters
376,LG Chem says it has won EV battery supply deal with Volvo Cars,15/05/2019,on Wednesday said it has won a long-term deal tosupply lithium ion,reuters
377,METALS-Copper rises on trade hopes; aluminium seen pressured by strong China output,15/05/2019,",is working on copper and lithium projects as the miningindustry bets",reuters
378,METALS-Copper rises on U.S.-China trade talk hopes,14/05/2019,"Rio Tinto, is working on copper andlithium projects as the mining",reuters
379,Livent aims to boost lithium sales to EV sector by 2020,14/05/2019,half of its lithium sales from the electric vehicle industry by next in the price of lithium it produces. While the company's lithium,reuters
380,U.S. Senate moves forward on plan to develop electric vehicle supply chain,14/05/2019,"and permitting requirements for the development of mines for lithium show, for example, that the United States has 35,000 tonnes of lithium",reuters
381,Barrick Gold prepping sale of Zambian copper mine in second half: sources,14/05/2019,", and cobalt, used in lithium-ion batteries, will keep the tax receipts",reuters
382,Barrick Gold prepping sale of Zambian copper mine in H2 - sources,14/05/2019,", and cobalt, used in lithium-ion batteries, willkeep the tax receipts",reuters
383,U.S. faces hurdles in push to build electric vehicle supply chain,14/05/2019,"forlithium, graphite and other EV minerals.The bipartisan legislation35,000 tonnes of lithium in reserve, a figure that the agency",reuters
384,Livent executives to exit after lithium forecast slashed,10/05/2019,"just days after the lithium producer cut its 2019 forecast and warned of strategy and investor relations, has already left.Lithium is a key",reuters
385,"Livent's head of strategy, IR leaving for 'other opportunities'",10/05/2019,By Ernest ScheyderMay 10 (Reuters) - Lithium producer Livent Corp this year it was lookingto buy another lithium mine; the company's only,reuters
386,Albemarle touts new project to boost its Chilean lithium output by 30 percent,09/05/2019,"it is moving forward on a project it claims will boost its Chilean lithium by 2021, Kissam said, without providing its cost.Lithium output is closely",reuters
387,Albemarle says new technology will boost Chilean lithium output by 30 percent,09/05/2019,forward on a project to boost Chilean lithiumproduction by 30 percent,reuters
388,Albemarle's lithium sales drop after Chilean rains,08/05/2019,"producer of lithium used to make electric vehicle batteries, posted of flame retardant chemicals offset a dip in lithium sales.The weakness",reuters
389,"Albemarle first-quarter profit rises, but lithium sales slip",08/05/2019,"of lithium used to make electric vehiclebatteries, posted a slight rise offset a dip in lithiumsales.The company posted first-quarter net",reuters
390,"EMERGING MARKETS-Latam currencies gain against soft dollar, Brazil stocks rise",08/05/2019,"about half a percent, dragged lowerby lithium producer Sociedad Quimica",reuters
391,"Livent cuts 2019 profit, revenue forecast",07/05/2019,(Reuters) - U.S. lithium producer Livent Corp on Tuesday cut its full of lithium hydroxide to some of its main customers.Livent said it expects,reuters
392,RPT-Wesfarmers' soft bid for Kidman spotlights lithium's financing issues,05/05/2019,"reluctant to finance lithium mines because of priceriskBy Melanie Burton Kidman Resources undervalues the lithiumminer, analysts said on Friday",reuters
393,Wesfarmers' soft bid for Kidman spotlights lithium's financing issues,03/05/2019,"for Australia's Kidman Resources undervalues the lithium miner, analysts said. Morgan and Canaccord Genuity.Prospects for lithium demand look",reuters
394,Exclusive: Tesla expects global shortage of electric vehicle battery minerals -sources,03/05/2019,"industry. Copper, nickel, lithium and related minerals are key of Energy, as well as Standard Lithium Ltd, ioneer Ltd and other",reuters
395,Exclusive: U.S. seeks to challenge China's electric-vehicle supply chain dominance,03/05/2019,"requirements for the development of mines for lithium, graphite of the world's lithium-ion batteries - compared with 5 percent for the United",reuters
396,Australian battery materials plant eyes financing deal by end-June,03/05/2019,of the materials used in lithium batteries for electric vehicles,reuters
397,Exclusive: Tesla expects global shortage of electric vehicle battery minerals - sources,02/05/2019,"industry. Copper, nickel, lithium and related minerals are key of Energy, as well as Standard Lithium Ltd, ioneer Ltd and other",reuters
398,France and Germany commit to European electric battery industry,02/05/2019,"high-density lithium-ion and solid-state technology, targeting",reuters
399,Australia shares end lower on Fed comments as financials drag; NZ soars,02/05/2019,jumped 45 percent followingWesfarmers' bid to buy the lithium miner,reuters
400,Wesfarmers bets on electric cars with $544 million bid for Australian lithium miner Kidman,02/05/2019,"million) to buy lithium miner Kidman Resources Ltd on Thursday, its the development of its Mt Holland lithium project.DRIVING GROWTHUnder Rob",reuters
401,"Australia shares slip on Fed comments, weak earnings; NZ rises",01/05/2019,to acquireAustralian lithium miner Kidman Resources for aboutA$776 million,reuters
402,PRESS DIGEST- Financial Times - May 2,01/05/2019,$560 mln bid for Australian lithiumminer https://on.ft.com/2Y4O8iNUK lithium miner which is developing one of the world'slargest hard rock,reuters
403,CANADA STOCKS-TSX edges lower as material shares weigh,01/05/2019,"Lithium, Kerr Mines Inc and Aurora Cannabis.* The TSX posted three",reuters
404,Royalties for lithium to be set case by case in Chile: minister,30/04/2019,"Prokurica said royalties for the ultralight battery metal lithium supply of lithium comes from Atacama, a sprawling salt flat",reuters
405,Royalties for lithium to be set case by case in Chile -minister,30/04/2019,"lithium would be set on a ""case-by-case"" basis from now on,using of the world's supplyof lithium comes from Atacama, a sprawling salt flat",reuters
406,"EV battery maker LG Chem sues SK Innovation, alleges trade secret theft",30/04/2019,imports of samples of lithium-ion batteries and infrastructure,reuters
407,Chile to China: Let us be your business hub in Latin America,25/04/2019,"and Yutong. Chile is one of the world's largest producers of lithium, a key",reuters
408,Panasonic may upgrade Japan plant to make advanced Tesla batteries: source,24/04/2019,"cylindrical lithium-ion ""18650"" cells, used to power Tesla's Model S",reuters
409,Panasonic may upgrade Japan plant to make advanced Tesla batteries -source,24/04/2019,"handle cylindrical lithium-ion ""18650""cells, used to power Tesla's",reuters
410,China's Tsingshan expands plans for Zimbabwe steel plant,23/04/2019,"and a lithium concession, Zimbabwe's Mines Minister Winston Chitando said as well as to mine lithium.Tsingshan's subsidiary, Afrochine, already has",reuters
411,China to support hydrogen and fuel cell vehicles to go green,23/04/2019,and pure electric vehicles with lithium batteries are important technical,reuters
412,METALS-Shanghai aluminium hits 4-1/2-month high on improved China outlook,17/04/2019,"complex. Lead was alsodown, while tin was flat. * LITHIUM: China's Tianqi Lithium Corp said onWednesday it would nominate two",reuters
413,China's Tianqi taps 'safe choices' for board of top lithium miner SQM,17/04/2019,"By Dave Sherwood SANTIAGO (Reuters) - China's Tianqi Lithium Corp to the board of lithium miner SQM, candidates seen as 'safe choices",reuters
414,"China's Tianqi Lithium to nominate two Chileans, U.S. executive to SQM board",17/04/2019,"SANTIAGO, April 17 (Reuters) - China's Tianqi Lithium Corpsaid and a U.S. executive as candidatesto the board of top Chilean lithium",reuters
415,Rio Tinto warning may rupture mining industry into green and dirty: Russell,16/04/2019,"a miner of lithium, cobalt or copper in a well-regulated jurisdiction",reuters
416,RPT-INSIGHT-The uphill road: battery limitations to test China's electric vehicle ambitions,16/04/2019,"ofcobalt, the most expensive part in lithium-ion batteries.Firmscobalt, while a conventional lithium-ion battery uses 60 percentnickel",reuters
417,The uphill road: battery limitations to test China's electric vehicle ambitions,16/04/2019,"expensive part in lithium-ion batteries.Firms such as China's Contemporary lithium-ion battery uses 60 percent nickel, 20 percent manganese and 20",reuters
418,COLUMN-Rio Tinto warning may rupture mining industry into green and dirty: Russell,16/04/2019,"of the mining scale.For example, why would a miner of lithium, cobalt or copper",reuters
419,China's Fujian launches plant for high nickel battery materials,16/04/2019,of cathodematerials for high nickel content lithium-ion batteries,reuters
420,INSIGHT-The uphill road: battery limitations to test China's electric vehicle ambitions,15/04/2019,"part in lithium-ion batteries.Firms such as China's Contemporary, 10 percent manganese, 10 percentcobalt, while a conventional lithium",reuters
421,Volkswagen pushes battery partners to build Gigafactories,15/04/2019,lithium-ion battery cells for an electric car that Volkswagen plans to start,reuters
