date,headline,sentiment.polarity
04/10/2018,NetworkNewsAudio Announces Audio Press Release (APR) on Quantum Minerals Corp. Set for Capitalization of Opportunity Amidst Growing Lithium Demand,0.991
03/10/2018,NetworkNewsWire Announces Publication on Burgeoning Need for Energy Grid Storage Driving Lithium Demand,0.991
01/10/2018,"MGX Minerals Announces Additional Assays from Drilling at Kibby Basin, Nevada Lithium Project; Up to 580ppm Lithium",0.987
27/09/2018,Azincourt Energy Lithium One Exploration Update,0.996
27/09/2018,"MGX Minerals Preparing to Conduct Drill Program at Francisco Basin Lithium Brine Project, Chile",0.994
25/09/2018,Centenera Completes 100% El Quemado Earn-In,0.802
21/09/2018,Pure Energy Comments on Recent Market Activity,0.937
20/09/2018,NetworkNewsAudio Announces Audio Press Release (APR) on Standard Lithium Ltd. Leveraging “Moneyball” Approach to Create Fast-Track to Production,0.886
20/09/2018,Dajin Resources Brings Uptick Newswire’s Stock Day Podcast Listeners Up to Speed on The Lithium Extraction Industry,0.999
19/09/2018,NetworkNewsWire Announces Publication on Automotive Market Evolution May Fuel Strong Demand for Lithium,0.986
17/09/2018,NetworkNewsAudio Announces Audio Press Release (APR) on Standard Lithium Ltd. (TSX.V: SLL) (FRA: S5L) (OTC: STLHF) Aiming to Leapfrog Competitors in Lithium Supply Space,0.743
17/09/2018,Drill Program Update: QMC and SGS Canada Commence MMI Survey,0.985
14/09/2018,"Millrock Announces Cancelation of Agreement on Lithium Brine Project, New Mexico, USA",0.989
12/09/2018,"MGX Minerals Announces Assays Up To 580ppm  Lithium at Kibby Basin, Nevada Lithium Project",0.99
10/09/2018,"MGX Minerals Engages SRK Consulting for Chilean Exploration; Drill Permits Issued for Salinitas Lithium Project, Argentina",0.996
10/09/2018,"MGX Minerals Announces 6.78% Li2O from Spodumene Grab Sample, Gullwing Lake Pegmatite",0.986
06/09/2018,"MGX Minerals Announces High-Grade Spodumene in 35 m of Pegmatite at Case Lake Lithium Property, Ontario",0.976
05/09/2018,MGX Minerals Appoints Erich Schnake to South American Lithium Mining Team,0.991
04/09/2018,"Metallic Stearate Market to hit $7bn by 2024: Global Market Insights, Inc.",0.996
03/09/2018,"MGX Minerals Identifies Large Geophysical Anomaly at Salinitas Lithium Project, Salinas Grandes, Argentina",0.991
31/08/2018,Enertopia Provides Corporate Update,0.996
29/08/2018,MGX Minerals and Engineering Partner PurLucid Achieve 99.7% Lithium Recovery; Low Cost Polymeric Membrane Breakthrough,0.99
28/08/2018,Successful Production of Premium Quality Boric Acid,0.999
27/08/2018,"MGX Minerals Announces Completion of First Hole to 1800’ at Kibby Basin, Nevada Lithium Brine Project",0.993
23/08/2018,"Lithium Chile Hits 480 mg/L of Lithium Brine on 1ST Drill Hole at Ollague, Chile",0.992
16/08/2018,"Azincourt Energy Samples Up to 3.3% Li2O at Lithium Two Project; Confirms Over 100 Pegmatites at Lithman Properties, Manitoba, Canada",0.998
13/08/2018,"MGX Minerals Completes TDEM Geophysical Survey at Salinitas Lithium Project - Salinas Grande Salar, Argentina",0.988
10/08/2018,"Pure Energy Minerals Announces US$225,000 Convertible Note Offering",0.999
09/08/2018,New Point Exploration Closes $4.6 Million Financing,0.987
08/08/2018,MGX Acquires Lithium Brine Projects in Chile - Rapid Lithium Extraction to be Tested - Drilling to Commence Shortly,0.987
03/08/2018,Start-up Phase of Mining to Target Higher Lithium Grades to Increase Cashflow in Early Years,0.995
02/08/2018,"MGX Announces Drilling at Kibby Basin, Nevada Lithium Brine Project",0.993
31/07/2018,MGX Minerals Commences Laboratory Bench-Scale Testing of Thermochemical Process to Extract Lithium from Spodumene; Case Lake Lithium Project Bulk Sample Testing Underway,0.994
31/07/2018,Global Geoscience Quarterly Activities Report,0.995
30/07/2018,"MGX Minerals Announces Assay Samples Up to 4.43% Li2O at Paterson Lake Lithium Project, Ontario",0.991
30/07/2018,"MGX Minerals Announces TDEM Geophysical Survey at  Salinitas Lithium Project, Salinas Grande Salar Argentina",0.992
26/07/2018,"MGX Minerals Announces Mobilization for Drilling at Kibby Basin, Nevada Lithium Brine Project",0.994
25/07/2018,"MGX Minerals Announces Acquisition of Salinitas Lithium Brine Project at Salinas Grande Salar, Argentina",0.994
24/07/2018,"QMC Plans MMI Geochemical Survey Over Selected Target Areas on the Irgon Mine Project, S.E. Manitoba",0.97
13/07/2018,"MGX Minerals Announces Nevada Lithium Brine Project JV with Belmont Resources; Drilling to Commence at Kibby Basin, NV",0.996
11/07/2018,Azincourt Energy Adds Cat 4 Claim to Lithium Two Project; Expands Eagle Pegmatite to the West,0.994
10/07/2018,Bearing Announces Settlement of Legal Proceedings over Maricunga Concessions and Application for CEOL to Be Submitted in August 2018,0.983
06/07/2018,New Point Announces Closing of First Tranche of Private Placement,0.964
25/06/2018,MGX Minerals Announces Closing of Oversubscribed $15.5M Private Placement for Lithium and Advanced Material Projects,0.992
21/06/2018,Coverage Initiated for Marifil Mines Ltd. (TSXV: MFM) (OTCQB: MFMLF) via NetworkNewsWire,0.997
21/06/2018,"MGX Minerals Announces Commencement of Large-Scale  Drill Program at Case Lake Lithium Project, Ontario",0.985
20/06/2018,Lithium Chile to Begin Drilling Ollague Prospect- Recent Well Sampling Exceeds 1200 mg/l Lithium,0.995
15/06/2018,"NetworkNewsWire Announces Publication on Prospective Junior Miners, Competitors Engaged in Global Lithium Race",0.978
14/06/2018,Azincourt Energy Provides Updates on Its Uranium and Lithium Exploration Projects,0.995
14/06/2018,Successful Completion of A$53 Million Placement,0.994
07/06/2018,Global Geoscience Appoints Senior Commercial Executives to Rhyolite Ridge Lithium‐Boron Project,0.985
06/06/2018,NetworkNewsWire Announces Publication on Lithium Producers Ramping Up Efforts in Anticipation of Accelerated Demand and Price Pressure,0.995
06/06/2018,Development Plans Unveiled for the Rhyolite Ridge Lithium-Boron Project,0.995
04/06/2018,Second Stage Testing Completed “Assays Pending”,0.997
31/05/2018,Pure Energy Minerals Announces Completion of Pilot Plant Basic Design at the Clayton Valley Lithium Project,0.997
25/05/2018,NetworkNewsWire Initiates Coverage for Lithium Chile Inc. (TSX.V:LITH) (OTC:LTMCF),0.983
23/05/2018,NetworkNewsWire Announces Publication on Lithium Opportunities Ahead of Potential Market Explosion,0.976
22/05/2018,New Point Acquires Empire Lithium Property in Nevada,0.997
16/05/2018,New Point Announces Frankfurt Trading Symbol “4NP”,0.956
11/05/2018,Texas Mineral Resources Highlights Round Top Lithium Potential,0.985
09/05/2018,"Brazil Minerals, Inc. Advances Its Lithium Project",0.986
09/05/2018,"Everett Jolly Hosts Jared Lazerson, CEO and Director of MGX Minerals Inc. on Uptick Newswire’s “Stock Day” Podcast",0.964
03/05/2018,Optimisation Success Leads to Further Significant Reductions in Leach Time and Acid Consumption,0.998
02/05/2018,"NetworkNewsWire Announces Publication on Lithium Opportunities Amid Unabated Demand, Material Shortages",0.988
01/05/2018,"Industrial Lithium Battery Innovator Flux Power To Report Q3 ’18 Results and Host Investor Call on Monday May 14, 2018 at 11:00 a.m. ET",0.981
23/04/2018,"Alabama Graphite Announces Closing of Arrangement and the Completion of its Acquisition by Westwater Resources, Inc.",0.997
19/04/2018,"Standard Lithium Completes Successful Gravity Geophysical Survey at Cadiz Dry Lake, California Lithium Project",0.996
18/04/2018,NetworkNewsWire Announces Publication on Lithium Exploration Ramping Up to Meet Demand,0.995
16/04/2018,QMC Reports Historic Li2O Assays From Drill Program on the Irgon Lithium Mine Property,0.567
02/04/2018,"MGX Minerals Announces 15,000 Meter Drill Program at Case Lake Lithium JV",0.967
29/03/2018,SourcingLink.net (SNET) Update on the Lac Fire Lithium Property and Completion of 43-101 Compliant Report with Recommended Work Program,0.765
26/03/2018,"Industrial Lithium Battery Innovator Flux Power, Named to the 2018 Food Logistics Champions: Rock Stars of the Supply Chain",0.999
08/03/2018,MGX Minerals Announces Engagement of Dr. James G. Blencoe to Develop a Thermochemical Process for Extracting Lithium from Spodumene; Case Lake Lithium Project Drill Core to be Tested,0.995
01/03/2018,"Compelling lab results, Lithium solution bench testing up next",0.998
27/02/2018,Pure Energy Minerals Provides Update on Clayton Valley Lithium Project,0.997
22/02/2018,"MGX Minerals Announces Completion of 3,000 Metre Drill Program at Case Lake Lithium; 8,000 Metre Spring Drill Program Planned",0.985
21/02/2018,Global Geoscience: Optimisation Success Reduces Leach Time By 60%,0.995
14/02/2018,MGX Minerals Commences Lithium Brine Testing in Chile; Multiple Projects to be Evaluated,0.918
12/02/2018,"Pure Energy Minerals Launches Maiden Drill Program at its  Terra Cotta Lithium Project, Argentina",0.995
06/02/2018,Pure Energy Minerals Completes First Tranche of Private Placement Offering,0.996
02/02/2018,Enertopia Provides Corporate Update,0.996
24/01/2018,"MGX Minerals Announces 1.79% Li 186ppm Ta Over 6m at Case Lake Lithium, Ontario",0.974
23/01/2018,Quarterly Activities Report For the period ending 31 December 2017,0.994
22/01/2018,Innovation Metals Corp. Announces Successful Laboratory-Scale Separation of Lithium from Lithium Brines and the Potential Production of Battery-Grade Lithium Carbonate Using Proprietary Low-Cost RapidSX™ Process,0.992
22/01/2018,"MGX Minerals Announces Spodumene Mineralization Intersected on New Northeast Dyke at Case Lake; Drill Program Increased to 3,000 metres",0.968
18/01/2018,NetworkNewsWire Announces Publication on Lithium Producers on Watch List for Investment,0.989
18/01/2018,MGX Minerals Announces 2.07 % Li2O and 213.96 ppm Ta Over 18.0 m at Case Lake,0.978
17/01/2018,NetworkNewsWire Announces Publication on M&A Potential as Lithium Suppliers Amp-Up Production,0.992
17/01/2018,Global Geoscience appoints Amec Foster Wheeler for Rhyolite Ridge PFS,0.994
12/01/2018,NetworkNewsWire Announces Publication on Global Lithium Push and Opportunities for Suppliers,0.997
12/01/2018,Testing Update 99.99% Magnesium left behind in Lithium host rock,0.999
11/01/2018,NetworkNewsWire Announces Publication on the Growing Value of the Lithium Market,0.989
10/01/2018,MGX Minerals Announces Commencement of Drill Program at Case Lake Lithium Project,0.949
08/01/2018,Alabama Graphite Announces Reporting of Financial Results for Fiscal 2017 and Provides Update,0.999
05/01/2018,MGX Minerals Announces 17.0 Metres of 1.81% Li2O at Case Lake Lithium Project,0.962
22/12/2017,Liberty One Lithium Initiates Development Plans for 2018,0.999
19/12/2017,Enertopia Provides 2017 Year-end Update,0.997
13/12/2017,"Westwater Resources, Inc. to Acquire Alabama Graphite Corp.",1
13/12/2017,Pure Energy Minerals Receives Permit for Drilling  at Terra Cotta Lithium Project,0.997
06/12/2017,Montero Confirms Spodumene as the Dominant Lithium Mineral at the Soris Lithium Project in Namibia,0.995
06/12/2017,"Strategic Alliance for Lithium Brine Exploration in Railroad Valley, Nevada",0.998
06/12/2017,Pure Energy Minerals Announces Completion of Acquisition of Clayton NE Claims,0.997
05/12/2017,"TGI Solar Power Group, Inc. Electric Vehicles Update",0.939
04/12/2017,MGX Minerals’ Joint Venture Partner Power Metals Samples up to 7.14% Li2O on Surface at Case Lake Lithium Property,0.987
29/11/2017,Majority of Tenements in Pilbara Granted,0.986
28/11/2017,TGI Solar Power Is Pleased To Announce That It Has Signed a MOU with Electric Cars Ltd of Kiev,0.966
27/11/2017,Global Geoscience Appoints Senior Executive to Manage Rhyolite Ridge Lithium‐Boron Project,0.994
27/11/2017,"MGX Minerals Announces New Discoveries and Completion of 50 Hole Drill Program At Case Lake Lithium, Ontario; 20 Hole Follow-up Drill Program Set For January 2018",0.985
23/11/2017,Lithium Target at Tambourah With Rock Chip Assays Up to 1.47% Li2O,0.998
16/11/2017,MGX Minerals Announces Case Lake Lithium Project Drilling Nears Completion,0.995
08/11/2017,Pure Energy Minerals Announces Further Expansion of Clayton Valley Lithium Project,0.999
08/11/2017,"Pacific Rim Cobalt Provides Corporate Update Post Successful Acquisition, Financing and Listing on the Canadian Securities Exchange",0.997
02/11/2017,MGX Minerals’ Joint Venture Partner Power Metals Drills 26.0 Metres of 1.94% Li2O and 323.75 ppm Ta at Case Lake Property,0.993
31/10/2017,Global Geoscience: Quarterly Activities Report For the period ending 30 September 2017,0.993
31/10/2017,Global Geoscience Doubles High-Grade Lithium-Boron Mineral Resource,0.999
31/10/2017,Pure Energy Minerals Announces Positive New Results From Geophysical Exploration at Its Clayton Valley Lithium Project,0.997
16/10/2017,Alabama Graphite Provides Corporate Update,1
13/10/2017,Path Cleared for Grant and Exploration of Macarthur Minerals’ Pilbara Tenements Prospective for Conglomerate Gold and Lithium,0.995
11/10/2017,Pure Energy Minerals Announces MOU With Major Technology and Engineering Firms for Innovative Lithium Pilot Plant,1
10/10/2017,Alabama Graphite Announces Letter of Intent (LOI) to Supply Battery-Ready Graphite Products to U.S. Lead-Acid Battery Manufacturer,0.999
04/10/2017,Artemis Resources Paid Option Fee to Secure Macarthur Minerals Tenements Prospective for Conglomerate Gold in Pilbara Region – Western Australia,0.998
04/10/2017,Discover Battery Appoints New Director - Product & Business Development (Advanced Energy Systems),0.996
02/10/2017,Pure Energy Minerals Announces Positive Results From Geophysical Program at Its Terra Cotta Lithium Project in Argentina,0.997
29/09/2017,Southern Lithium Announces Amendment to Definitive Agreement with Millennial Lithium,0.995
28/09/2017,A$30 Million Fully Underwritten Placement to Advance Rhyolite Ridge Lithium-Boron Project,0.995
28/09/2017,Pure Energy Minerals Completes Non-Brokered Private Placement,0.981
28/09/2017,Macarthur Minerals Announces First Deal on Conglomerate Gold With Artemis Resources in Pilbara Region - Western Australia,0.999
25/09/2017,Rhyolite Ridge Lithium-Boron Project Further De-Risked With Procurement of Water Rights,0.984
21/09/2017,"MGX Minerals Intersects Broad Intervals of Spodumene Pegmatite Mineralization at Case Lake, Ontario Lithium Project",0.963
21/09/2017,UPDATE -- Alabama Graphite Receives Positive Evaluation Results for ULTRA-PMG™ product from RSR Technologies; Improved Dynamic Charge Acceptance (DCA) by 194%,0.999
21/09/2017,Alabama Graphite Receives Positive Evaluation Results for ULTRA-PMG™ product from RSRT Technologies; Improved Dynamic Charge Acceptance (DCA) by 194%,0.999
14/09/2017,Millennial Lithium Announces Upsize to Previously Announced Public Offering to C$10 million,0.995
13/09/2017,Pure Energy Minerals Announces Non-Brokered Private Placement,0.981
31/08/2017,"Further High-Grade Mineralisation Intercepted at Rhyolite Ridge Lithium-Boron Project in Nevada, USA",0.995
29/08/2017,"MGX Minerals Announces Lithium, Magnesium, Silicon, and REE Project Updates",0.999
28/08/2017,Southern Lithium Completes Exploration Payment Schedule to Millennial,0.994
22/08/2017,"Southern Lithium Announces Detail of Brine Density on the Cruz Property, Salta Argentina",0.997
21/08/2017,Macarthur Minerals Announces Update on Iron Ore Projects and Private Placement,0.996
16/08/2017,"Global Geoscience Intercepts High-Grade Lithium-Boron Within and Beyond Existing Resource at Rhyolite Ridge in Nevada, USA",0.99
15/08/2017,Southern Lithium Announces Closing of First Tranche of the Private Placement,0.998
14/08/2017,Macarthur Minerals Acquires 15% of Western Australian Gold and Lithium Project,0.998
08/08/2017,"Southern Lithium Provides Update on Phase One Exploration Program at Cruz Property, Salta Province, Argentina",0.997
08/08/2017,"Standard Lithium Announces Positive Results of Geophysical Survey at Bristol Lake, Mojave Project, California",0.995
02/08/2017,MGX Minerals To Acquire Petrolithium and Spodumene-Bearing Pegmatite Project Portfolio from Power Metals Corp.,0.997
02/08/2017,Standard Lithium to Acquire Lithium Brine Exploration and Production Rights,0.994
01/08/2017,MGX Minerals Commences Pilot Plant Testing for Li-1 Lithium Recovery System,0.982
26/07/2017,Southern Lithium Announces Non-Brokered Private Placement,0.995
25/07/2017,"Macarthur Minerals Reports Surface Grades Up to 405 ppm Lithium in Railroad Valley, Nevada",0.991
12/07/2017,Pure Energy Minerals Commences Surface Exploration Program at Its Terra Cotta Project in Argentina,0.999
11/07/2017,Macarthur Minerals Makes Final Payment for Acquisition of Stonewall Lithium Brine Project,0.995
06/07/2017,MGX Minerals: Engineering Partner PurLucid Treatment Solutions Announces Patent Filing and Exclusive License for Low Energy Process for Rapid Extraction of Lithium and Other Minerals from Oil Wastewater,0.788
28/06/2017,Standard Lithium Appoints Dr. Andy Robinson to Board of Directors,0.998
27/06/2017,MGX Minerals Announces Completion of Large Scale Laboratory Petrolithium Extraction System,0.961
26/06/2017,Pure Energy Minerals Announces Positive Preliminary Economic Assessment and Plans for Pilot Plant at Its Clayton Valley Project,1
22/06/2017,Standard Lithium Raises $7.4 Million in Oversubscribed Financing,0.997
15/06/2017,"Traumatic Brain Injury Can Be Healed, according to the Journal of American Physicians and Surgeons",-0.981
15/06/2017,"Macarthur Minerals Stakes New Claims in Railroad Valley, Nevada With Surface Grades Up to 300 ppm Lithium",0.992
14/06/2017,Pure Energy Adds Top Tier Finance Expertise With Appointment of Mr. Paul Zink as New Chief Financial Officer,0.998
06/06/2017,Macarthur Minerals Reports Potential for Cobalt in Western Australia at its Iron Ore Projects,0.998
01/06/2017,Macarthur Minerals Discovers New Lithium Pegmatite Swarms at Marble Bar in the East Pilbara Region of Western Australia,0.993
31/05/2017,Pure Energy Closes Acquisition of Clayton Valley Properties and $2 Million Strategic Investment From Lithium X,1
23/05/2017,"Global Geoscience Welcomes Two New Non-Executive Directors, Alan Davies and John Hofmeister",0.997
14/05/2017,"Southern Lithium Acquires Additional Claims to Bring Total to 90.3 sq. km in the Pocitos Salar Basin in Salta Province, Argentina",0.996
11/05/2017,Pure Energy Enters Agreements With Lithium X to Expand Clayton Valley Properties and Receive $2 Million Strategic Investment,1
09/05/2017,"Pure Energy Minerals Discovers Higher Grade Lithium at Depth in New Wells at Clayton Valley South, Nevada",0.999
09/05/2017,Southern Lithium Updates Website,0.995
08/05/2017,Pure Energy Minerals Closes Non-Brokered Private Placement,0.995
04/05/2017,MGX Minerals Signs Water Handling and Lithium Extraction Demonstration Agreement with Major Oil and Gas Operator,0.987
02/05/2017,Global Geoscience Limited Announces Exceptional Leach Results and Exercise of Option for 100% Ownership,0.996
