date,title,sentiment__polarity,sentiment__neg,sentiment__neu,sentiment__pos
2022-03-23T22:17:47+00:00,3 Lesser-Known Electric Vehicle Stocks That May Surprise Everyone in the EV Race,0.999,0.013,0.875,0.112
2022-03-22T12:00:00+00:00,Aqua Metals Recovers High-Purity Copper from Lithium-ion Battery Black Mass Using Sustainable and Economical Metals Recycling Process,0.975,0.038,0.887,0.076
2022-03-18T17:23:16+00:00,U.S. Unveils Battery Strategy in West Virginia to Ease Coal Loss,0.993,0.06,0.811,0.129
2022-03-17T13:00:00+00:00,"CBAK Energy Announces Hitrans's Revenues Reach Almost $100 Million in First Nine Months of 2021 Before Acquisition Closes, Four Times Their Own Revenues in Same Period",0.998,0.02,0.878,0.103
2022-03-10T17:51:00+00:00,"Duke Energy Florida's innovative battery storage projects provide customer, grid benefits",0.999,0.013,0.79,0.197
2022-03-09T07:41:34+00:00,"China Lithium Tech to File for $1.5 Billion Hong Kong IPO, Sources Say",-0.612,0.055,0.895,0.049
2022-03-01T13:00:00+00:00,"Aqua Metals Produces First Lithium from Spent Batteries, Achieving Key Step in its Novel Lithium-ion Battery Recycling Technology",0.908,0.043,0.897,0.06
2022-02-15T13:00:00+00:00,Aqua Metals on Track to Deploy AquaRefining in Future Lithium-Ion Battery Recycling Operation,0.996,0.012,0.84,0.148
2022-02-09T11:00:00+00:00,Joshua Gold Resources Inc. Exploring Lithium Property,0.979,0.007,0.915,0.078
2022-02-04T11:03:00+00:00,Global and China Lithium-ion Battery Anode Material Market Report 2021-2026 Featuring Major Anode Material Companies and Lithium Titanate Material Companies,0.996,0.025,0.886,0.09
2022-02-03T19:20:00+00:00,Standard Lithium shares slide 22% after short seller says its technology does not work,0.625,0,0.879,0.121
2022-02-02T11:43:00+00:00,"World Module-less (Cell to Pack) Battery Structure Market Report 2021 Featuring Leading Manufacturers - BYD, CATL, and LG Chem",0.993,0.006,0.861,0.133
2022-01-26T14:30:00+00:00,"Alpine 4 Holdings (ALPP) Announces the Formation of RCA Batteries Corporation, a Joint Venture Between its Subsidiaries', RCA Commercial and Elecjet",0.999,0.015,0.872,0.113
2022-01-24T17:00:00+00:00,LCA Quantifies Cinovec Lithium Chemical Production CO2 Emissions and Mitigation Scenarios Identified to Produce Low Carbon Products,0.995,0.016,0.908,0.076
2022-01-17T21:00:00+00:00,"Top 10 Lithium Stocks in LIT, the World's First Lithium ETF",-0.296,0.104,0.896,0
2022-01-13T21:15:00+00:00,Albemarle and 6K Sign Joint Development Agreement to Develop Novel Lithium Battery Materials,0.999,0.056,0.799,0.145
