headline,date,stock
"Stocks Trading Ex Dividend For Thurs., Sep. 13, 2018",13/09/2018,ENS
"Stocks Which Set New 52-Week High Yesterday, August 30th",31/08/2018,ENS
"Stocks Which Set New 52-Week High Yesterday, August 29th",30/08/2018,ENS
"EnerSys Q1 EPS $1.17, Inline, Sales $670.9M Beat $649.63M Estimate",08/08/2018,ENS
"Earnings Scheduled For August 8, 2018",08/08/2018,ENS
"Stocks Which Set New 52-Week High Yesterday, August 1st",02/08/2018,ENS
"Stocks Which Set New 52-Week High Yesterday, July 31",01/08/2018,ENS
EnerSys Reaffirms Q1 EPS $1.15-1.19 vs $1.24 Est,30/05/2018,ENS
"EnerSys Q4 EPS $1.24 Beats $1.23 Estimate, Sales $683M Beat $669.22M Estimate",30/05/2018,ENS
"Earnings Scheduled For May 30, 2018",30/05/2018,ENS
"EnerSys Reports Prelim Q4 Adj. EPS $1.24 Beats $1.23 Estimate, Sales $683M Beat $669.22M Estimate",16/05/2018,ENS
46 Biggest Movers From Yesterday,09/02/2018,ENS
45 Stocks Moving In Thursday's Mid-Day Session,08/02/2018,ENS
"EnerSys Reports Q3 Adj. EPS $1.25 vs $1.14 Est., Sales $658.9M vs $634.74M Est.",07/02/2018,ENS
CL King Upgrades EnerSys to Buy,16/01/2018,ENS
EnerSys Announces $100M Buyback,08/11/2017,ENS
"EnerSys Reports Q2 Adj. EPS $1.05, Inline, Sales $617.3M vs $602.8M Est.",08/11/2017,ENS
"Earnings Scheduled For November 8, 2017",08/11/2017,ENS
Oppenheimer Presents New Menu Of Top Picks,01/09/2017,ENS
"EnerSys Reports Q1 Adj. EPS $1.12 vs $1.13 Est., Sales $622.6M vs $615.8M Est.",09/08/2017,ENS
EnerSys Reports $100M Buyback Plan,09/08/2017,ENS
"Companies Holding Shareholder Meetings Today Include: AVX Corporation, Bristow Group, Capital Southwest, EnerSys, Israel Chemicals, KEMET, and Mitcham Industries",02/08/2017,ENS
"8-K From EnerSys Shows Co. Settled A Portion Of Previously-Disclosed Proceeding Related To German Competition Authority For Co.'s Motive Power Battery Unit, Will Pay €12.6M Fine",27/06/2017,ENS
EnerSys (ENS) Unit Clinches $60M Battery Supply Contract,14/06/2017,ENS
Why Is Enersys (ENS) Down 8.9% Since the Last Earnings Report?,12/06/2017,ENS
Mid-Afternoon Market Update: Vera Bradley Surges On Narrower-Than-Expected Loss; EnerSys Shares Slide,31/05/2017,ENS
12 Biggest Mid-Day Losers For Wednesday,31/05/2017,ENS
Mid-Day Market Update: Crude Oil Down 3%; J.Jill Shares Spike Higher,31/05/2017,ENS
Mid-Morning Market Update: Markets Drop; Michael Kors Plans To Close 100 To 125 Stores,31/05/2017,ENS
"EnerSys Q4 EPS $0.76 vs $1.03 Est, Sales $628.8M vs $622.7M Est",30/05/2017,ENS
"Earnings Scheduled For May 30, 2017",30/05/2017,ENS
"EnerSys Reports Q4 EPS $1.28 vs $1.21 Est., Sales $626M vs $606M Est.",04/05/2017,ENS
EnerSys Awarded $71M Long Term Contract For U.S. Military Batteries,21/03/2017,ENS
EnerSys Sees Q4 EPS $1.19-$1.23 vs. Est. $1.21,08/02/2017,ENS
"EnerSys Reports Q3 EPS $1.18 vs. Est. $1.13, Rev. $563.7M vs. Est. $586M",08/02/2017,ENS
"Earnings Scheduled For February 8, 2017",08/02/2017,ENS
"EnerSys Reports Q2 EPS $1.15 vs. Est. $1.08, Rev. $576M vs. Est. $584M",09/11/2016,ENS
18 Biggest Mid-Day Gainers For Wednesday,24/08/2016,ENS
14 Stocks Moving In Wednesday's Pre-Market Session,24/08/2016,ENS
S&P Dow Jones Indices Announces 'EnerSys to Join S&P MidCap 400; Wabash National to Join S&P SmallCap 600',23/08/2016,ENS
10 Must Watch Stocks for Today,11/08/2016,ENS
After-Hours Earnings Reports: Figures You Shouldn't Miss,10/08/2016,ENS
"EnerSys Misses EPS, Beats Revenues",10/08/2016,ENS
"EnerSys Reports Q1 EPS $1.02 vs $1.10 Est, Sales $600.6M vs $599.28M Est",10/08/2016,ENS
"Earnings Scheduled For August 10, 2016",10/08/2016,ENS
Benzinga's Top Upgrades,02/06/2016,ENS
Maxim Group Upgrades EnerSys to Buy,02/06/2016,ENS
EnerSys Q4'16 Earnings Conference Call: Full Transcript,01/06/2016,ENS
"EnerSys Reports Q4 EPS $1.03 vs. Est. $1.01, Rev. $611.4M vs. Est. $599.7M",31/05/2016,ENS
EnerSys Sees Q1 EPS $1.08-$1.12 vs. Est. $1.03,31/05/2016,ENS
EnerSys Reports Q4 Prelim EPS $1.03 vs. Est. $1.00,05/05/2016,ENS
EnerSys Announces Acquisition Of Certain Assets Of The Enser Corporation Has Completed,15/04/2016,ENS
"EnerSys Reports Purchase of Certain Assets of The Enser Corp., No Terms Disclosed",14/04/2016,ENS
General Electric Leading S&P 500 Index Lower,24/02/2016,ENS
"Hearing Deal Reporter Says Enersys Potential Takeover Target; GE, UTX, HON Rumored Potential Buyers",24/02/2016,ENS
EnerSys Sees Q4 Adj. EPS $0.98-$1.02 vs $1.06 Est.,28/01/2016,ENS
"EnerSys Reports Q3 EPS $0.92 vs $0.93 Est., Sales $573.6M vs $564.4M Est.",28/01/2016,ENS
Enersys Reports Q2 Non-GAAP EPS $0.97,02/11/2015,ENS
"EnerSys Reports Q2 EPS $0.87 vs. Est. $0.93, Rev. $569.1M vs. Est. $563.92M",02/11/2015,ENS
EnerSys Stages Monster Rally After Buyout Rumors Surface,06/10/2015,ENS
"Shares of EnerSys Resume; Now Trading Up ~7.9%, Down from Session High",06/10/2015,ENS
"Shares of EnerSys Halted on Circuit Breaker, Now Up 11.3%",06/10/2015,ENS
"Johnson Controls Is in Talks to Buy EnerSys, According to Sources -DJ",06/10/2015,ENS
"Enersys Announces CEO John Craig to Reitre; David Shaffer Named as Pres, CEO, COO, Michael Schmidtlein Named CFO",22/09/2015,ENS
3 Ways To Bet On The Battery Revolution,23/08/2015,ENS
"EnerSys Reports Q1 EPS $1.03 vs. Inline, Rev. $562.1M vs. Est. $604.75M",05/08/2015,ENS
"EnerSys Announces Purchase of ICS Industries, No Terms Disclosed",23/07/2015,ENS
Stephens &amp; Co. Downgrades EnerSys to Equalweight,29/05/2015,ENS
EnerSys Affirms Q1'16 Adj. EPS $1-$1.04 vs $1.06 Est.,27/05/2015,ENS
"EnerSys Reports Q4 Adj. EPS $1.15 vs $1.14 Est., Sales $629.9M vs $635M Est.",27/05/2015,ENS
Enersys Sees Q1 Adj. EPS $1-$1.04 vs $1.10 Est.,07/05/2015,ENS
"EnerSys Reports Prelim. Q4 EPS $1.15 vs $1.12 Est., Sales $629.9M vs $635M Est.",07/05/2015,ENS
"EnerSys Announces Prelim. Non-Cash Intangible Impairment Charge ~$25M in Q4, Expecting EPS Impact of $0.54; Reaffirms Q4 Outlook",13/03/2015,ENS
EnerSys Reports Q3 EPS $1.04 Vs Est $1.06,04/02/2015,ENS
Enersys Sees Q3 Adj. EPS $1.04-1.08,05/11/2014,ENS
EnerSys Announces Expansion of Stock Repurchase Program; $60M New Repurchase Authorization,05/11/2014,ENS
S&P Upgrades EnerSys from BB to BB+; Outlook Stable,19/08/2014,ENS
Enersys Reports Q1 EPS of $0.99 vs $1.05 Est; Revenue of $634.10M vs $657.82M Est,06/08/2014,ENS
EnerSys Announces $60M Buyback,05/08/2014,ENS
EnerSys Announces $60M Buyback,05/08/2014,ENS
EnerSys Announces $60M Buyback,05/08/2014,ENS
Enersys Reports Q4 Adj. EPS $1.18 on Sales $665.2M; Reaffirms Q1 Outlook,28/05/2014,ENS
"Stifel Nicolaus Initiates Coverage on Enersys at Buy, Announces $80.00 PT",28/05/2014,ENS
"Stifel Nicolaus Initiates Coverage on Enersys at Buy, Announces $80.00 PT",28/05/2014,ENS
EnerSys Sees Q4 Charge $0.70-$0.72/Share from Ruling,14/05/2014,ENS
EnerSys Announces Arbitration Panel Awards Altergy $58.2M in Damages,14/05/2014,ENS
EnerSys Reaffirms Q1 Guidance,14/05/2014,ENS
"Enersys Announces $70M Buyback Plan, Raises Qtr. Dividend; Reports Prelim. Q4 Adj. EPS $1.18 on Sales $665.22M, Expecting Q1 EPS $1.02-1.06",07/05/2014,ENS
"EnerSys Raises Q Dividend From $0.125 to $0.175/Share, 70M Stock Repurchase",07/05/2014,ENS
Top 4 Mid-Cap Stocks In The Industrial Electrical Equipment Industry With The Highest Dividend Yield,06/05/2014,ENS
Enersys Sees Q4 EPS $1.08-1.12 vs $1.05 Est,05/02/2014,ENS
Enersys Reports Q3 EPS of $1.07 vs $1.03 Est; Revenue of $643.10M vs $623.41M Est,05/02/2014,ENS
Enersys Sees Q3 EPS $1.00-1.04 vs $0.95 Est,06/11/2013,ENS
Enersys Reports Q2 EPS of $0.87 vs $0.84 Est; Revenue of $568.80M vs $571.24M Est,06/11/2013,ENS
Top 4 Mid-Cap Stocks In The Industrial Electrical Equipment Industry With The Highest Operating Margin,04/10/2013,ENS
"Shares of EnerSys Quiet Following Deal to Buy Purcell Systems for $115M, Co. Expecting Deal to Add $0.15-0.20 in First Year",18/09/2013,ENS
S&P Affirms Ratings on EnerSys; Outlook Raised from Stable to Positive,13/08/2013,ENS
UPDATE: Jefferies Raises PT on EnerSys Following Modest June Quarter Beat Report,12/08/2013,ENS
"Jefferies Maintains Buy on Enersys, Raises PT to $62.00",12/08/2013,ENS
Enersys Sees Q2 EPS $0.81-0.85 vs $0.87 Est,07/08/2013,ENS
Enersys Reports Q1 EPS of $0.83 vs $0.81 Est; Revenue of $597.30M vs $592.38M Est,07/08/2013,ENS
Top 4 Mid-Cap Stocks In The Industrial Electrical Equipment Industry With The Highest ROE,04/06/2013,ENS
UPDATE: Jefferies Raises PT on EnerSys Following F4Q Results,30/05/2013,ENS
"Jefferies Maintains Buy on Enersys, Raises PT to $58.00",30/05/2013,ENS
"Ardour Capital Downgrades Enersys to Reduce, Raises PT to $44.00",29/05/2013,ENS
EnerSys Announces its First Quarterly Dividend of $0.125 and $65M tock Repurchase Program,28/05/2013,ENS
"EnerSys Announces $65M Buyback Plan, Declares Qtr. Dividend of $0.125/Share",28/05/2013,ENS
Enersys Reports Q4 EPS of $0.80 vs $0.81 Est; Revenue of $572.20M vs $593.79M Est,28/05/2013,ENS
"Earnings Scheduled For May 28, 2013",28/05/2013,ENS
Enersys Sees Q1 EPS $0.78-0.82 vs $0.84 Est,08/05/2013,ENS
Enersys Reports Q4 EPS of $0.80 vs $0.77 Est; Revenue of $572.80M vs $580.99M Est,08/05/2013,ENS
From Enersys Investor Day: Expecting CapEx $50-75M,02/04/2013,ENS
Enersys Sees Q4 EPS $0.73-0.77 vs $0.84 Est,06/02/2013,ENS
Enersys Reports Q3 EPS of $0.88 vs $0.80 Est; Revenue of $557.30M vs $548.54M Est,06/02/2013,ENS
"EnerSys Names David Shaffer President Europe, Middle East, Names Mark Tough President Asia",22/01/2013,ENS
"UPDATE: Jefferies & Company Reiterates Buy Rating, Lowers PT on EnerSys",07/11/2012,ENS
"Jefferies & Company Maintains EnerSys at Buy, Lowers PT from $43 to $41",07/11/2012,ENS
EnerSys Reports Q2 EPS $0.90 vs $0.87 Est; Revenues $554.2M vs $568.42M Est,05/11/2012,ENS
UPDATE: Stifel Nicolaus Downgrades EnerSys to Hold on Lead Price Pressure,04/10/2012,ENS
"Stifel Nicolaus Downgrades EnerSys from Buy to Hold, Removes PT",04/10/2012,ENS
"Stifel Nicolaus Maintains EnerSys at Buy, Raises PT from $43 to $44",10/08/2012,ENS
"Jefferies & Company Maintains EnerSys at Buy, Raises PT from $40 to $43",10/08/2012,ENS
EnerSys Reports Q1 EPS $0.95 vs $0.89 Est; Revenues $593.9M vs $599.11M Est,08/08/2012,ENS
Needham Research Downgrades EnerSys from Buy to Hold,01/08/2012,ENS
"Enersys Spiking Lower, Hearing Analyst Downgrade",31/07/2012,ENS
Top 4 Small-Cap Stocks In The Industrial Electrical Equipment Industry With The Highest Revenue,21/06/2012,ENS
UPDATE: Jefferies Raises PT to $40 on EnerSys on Good Execution,31/05/2012,ENS
"Jefferies & Company Maintains EnerSys at Buy, Raises PT from $39 to $40",31/05/2012,ENS
EnerSys Jumps 3% on Q4 Results,29/05/2012,ENS
EnerSys Reports Q1 EPS $0.98 vs $0.82 Est; Revenues $592.8M vs $598.46M Est,29/05/2012,ENS
Earnings Scheduled For May 29,29/05/2012,ENS
EnerSys Reports Preliminary Fourth Quarter EPS of $0.98 vs $0.86-0.90 Prior Guidance,09/05/2012,ENS
EnerSys Enters Into Joint Venture in India,28/03/2012,ENS
EnerSys Enters into Nickel-Zinc Battery License & Technology Development Agreement,22/03/2012,ENS
"UPDATE: Stifel Nicolaus Resumes Buy, $40 Target on EnerSys",05/03/2012,ENS
UPDATE: Jefferies Raises PT to $39 on EnerSys,10/02/2012,ENS
EnerSys Reports Q3 EPS $0.80 vs $0.69 Est; Revenues $574.2M vs $560.46M Est,08/02/2012,ENS
"End-of-Day Market Summary for November 10, 2011",10/11/2011,ENS
Afternoon Movers; Markets Moved Higher,10/11/2011,ENS
EnerSys Reports Q2 EPS $0.58 vs $0.56 Est; Revenues $547.20M vs $544.84M Est,09/11/2011,ENS
EnerSys Acquires South American Battery Business,17/10/2011,ENS
EnerSys to Launch a Joint Venture in South Africa,29/09/2011,ENS
EnerSys to Launch a Lithium-Ion Battery Joint Venture in Germany,28/09/2011,ENS
Lithium Technology Corporation to Launch a Lithium-Ion Battery Manufacturing Joint Venture in Germany with EnerSys,28/09/2011,ENS
Jefferies Raises PT on EnerSys to $27,19/09/2011,ENS
"Stifel Nicolaus Lowers PT On ENS, NVDA",12/08/2011,ENS
Benzinga's Top Downgrades,12/08/2011,ENS
EnerSys Reports Q1 EPS $0.68 vs $0.69 Est; Revenues $569.2M vs $549.94M Est,10/08/2011,ENS
Stifel Nicolaus Initiates Coverage On EnerSys,14/07/2011,ENS
"Stifel Nicolaus Initiates EnerSys At Buy, $45 PT",14/07/2011,ENS
"UPDATE: Enersys will Buy Back 294,200 Shares at $33.15 Each",03/06/2011,ENS
EnerSys Announces $9.8 Million Stock Buy Back,03/06/2011,ENS
Benzinga's Top Upgrades,03/06/2011,ENS
EnerSys Affirms Q1 EPS $0.66-0.70 vs. $0.71 Estimate,31/05/2011,ENS
EnerSys Reports Q4 EPS of $0.75 vs. $0.68 Estimate; Sales $548M vs. $527M Estimate,31/05/2011,ENS
Earnings Highlights for the Week of May 30,29/05/2011,ENS
EnerSys Expects Q4 Non-GAAP EPS of $0.75,11/05/2011,ENS
"5 Stocks For Earth Day (AMSC, ENS, FCEL, FSLR, WM)",19/04/2011,ENS
EnerSys Refinances U.S. Credit Facility,29/03/2011,ENS
EnerSys Acquires Lithium Battery Business,28/02/2011,ENS
Enersys Up 5.2% After Hitting 52-Week High (ENS),10/02/2011,ENS
EnerSys Reports Third Quarter Fiscal 2011 Results,09/02/2011,ENS
Zacks #1 Rank Additions for Thursday - Tale of the Tape,09/12/2010,ENS
Zacks #1 Rank Additions for Thursday - Tale of the Tape,09/12/2010,ENS
EnerSys Awarded $38 Million Contract,16/11/2010,ENS
"3 Exceptionally Strong Stocks Today (ENS, SOA, SLW)",10/11/2010,ENS
EnerSys Reports Second Quarter EPS of $.58,09/11/2010,ENS
Calls Purchased on EnerSys (ENS),15/10/2010,ENS
EnerSys Awarded $39 million in Contracts for Submarine Batteries,09/08/2010,ENS
"Jefferies Favor ITRI, AMSC And ENS In The Smart Grid, Wind, Energy Storage And Geothermal Industries",14/07/2010,ENS
William Blair Reiterates Outperform Rating on EnerSys (ENS),03/06/2010,ENS
"Stocks To Watch In Today's Trading (NDN, ALEX, BRCM, CNQR, DLB)",04/02/2010,ENS
EnerSys (ENS) Acquires Oerlikon Battery Business,30/10/2009,ENS
Enseco Energy Services Corp. Announces Private Placement,09/08/2009,ENS
