,headline,date,snippet,source,headline_sentiment,snippet_sentiment
22,"LME WEEK-Stung by sliding prices, lithium industry pares back expansions",28/10/2019,"By Ernest ScheyderOct 28 (Reuters) - Albemarle Corp, SQM andother companies are notprofitable.Albemarle, the world's largest lithium",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
23,Chile protesters block access to lithium operations: local leader,25/10/2019,"-based Albemarle .Sergio Cubillos, president of the Atacama the region but had been unable to do so.Cubillos said Albemarle's",reuters,0.407|0.593|0.0|-0.5859,0.0|1.0|0.0|0.0
24,Chile protesters block access to lithium operations - local leader,25/10/2019,"Albemarle.Sergio Cubillos, president of the Atacama IndigenousCouncil unable to do so.Cubillos said Albemarle's operations had also been",reuters,0.407|0.593|0.0|-0.5859,0.0|1.0|0.0|0.0
25,Albemarle cuts 2019 forecast on lithium price pressure,24/10/2019,"(Reuters) - Albemarle Corp , the world's largest lithium to $6.65.Albemarle also trimmed its 2019 net sales forecast range to $3.6",reuters,0.423|0.577|0.0|-0.5267,0.0|1.0|0.0|0.0
26,Rio Tinto studying ways to produce lithium from waste rock at California mine,21/10/2019,"brine project in Silver Peak, Nevada, controlled by, Albemarle",reuters,0.189|0.811|0.0|-0.4215,0.0|1.0|0.0|0.0
27,Russia's Rosatom may buy controlling stake in Chile lithium project,15/10/2019,"and Albemarle , accounts for around one-third the world's supply",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
28,PRESS DIGEST-British Business - Sept 18,17/09/2019,the plug onits Albemarle and Bond business amid concern that its losses,reuters,0.0|1.0|0.0|0.0,0.197|0.803|0.0|-0.4019
29,"Chile taps China, Japan in lithium-for-tech push; faces tough sell",17/09/2019,"Albemarle, the world's top producer, extracting the coveted metal from",reuters,0.143|0.857|0.0|-0.128,0.0|0.833|0.167|0.2023
30,PRESS DIGEST-British Business - Sept 17,16/09/2019,"Pawnbroker Albemarle & Bond has been criticised for""woefully",reuters,0.0|1.0|0.0|0.0,0.318|0.682|0.0|-0.4215
31,Tianqi starts lithium battery chemical production in Western Australia,11/09/2019,Lithium — a joint venture between it and Albemarle Corp of the United,reuters,0.0|1.0|0.0|0.0,0.0|0.781|0.219|0.4215
32,Chile's Codelco to decide by early 2020 on Maricunga lithium project,30/08/2019,"budged inrecent years.Chile's two lone producers, SQM and Albemarle Corp of the sprawling Salar de Atacama in northernChile, home to SQM and Albemarle",reuters,0.0|1.0|0.0|0.0,0.087|0.913|0.0|-0.2732
33,Chilean miner SQM profits plunge alongside lithium price,22/08/2019,industry leader Albemarle Corp fell 4.4% and Livent Corp dropped 5.6 producer Albemarle said earlier this month it would delay construction,reuters,0.0|0.707|0.293|0.4404,0.103|0.897|0.0|-0.3182
34,Chile's SQM profits plummet on falling lithium prices,22/08/2019,investments.World top lithium producer Albemarle said earlierthis month,reuters,0.152|0.571|0.276|0.3182,0.0|0.795|0.205|0.2023
35,"Australia shares edge up, led by banks and small miners; NZ rises too",08/08/2019,"%, respectively.The world's biggest lithium producer Albemarle Corpsaid",reuters,0.0|0.845|0.155|0.296,0.0|1.0|0.0|0.0
36,"Albemarle to delay construction plans for 125,000 tons of lithium processing",08/08/2019,(Reuters) - Albemarle Corp  said on Thursday it would a change in the country's electric vehicle subsidies.Albemarle said,reuters,0.187|0.813|0.0|-0.3182,0.0|1.0|0.0|0.0
37,"Albemarle to delay construction of 125,000 tons of lithium processing capacity",08/08/2019,Aug 8 (Reuters) - Albemarle Corp said on Thursday itwould delay batteries has pushed down prices.Albemarle said the plan would reduce,reuters,0.187|0.813|0.0|-0.3182,0.113|0.887|0.0|-0.3182
38,COLUMN-Glencore and the perils of riding the electric vehicle tiger: Andy Home,08/08/2019,of the world's top lithium producersAlbemarle has done something similar,reuters,0.0|1.0|0.0|0.0,0.0|0.833|0.167|0.2023
39,"Australia shares climb on miners' gains, solid China trade data",08/08/2019,"sharp overnight gains for Albemarle Corp, the world's largest lithium",reuters,0.0|0.53|0.47|0.6369,0.0|0.789|0.211|0.34
40,"Australia shares supported by miners, NZ edges up; sentiment still fragile",07/08/2019,"surge after solid Albemarle Corp results* AGL Energy leads losses, surgingover 7% after the world's largest lithium producer Albemarle",reuters,0.0|0.667|0.333|0.5423,0.121|0.714|0.165|0.0
41,"Chemicals maker Albemarle profit beats, raises 2019 earnings forecast",07/08/2019,"(Reuters) - Albemarle Corp  beat quarterly profit subsidies. To cope with the weakness, Albemarle early this month revised its",reuters,0.0|0.734|0.266|0.4404,0.129|0.737|0.134|0.0258
42,Lithium producer Albemarle raises 2019 adjusted profit forecast,07/08/2019,Aug 7 (Reuters) - Albemarle Corp raised its 2019 adjusted profit,reuters,0.0|0.707|0.293|0.4404,0.0|0.734|0.266|0.4404
43,Deals of the day-Mergers and acquisitions,01/08/2019,", theEconomic Times (ET) reported.** Albemarle Corp, the world's largest",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
44,Chile's Codelco announces joint lithium project with Salar Blanco,01/08/2019,"to top lithium producers Albemarle and SQM, but Salar Blanco has",reuters,0.0|1.0|0.0|0.0,0.0|0.877|0.123|0.1027
45,"Australian, NZ shares slip as Fed rules out lengthy easing after rate cut",31/07/2019,sale to AlbemarleBy Aditya SoniAug 1 (Reuters) - Australian shares on the benchmark after it saidU.S.-based Albemarle Corp will take,reuters,0.129|0.613|0.258|0.2732,0.0|0.885|0.115|0.296
46,Australia's Mineral Resources to sell larger stake in Wodgina to Albemarle,31/07/2019,"that Albemarle Corp, the world's largest lithiumproducer, would now buy a 60%.Albemarle will pay the mining services provider $1.3 billion",reuters,0.0|1.0|0.0|0.0,0.072|0.928|0.0|-0.1027
47,RPT-FOCUS-How lithium-rich Chile botched a plan to attract battery makers,17/07/2019,on the globe's top producer of lithium -Albemarle Corp - boosting. But Albemarle'sexpansion has been hampered by technological and regulatory,reuters,0.0|0.762|0.238|0.3612,0.0|0.846|0.154|0.2732
48,How lithium-rich Chile botched a plan to attract battery makers,17/07/2019,on the globe's top producer of lithium - Albemarle Corp - boosting output from. But Albemarle's expansion has been hampered by technological and regulatory hurdles,reuters,0.0|0.762|0.238|0.3612,0.0|0.871|0.129|0.2732
49,FOCUS-How lithium-rich Chile botched a plan to attract battery makers,17/07/2019,The deals hinged on the globe's top producer of lithium -Albemarle Corp factories. But Albemarle'sexpansion has been hampered by technological,reuters,0.0|0.762|0.238|0.3612,0.0|0.931|0.069|0.1027
50,METALS-Shanghai nickel hits 10-1/2-month high on Indonesian supply concerns,14/07/2019,Chilean lithium from top producer Albemarle.* For the top stories,reuters,0.0|1.0|0.0|0.0,0.0|0.69|0.31|0.3818
51,Molymet drops plans for battery parts factory in Chile,13/07/2019,"guaranteed access to cheap Chilean lithium from topproducer Albemarle.Top lithium miner Albemarle, which produces lithium fromChile´s",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
52,Chile's Zaldivar mine asks for more time to answer questions amid Atacama water concerns,25/06/2019,""" The Atacama salt flat is home to lithium miners SQM and Albemarle Corp",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
53,RPT-COLUMN-Boom-and-bust lithium market needs a pricing rethink: Andy Home,24/06/2019,"://tmsnrt.rs/2ZJsukYBy Andy HomeLONDON, June 25 (Reuters) - Albemarle price for the newcontract, but Albemarle won't be contributing, for now",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
54,COLUMN-Boom-and-bust lithium market needs a pricing rethink: Andy Home,24/06/2019,"LONDON, June 24 (Reuters) - Albemarle Corp., theworld's largest lithium, but Albemarle won't be contributing, for now at least.It and other established",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
55,South Korea's POSCO drops plans for Chilean battery material plant,21/06/2019,guaranteed access to cheap lithium from top producer Albemarle. POSCO of batteries for electric vehicles (EV) but one not produced by Albemarle,reuters,0.0|1.0|0.0|0.0,0.0|0.938|0.062|0.1027
56,Albemarle details efforts to boost its Chilean lithium output by 30 percent,11/06/2019,"By Ernest Scheyder and Dave Sherwood SANTIAGO (Reuters) - Albemarle ago, U.S.-based Albemarle announced it had developed a process",reuters,0.0|0.803|0.197|0.4019,0.0|1.0|0.0|0.0
57,Albemarle declines to participate in LME lithium contract,11/06/2019,"By Ernest ScheyderSANTIAGO (Reuters) - Albemarle Corp, the world's market) is,"" David Ryan, Albemarle's head of corporate strategy",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
58,Chile to clean up rules for lithium industry to boost production,11/06/2019,´s production of the ultralight metal. Top producers SQM and Albemarle,reuters,0.0|0.625|0.375|0.6597,0.0|0.847|0.153|0.2023
59,Chile to push both private and public investment in lithium,11/06/2019,Chilerelies entirely on top producers SQM and AlbemarleCorp,reuters,0.0|1.0|0.0|0.0,0.0|0.771|0.229|0.2682
60,Albemarle says won't participate in LME lithium contract,11/06/2019,"SANTIAGO, June 11 (Reuters) - Albemarle Corp, theworld's largest,and that's not what we believe this (lithium market) is,"" DavidRyan, Albemarle's",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
61,How much does lithium cost? The industry can't seem to agree,09/06/2019,", including global leader Albemarle Corp, sell nearly all of their lithium, a distinction many on Wall Street do not seem to make. Albemarle's",reuters,0.174|0.826|0.0|-0.2755,0.0|1.0|0.0|0.0
62,"Chile, once the world's lithium leader, loses ground to rivals",30/05/2019,"budged in recent years. Chile's two lone producers, SQM and Albemarle-growing market like lithium.""Rival Albemarle, the world's No. 1 lithium",reuters,0.204|0.796|0.0|-0.3182,0.189|0.702|0.11|-0.2023
63,U.S. Senate moves forward on plan to develop electric vehicle supply chain,14/05/2019,as conservative.Albemarle Corp operates the only U.S. lithium mine. The United States does have some processing capability. Albemarle and rival,reuters,0.0|1.0|0.0|0.0,0.0|0.872|0.128|0.4215
64,U.S. faces hurdles in push to build electric vehicle supply chain,14/05/2019,and industry executives see as conservative.Albemarle Corp operates the only have some processing capability.Albemarle and rival Livent Corp,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
65,Livent executives to exit after lithium forecast slashed,10/05/2019,Livent rival Albemarle Corp has split its business focus between it from market gyrations. Albemarle posted a better-than-expected quarterly,reuters,0.213|0.787|0.0|-0.2263,0.0|1.0|0.0|0.0
66,Albemarle touts new project to boost its Chilean lithium output by 30 percent,09/05/2019,"By Ernest Scheyder(Reuters) - Albemarle Corp said on Thursday collects annually from Albemarle, due to concerns about Atacama water",reuters,0.074|0.743|0.182|0.3818,0.0|1.0|0.0|0.0
67,Albemarle says new technology will boost Chilean lithium output by 30 percent,09/05/2019,May 9 (Reuters) - Albemarle Corp said on Thursday itis moving,reuters,0.0|0.803|0.197|0.4019,0.0|1.0|0.0|0.0
68,Albemarle's lithium sales drop after Chilean rains,08/05/2019,"By Ernest Scheyder(Reuters) - Albemarle Corp, the world's largest grows about short-term demand for the metal. Albemarle posted first",reuters,0.259|0.741|0.0|-0.2732,0.081|0.919|0.0|-0.128
69,"Albemarle first-quarter profit rises, but lithium sales slip",08/05/2019,"May 8 (Reuters) - Albemarle Corp, the world'slargest producer, or$1.18, in the year-ago period. Albemarle confirmed its 2019sales",reuters,0.0|0.782|0.218|0.2382,0.0|1.0|0.0|0.0
70,Royalties for lithium to be set case by case in Chile: minister,30/04/2019,and Albemarle in previous years that set a sliding scale for royalties,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
71,Royalties for lithium to be set case by case in Chile -minister,30/04/2019,minersSQM and Albemarle in previous years that set asliding scale,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
72,China's Tianqi taps 'safe choices' for board of top lithium miner SQM,17/04/2019,"by the U.S.-based Albemarle, now the world's top lithium producer to top competitor Albemarle. Tianqi and Albemarle together",reuters,0.0|0.68|0.32|0.5719,0.0|0.816|0.184|0.3818
73,"China's Tianqi Lithium to nominate two Chileans, U.S. executive to SQM board",17/04/2019,"executive who once worked for Rockwood Holdings, now Albemarle,SQM's top",reuters,0.0|1.0|0.0|0.0,0.0|0.833|0.167|0.2023
74,"China's General Lithium to launch 60,000 T spodumene converter by end-2020",12/04/2019,"mine in Australia, a joint venture between Tianqiand Albemarle Corp",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
75,CRU-CESCO-Copper industry to see more disruptions in 2019 -Antofagasta CEO,12/04/2019,"theAtacama salt flat, home to top lithium producers SQMand Albemarle",reuters,0.23|0.77|0.0|-0.4005,0.0|0.833|0.167|0.2023
76,Exclusive: United States sets sights on China in new electric vehicle push,05/04/2019,"topics. Albemarle Corp and Livent Corp, two U.S.-based companies that mine it is eyeing expansion opportunities.Albemarle, which operates the only",reuters,0.0|0.699|0.301|0.5106,0.0|1.0|0.0|0.0
77,Factbox: Who are PG&E's new directors?,03/04/2019,- Alejandro Wolff is a director of Albemarle Corp and a former U.S,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
78,Chile launches tender for value-added lithium projects,25/03/2019,"Albemarle, for a total investment of $754 million.Those projects, delayed by a dispute between Corfo and Albemarle over pricing, began",reuters,0.0|1.0|0.0|0.0,0.223|0.777|0.0|-0.5574
79,Miner Antofagasta expects water agreement with BHP for Zaldivar mine-media,22/03/2019,lithium producers SQM and Albemarle.Chilean regulators last year,reuters,0.0|0.738|0.262|0.4939,0.0|1.0|0.0|0.0
80,SQM receives Chile's approval for lithium plant expansion,14/03/2019,point for the expansion plans of both SQM and top competitor Albemarle,reuters,0.0|0.693|0.307|0.4767,0.0|0.859|0.141|0.2023
81,"Ford chairman praises CEO, mulls lithium venture",12/03/2019,","" Ford said, without mentioning a specific company. Albemarle Corp",reuters,0.0|0.638|0.362|0.5267,0.0|1.0|0.0|0.0
82,RPT-INSIGHT-Codelco’s lithium push fades in favor of copper,05/03/2019,SQM and Albemarle.Authorities are weighing water conservation measures,reuters,0.0|0.722|0.278|0.4019,0.0|1.0|0.0|0.0
83,Codelco's lithium push fades in favor of copper,05/03/2019,producers SQM and Albemarle. Authorities are weighing water conservation,reuters,0.0|0.722|0.278|0.4019,0.0|1.0|0.0|0.0
84,INSIGHT-Codelco’s lithium push fades in favor of copper,05/03/2019,producers SQM and Albemarle.Authorities are weighing water,reuters,0.0|0.722|0.278|0.4019,0.0|1.0|0.0|0.0
85,"REFILE-EMERGING MARKETS-Latam FX softer, real drops on caution about pension reform",21/02/2019,lithium miner Albemarle provided a bullish outlook for 2019,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
86,Albemarle bullish on lithium outlook after fourth-quarter profit,20/02/2019,"(Reuters) - Albemarle Corp, the world's largest lithium producer.""Albemarle said it expects 2019 sales of $3.65 billion to $3.85 billion. Its",reuters,0.0|0.707|0.293|0.4404,0.0|1.0|0.0|0.0
87,Albemarle swings to quarterly profit on rising lithium sales,20/02/2019,"Feb 20 (Reuters) - Albemarle Corp, the world'slargest lithium",reuters,0.0|0.734|0.266|0.4404,0.0|1.0|0.0|0.0
88,Livent's lithium woes in China cloud industry outlook,12/02/2019,"Rivals Albemarle Corp, SQM and Orocobre Ltd - all of which sell",reuters,0.293|0.707|0.0|-0.4404,0.0|1.0|0.0|0.0
89,Chile strikes deal with lithium miner Albemarle in contract dispute,24/01/2019,"lithium miner, Albemarle Corp, to resolve a contract dispute and would that requires Albemarle to provide as much as 25 percent of its annual",reuters,0.394|0.606|0.0|-0.6369,0.103|0.798|0.099|-0.0258
90,Potential Berkshire U.S. lithium project faces uphill road,22/01/2019,producers Albemarle Corp and SQM.A project of such magnitude could,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
91,Exclusive: Chile nuclear watchdog weighs probe into fraud over lithium exports - documents,15/01/2019,of the sales of the world's top lithium producers Albemarle Corp. Albemarle's shares sank around 4 percent on Tuesday following the Reuters,reuters,0.248|0.654|0.098|-0.5106,0.0|0.826|0.174|0.4588
92,EXCLUSIVE-Chile nuclear watchdog weighs probe into fraud over lithium exports -documents,15/01/2019,lithium producersAlbemarle Corp and SQM between1984 and 2015 of lithium.Albemarle's shares sank around 4 percent on Tuesdayfollowing,reuters,0.275|0.725|0.0|-0.5859,0.0|0.872|0.128|0.296
93,"EXPLAINER-SQM and Chile reach lithium deal, but Atacama water woes continue",09/01/2019,"ofproduction.The world's top lithium miners, SQM and Albemarle Corp, share by lithium miners. Both Albemarle and SQM sayapproved expansions",reuters,0.277|0.647|0.076|-0.5859,0.0|0.81|0.19|0.4588
94,"EMERGING MARKETS-Latam currencies mixed, Brazil stocks retreat from record highs",07/01/2019,from lithium producers Albemarle and SQMas statistics showed Chile's,reuters,0.0|0.833|0.167|0.2023,0.0|1.0|0.0|0.0
95,Chile okays lithium miner SQM's plan to remedy water violations,07/01/2019,and rival Albemarle have each staked much of their future production,reuters,0.234|0.552|0.214|-0.0772,0.0|1.0|0.0|0.0
96,Chile okays lithium producer SQM's plan to remedy water violations,07/01/2019,"the salt flat.Atacama, home to top lithium producers SQM andAlbemarle",reuters,0.234|0.552|0.214|-0.0772,0.0|0.833|0.167|0.2023
97,"Chilean lithium exports continue rise, to $949 mln in 2018 - central bank",07/01/2019,reserves.Top lithium producers Albemarle and SQM have both signeddeals,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
98,Friday Morning Briefing,28/12/2018,"announced arbitration with Albemarle, the world’s top lithium producer",reuters,0.0|1.0|0.0|0.0,0.0|0.816|0.184|0.2023
99,Exclusive: Chile to delay arbitration with top lithium producer Albemarle,27/12/2018,a previously announced arbitration with Albemarle Corp  had agreed to provide as much as 25 percent of its,reuters,0.183|0.556|0.262|0.0,0.0|0.884|0.116|0.2732
100,Russia's Rosatom tells Chile it can help boost lithium output,27/12/2018,"be willing to introduce it for projects operated by SQM, Albemarle filings.SQM and Albemarle, which operate in Chile's lithium-rich Atacama",reuters,0.0|0.597|0.403|0.6597,0.0|1.0|0.0|0.0
101,Orocobre price warning drags down lithium stocks,20/12/2018,lower. Shares of Albemarle Corp - the world's largest lithium,reuters,0.451|0.549|0.0|-0.4767,0.193|0.614|0.193|0.0
102,Australian shares edge lower as financials drag; NZ down,16/12/2018,"-based Albemarlefor $1.15 billion.""Overall we are looking at a negative",reuters,0.333|0.488|0.179|-0.2263,0.316|0.684|0.0|-0.5719
103,Albemarle closes $1.15 billion deal for Australian lithium joint venture,14/12/2018,(Reuters) - Albemarle Corp said on Friday it had finalized.-based Albemarle a 50 percent stake in Mineral Resource's Wodgina,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
104,Albemarle closes $1.15 bln deal for Australian lithium joint venture,14/12/2018,Dec 14 (Reuters) - Albemarle Corp said on Friday ithad finalized U.S.-basedAlbemarle a 50 percent stake in Mineral Resource's Wodgina,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
105,Mineral Resources and Albemarle agree $1.15 billion lithium deal,14/12/2018,"joint venture with U.S.-based Albemarle Corp for $1.15 billion.The deal allows Albemarle Corp, the world's top lithium producer, to expand",reuters,0.0|0.762|0.238|0.3612,0.0|0.814|0.186|0.4767
106,Mineral Resources and Albemarle agree $1.15 bln lithium deal,14/12/2018,"a lithium joint venture with U.S.-basedAlbemarle Corp for $1.15 billion.The deal allows Albemarle Corp, the world's top lithiumproducer",reuters,0.0|0.762|0.238|0.3612,0.0|0.899|0.101|0.2023
107,Exclusive: Albemarle pushes Chile to reverse lithium quota decision - filings,06/12/2018,SANTIAGO/HOUSTON (Reuters) - Albemarle Corp  has.The behind-the-scenes moves come even as Albemarle has publicly,reuters,0.0|0.857|0.143|0.128,0.0|1.0|0.0|0.0
108,METALS-Shanghai copper drops for fourth day as trade worries persist,06/12/2018,* Lithium: Albemarle Corp has launched an aggressivelobbying campaign,reuters,0.237|0.763|0.0|-0.4215,0.0|0.824|0.176|0.128
109,Tianqi buys stake in lithium miner SQM from Nutrien for $4.1 billion,03/12/2018,"competitor, No. 1 lithium producer Albemarle Corp ",reuters,0.0|1.0|0.0|0.0,0.306|0.694|0.0|-0.296
110,Nutrien to auction stake in lithium miner SQM for over $4 billion,03/12/2018,"Albemarle Corp in Australia, where they own theworld's biggest",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
111,Nutrien to auction stake in lithium miner SQM on December 3,28/11/2018,"producer Albemarle Corp in Australia, where they own the world's",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
112,Albemarle to respect outcome of Chile lithium arbitration -executive,28/11/2018,"Nov 28 (Reuters) - Albemarle Corp will respect theoutcome month. EricNorris, Albemarle's lithium division president, said",reuters,0.0|0.721|0.279|0.4767,0.0|0.819|0.181|0.4767
113,METALS-London copper falls for 3rd day after Trump tariff threat,26/11/2018,an arbitration suitagainst lithium miner Albemarle by Dec. 15,reuters,0.274|0.726|0.0|-0.5267,0.0|1.0|0.0|0.0
114,Chile to file arbitration suit against lithium miner Albemarle by Dec. 15,26/11/2018,an arbitration suit against lithium miner Albemarle by Dec. 15 Albemarle must provide as much as 25 percent of its annual production,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
115,Chile to file arbitration suit against lithium miner Albemarle by Dec 15 - Corfo vp,26/11/2018,"an arbitration suit against lithium miner Albemarle by December15, the Chilean Albemarle had to provide asmuch as 25 percent of its annual production",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
116,SQM's lithium sales volumes drop 27 pct after production delay,22/11/2018,it will overtake competitor Albemarle Corpas the world's top producer of lithium by 2022.Both SQM and Albemarle are preparing to ramp up,reuters,0.355|0.645|0.0|-0.5267,0.0|0.921|0.079|0.2023
117,"Australia, NZ shares end higher; global growth worries persist",22/11/2018,"on the benchmark, surging 26.6 percent after Albemarle Corp, the world's top",reuters,0.206|0.441|0.353|0.25,0.0|0.859|0.141|0.2023
118,Albemarle boosts lithium supply with $1.2 billion Australian deal,22/11/2018,"By Melanie BurtonMELBOURNE (Reuters) - Albemarle Corp, the world's regulators rejected plans to expand its operations in Chile.Albemarle",reuters,0.0|0.777|0.223|0.3182,0.16|0.728|0.112|-0.25
119,Albemarle shores up lithium supply with $1.2 bln Australian deal,21/11/2018,"MELBOURNE, Nov 22 (Reuters) - Albemarle Corp, theworld's top lithium rejected plans to expand itsoperations in Chile.Albemarle will take a 50",reuters,0.0|1.0|0.0|0.0,0.141|0.684|0.175|-0.0516
120,"Australia, NZ shares bounce from recent sell-offs; mood still cautious",21/11/2018,sella 50 percent stake in its lithium project to Albemarle Corp,reuters,0.121|0.69|0.19|0.2023,0.0|1.0|0.0|0.0
121,Chilean regulators reject Albemarle's plans to boost lithium output,13/11/2018,"regulators have rejected plans by Albemarle Corp, the world's top lithium said in a resolution on Monday that Albemarle's environmental impact",reuters,0.218|0.565|0.218|0.0,0.143|0.779|0.078|-0.3612
