,headline,date,snippet,source,headline_sentiment,snippet_sentiment
54,Lithium supply pipeline is filling but will it be enough? Andy Home,20/07/2017,"Jiangxi Ganfeng Lithium, which is now big and integrated enough to claim lithium, and lithium in the right chemical composition, to support",reuters,0.0|1.0|0.0|0.0,0.0|0.886|0.114|0.4019
55,CORRECTED-RPT-COLUMN-Lithium supply pipeline is filling but will it be enough? Andy Home,20/07/2017,"for more production areChile's SQM and China's Jiangxi Ganfeng Lithium for a pieceof the lithium action.The big three, or big four if Ganfeng",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
56,CORRECTED-COLUMN-Lithium supply pipeline is filling but will it be enough? Andy Home,20/07/2017,"for more production areChile's SQM and China's Jiangxi Ganfeng Lithium for a pieceof the lithium action.The big three, or big four if Ganfeng",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
57,"BRIEF-Lithium Americas appoints Wang Xiaoshen, Jonathan Evans as independent directors",08/06/2017,ofLithium Americas as nominee of Jiangxi Ganfeng Lithium Co Ltd* LithiumJune 8 (Reuters) - Lithium Americas Corp:* Lithium Americas Corp,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
58,BRIEF-Lithium Americas provides update on strategic financing with Ganfeng Lithium,10/05/2017,financing withGanfeng Lithium* Private placement will result in issuance of 63.75 millioncommon shares of co to Ganfeng Lithium,reuters,0.0|1.0|0.0|0.0,0.0|0.885|0.115|0.296
59,Crowded herd of lithium explorers faces culling as supplies rise,06/03/2017,"withproducer SQM, and investments by Jiangxi GanfengLithium Co of explorersfighting for capital to produce lithium faces a painfulreckoning",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
60,Argentina lithium projects seek financing as production seen tripling,08/02/2017,"partnered with China's Ganfeng Lithium to build a 25,000 tonne-perBy Juliana CastillaBUENOS AIRES (Reuters) - Argentina's lithium",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
61,Cornish lithium dreams may die in South America's salt lakes: Andy Home,06/02/2017,lithium processor (Ganfeng) and two off-take partners (GanfengBy Andy HomeLONDON (Reuters) - There's lithium in them there Cornish,reuters,0.235|0.602|0.163|-0.296,0.0|1.0|0.0|0.0
62,RPT-COLUMN-Cornish lithium dreams may die in South America's salt lakes: Andy Home,06/02/2017,"),an existing lithium processor (Ganfeng) and two off-takepartners) - There's lithium in them thereCornish hills!News that a start-up",reuters,0.235|0.602|0.163|-0.296,0.0|1.0|0.0|0.0
63,COLUMN-Cornish lithium dreams may die in South America's salt lakes: Andy Home,03/02/2017,"By Andy HomeLONDON, Jan 3 (Reuters) - There's lithium in them thereCornish hills!News that a start-up, Cornish Lithium, is going to explore",reuters,0.235|0.602|0.163|-0.296,0.0|1.0|0.0|0.0
64,BRIEF-Lithium Americas announces US$174 mln strategic investment by Ganfeng Lithium,17/01/2017,"announces us$174 million strategicinvestment by Ganfeng Lithium* Lithium* Lithium Americas Corp -following close of privateplacement, Ganfeng",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
65,"BRIEF-Jiangxi Ganfeng Lithium's units to invest in Canada firm, battery project",17/01/2017,Jan 17 (Reuters) - Jiangxi Ganfeng Lithium Co Ltd* Says Hong Kong in Lithium Americas Corp for $49 million* Says unit plans to invest,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
66,"Factbox: New mines, expansions in lithium",15/12/2016,"and Ganfeng Lithium <002460.SZ>, which aims to produce 50,000LONDON (Reuters) - The global lithium market is heading for a surplus",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
67,BRIEF-Jiangxi Ganfeng Lithium's unit GFL to buy shares of Canada's lithium firm,01/12/2016,Dec 1 (Reuters) - Jiangxi Ganfeng Lithium Co Ltd* Says GFL International will own 18.06 percent inInternational Lithium after transaction,reuters,0.0|0.833|0.167|0.296,0.0|1.0|0.0|0.0
