,headline,date,snippet,source
18,Australia Court Recommends No Exemptions to Lithium Project: SQM,12/09/2018,"Chile’s political and business elites are breathing a sigh of relief after final rulings on major corruption cases. For some, though, the authorities have merely papered over the problem.",ft
19,Lithium Giant SQM Surges as Shareholder Puts Stake Up for Sale,18/12/2015,"Soc. Quimica y Minera de Chile SA, the country’s largest fertilizer producer, fell the most in five years after Russia’s OAO Uralkali said it would abandon a cartel that underpinned prices for a principal ingredient.",ft
20,Chile Opening New Flank in Battle With Chemicals Giant SQM,07/06/2016,"Howard Kindler, 57, dipped into his pension to turn property investor, spending a third of his retirement savings and taking out a mortgage to buy a Melbourne apartment.",ft
21,Tianqi’s Search for Lithium Sources Sends Chile’s SQM Soaring,26/09/2016,"Soc. Quimica y Minera de Chile SA, the country’s largest fertilizer producer, fell to the lowest in five years after the company reported a bigger-than-expected drop in profit as potash prices slumped.",ft
22,SQM CEO Ousted After Board Clash in Chile Probe; Shares Fall,17/03/2015,Sociedad Quimica & Minera de Chile rose the most in more than three months today after China’s Tianqi Lithium Industries Inc. said it had acquired a stake in the world’s second-largest producer of lithium.,ft
23,Tianqi’s Search for Lithium Sources Sends Chile’s SQM Soaring,26/09/2016,"Howard Kindler, 57, dipped into his pension to turn property investor, spending a third of his retirement savings and taking out a mortgage to buy a Melbourne apartment.",ft
24,Lithium Mogul Opens Door to SQM Exit as Holdco Hires Adviser,13/11/2015,Chile’s benchmark IPSA posted its biggest monthly loss among the world’s major stock indexes amid tax concern and a tumble in the shares of fertilizer maker Soc. Quimica y Minera de Chile SA.,ft
25,Tesla locked in talks with Chile’s SQM over lithium investment,30/01/2018,"Tesla is in talks with Chile’s largest lithium producer SQM about investing in supplies of the battery material, as it ramps up production of its first mass-market electric car.",ft
26,Tianqi readies HK listing ahead of SQM deal,21/08/2018,"China’s biggest producer of lithium, the battery raw material, has chosen Morgan Stanley and CLSA for a listing in Hong Kong to fund its $4.07bn purchase of a stake in Chile’s SQM, according to a prospectus.",ft
27,Tianqi Lithium buys into Chile’s SQM,18/05/2018,"Shenzhen-listed Tianqi paid a 12 per cent premium for the SQM shares held by Canada’s Nutrien, which was required to sell as part of the merger between PotashCorp and Agrium that created it.",ft
28,Batteries power Tianqi’s quest for lithium producer,29/09/2016,Takeover bid for SQM signals China’s ambition to take lead in the electric car supply chain,ft
29,Lithium faces $5bn test as supplier stake sale electrifies buyer interest,17/02/2018,"When Canadian fertiliser company PotashCorp acquired shares in Chile’s SQM almost 20 years ago, the latter’s lithium business appeared an afterthought.",ft
30,Shares of lithium producers Albemarle and SQM rattled by gloomy forecast,27/02/2018,"Shares in US-listed Albemarle fell as much as 10 per cent, while those of rival SQM dropped 8 per cent after analysts at Morgan Stanley cautioned that the lithium price could plunge 45 per cent over the next four years.",ft
31,Speed read,23/05/2019,Lithium overload Chinese companies disrupted a market controlled by Chile’s SQM and Albemarle and FMC of the US,ft
32,Companies / Sectors / People,29/08/2018,"Companies CCCapital....................................................13GlaxoSmithKline.........................................7Ryanair...........................................................12Automobiles......................................4,17,18Barry,Corie.................................................12AT&T...............................................................11CITS...................................................................2Glencore..................................................14,18SQM.................................................................17Banks...............................................9,10,12,17Bazan,Rodrigo..........................................12 AdaroEnergy............................................14Citigroup........................................................11GoldmanSachs...................................14,17SaudiAramco..............................................9BasicResources.................................14,18Beaven,Peter............................................14Albemarle.....................................................17ConstellationHealthcareTech’s....13Google...................................................1,14,17Shell..................................................................11Construction...............................................10Browne,Thom...........................................12",ft
33,Sinochem chases $4bn lithium stake,23/10/2017,"Sinochem, China’s state chemical group, is among bidders for a $4bn stake in Chile’s SQM, one of the world’s largest producers of lithium, a key component in electric car batteries.",ft
34,Chile’s buried treasure,09/07/2016,"Almost all of the world’s lithium comes from just four countries — Chile, Australia, Argentina and China — while just four companies control most of the supply: Sociedad Química y Minera de Chile (SQM), a fertiliser producer that began mining lithium in the 1990s; two US producers, Albemarle and...",ft
35,CHILE’S BURIED TREASURE,09/07/2016,"Almost all of the world’s lithium comes from just four countries – Chile, Australia, Argentina and China – while just four companies control most of the world’s supply: Sociedad Química y Minera de Chile (SQM), a fertiliser producer that began mining lithium in the 1990s; two US producers, Albemarle...",ft
36,Companies / Sectors / People,27/08/2019,"AbbVie............................................................11EazyDiner.....................................................14MediaforEurope....................................12S&PGlobal...................................................12WandaSports.............................................11Telecoms................................................10,12Alibaba......................................................11,14 Engie...............................................................14 Mediaset........................................................12 SQM..................................................................11WhatsApp....................................................10Travel&Leisure...........................11,12,14 Allergan..........................................................11 Equinor..........................................................14 Megvii..............................................................11 SegaSammy...............................................11 WoodMackenzie......................................12Utilities....................................................10,14Amazon..........................................................12 Facebook......................................................10 Meituan-Dianping...................................14 SenseTime....................................................11 WuInternational........................................4 People",ft
37,Powering the battery supply chain,23/05/2019,"After that the market was dominated by a cosy oligopoly known as the Big Three: SQM of Chile, which was controlled by the son-in-law of the country’s former dictator Augusto Pinochet, and US producers Albemarle and FMC.",ft
38,Companies / Sectors / People,30/08/2018,"Aldi...................................................................18DeutscheBank...........................................11Investindustrial.........................................12 RoyalMail....................................................18 YumBrands................................................13 Bezos,Jeff.....................................................9Alibaba......................................................11,13Diageo............................................................10InvestmentDar.........................................12 SQM.................................................................17 Sectors Cheung,Phyllis.........................................13Alphabet...................................................9,18Dick’sSportingGoods....................13,18JapanTobacco............................................3 Samsung.......................................................14 Automobiles....................................10,12,18Cook,Tim.....................................................10",ft
39,Companies / Sectors / People,26/02/2018,"Anbang.................................................8,13,14DalianWanda..............................................8MagicLeap................................................16SIXGroup.....................................................16 WaldorfAstoria........................................14Carlin,John.................................................15Apple...........................................................2,16DeltaAirLines............................................2McKinsey....................................................1,13SQM.................................................................15 Wyndham.......................................................2 Egan,Christopher...................................16Autonomy....................................................16DongfengMotorGroup.......................15MetLife.............................................................2Siemens............................................................1 Sectors Einhorn,David...........................................13",ft
40,China’s BYD in talks over Chile lithium supply,07/04/2017,"Sociedad Química y Minera de Chile (SQM) and US-based Albemarle are two of the largest producers in Chile, and Codelco, the state-owned copper company, has been looking at developing deposits.",ft
41,"Lithium price poised for recovery, says Tianqi boss",14/05/2019,"Tianqi has been the world’s most acquisitive global lithium company in the past few years, buying Australia’s largest lithium mine, Greenbushes, in 2013, and last year paying $4.1bn for a 24 per cent stake in Chile’s SQM.",ft
42,Companies / Sectors / People,23/08/2019,"AlborzDarou................................................3Eneco..............................................................12LBrands.......................................................18 RoyalDutchShell....................................12Healthcare.................................10,14,18,18 Green,Kirsten............................................12Alpro...............................................................14Essar.................................................................11LVMH..............................................................12 SQM.................................................................18Industrials....................................................18 Hall,Daniel.............................................10,11Amazon......................................................9,12Etsy..................................................................12LaPerla.........................................................17 StandardChartered................................11Insurance......................................................12 Higgins,Nigel............................................13",ft
43,Companies / Sectors / People,21/08/2018,"Apple..............................................................14Covestro........................................................13 JD.com...........................................................14 SQM.................................................................14 YooxNet-a-Porter............................10,14 Ashley,Mike...............................................10Atlantia......................................................3,18Crystallex........................................................2 JPMorgan.....................................................12 Sage.................................................................18 Sectors Browning,John.........................................17",ft
44,Stalled market Lithium knocked by oversupply and cut in electric-vehicle subsidy,27/08/2019,"Chile’s SQM, the world’s second-largest producer, last week said its earnings for the second quarter had almost halved, to $70.2m, because of lower lithium prices.",ft
45,Companies / Sectors / People,25/01/2019,"AngloAmerican.......................................16Ford.................................................................14 Mashable.......................................................12 SJMHoldings.............................................13 Airlines.....................................................16,16Jinghe,Chen...............................................16Aozora............................................................13FormosaPlastics........................................7 McCormick..................................................20 SQM.................................................................16 Automobiles....................................10,12,14Kapoor,Rakesh.......................................20ApolloGlobalManagement.........12,13Freeport-McMoRan.........................16,20 Merck..............................................................16 STMicroelectronics................................20 Banks.............................................................20Kelly,Gary...................................................16",ft
46,Companies / Sectors / People,23/10/2017,"Audi..................................................................15Facebook.........................................9,13,14,15 Mercedes......................................................15 Rusal................................................................16 Airlines...........................................................14Cagney,Mike..............................................13BMW................................................................15Ford..................................................................15 MonarchAirlines.....................................14 SQM.................................................................14 Automobiles................................................15Deripaska,Oleg........................................16BankofCommunications...................14Geely...............................................................15 MorganStanley.......................................13 Schroders...................................................14 Banks..............................................................13Dimon,Jamie..............................................13",ft
47,China’s ambitious investment push into Chile reflects shift in region’s political winds,26/02/2019,"China has seized the opportunity. Tianqi Lithium Corp snapped up a 24 per cent stake in SQM, a Chilean lithium miner, for $4bn, the country’s biggest foreign investment in 2018. Chinese companies have also invested in the electricity, renewable energy, salmon and fruit sectors in the past year.",ft
48,Tesla signs deal with Australia’s Kidman Resources,18/05/2018,"Kidman is developing the Mount Holland hard rock lithium project in Western Australia in a joint venture with Chile’s SQM, the world’s second-largest producer of the battery raw material.",ft
49,Companies / Sectors / People,27/02/2018,"BAIC................................................................10GeneralElectric..................................11,20 SNCF.................................................................7 Vodafone......................................................10 Aschenbroich,Jacques........................14 Seidman,Leslie..........................................11BYD.................................................................10Gogo................................................................16 SQM.................................................................19 Volkswagen.................................................14 Barton,Dominic........................................13 Singh,Malvinder......................................14BancoPopular...........................................12GoldmanSachs.........................................12 SamsungElectronics.............................10 WadhwaniAssetManagement.......19 Blodget,Henry..........................................12 Singh,Shivinder.......................................14",ft
50,FMC eyes next-generation batteries in lithium producer Livent’s New York IPO,29/08/2018,"Shares in the world’s largest producer, Albemarle, have dropped 24 per cent year to date while Chile’s SQM is off by 27 per cent.",ft
51,Companies / Sectors / People,30/01/2018,"Apple................................................................9EY......................................................................12 KraftHeinz..................................................13 SQM.................................................................14 ZTE....................................................................4 Flannery,John..........................................14ArdenPartners.........................................12EasyJet..........................................................19 LinkedIn........................................................18 Sanofi.........................................................10,11 Sectors Gamgort,Bob..........................................1,13",ft
52,Political scandals put brake on reform agenda,28/04/2015,"While the rightwing UDI party has been deeply damaged by a campaign finance scandal, after politicians invoiced lithium producer SQM and financial group Penta for services that were never provided, Ms Bachelet’s credibility has also been severely dented by accusations that her son and daughter-in-law abused their political influence...",ft
53,Chinese groups go where western rivals fear to tread,25/01/2019,Their largest acquisition last year was the $4.1bn purchase of a 24 per cent stake in Chilean lithium miner SQM by China’s Tianqi Lithium.,ft
54,Trio of lithium IPOs will fuel debate on electric vehicles,30/08/2018,"The largest producers in Chile — Albemarle and SQM — have pledged to expand supply while a host of new mines are being developed, spanning Canada to Australia.",ft
55,Tesla in stand-off over lithium supply for factory,16/12/2015,"Analysts say Albemarle of Baton Rouge, FMC Lithium of Philadelphia and SQM of Chile, the big producers of lithium, have not been willing to supply at the prices Tesla has demanded.",ft
56,Companies / Sectors / People,23/05/2019,"12 ..9 ,20 ,13 Samsung SQM.......... .",ft
57,Betting on batteries,30/11/2018,"These investors range from heavyweights such as Albermarle Corp of the US, Sociedad Química y Minera (SQM) from Chile to China’s Tianqi Lithium as well as a plethora of junior miners and new entrants in Western Australia.",ft
58,US jobless figures expected to fall further as Fed points to ‘generally good’ economic conditions,02/12/2019,"SQM Research, a consultancy, forecasts prices could surge by up to 14-15 per cent in 2020, although it warns they would be liable for a correction due to their reliance on",ft
59,Rio Tinto hails ‘eureka moment’ after large lithium discovery in California,23/10/2019,"In 2017, Rio was said to have looked at acquiring a stake in Chile’s SQM, the world’s second-largest producer, but China’s Tianqi Lithium ended up buying a stake in the company.",ft
60,The day in the markets What you need to know,23/08/2019,Lithium miner Albemarle and technology partner Livent were dragged down after Chilean mining company SQM announced that earnings had plummeted by nearly half due to a slump in prices for the battery metal. Harry Dempsey,ft
61,Companies / Sectors / People,03/05/2019,"Chevron.........................................................14Kellogg....................................................14,20 SQM.................................................................10 Wesfarmers.................................................10 Chai,Nelson...............................................10 Thain,John.................................................10Cinnober.......................................................19KidmanResources..................................10 Saft.....................................................................2 Sectors Cil,José.........................................................19Uhl,Jessica.................................................10",ft
62,Lex.,03/05/2019,"Its partner, SQM of Chile, is one of the world’s leading lithium producers. Tesla has a deal to buy the output for its batteries.",ft
63,Australia housing fall raises recession fear,11/01/2019,"Developers are increasingly offering incentives to tempt buyers, amid weakening sales that have caused the volume of property listings to jump by a quarter in Melbourne and 16.5 per cent in Sydney over the past year, according to data provider SQM Research.",ft
64,Niche bets on Burgundy wine and cannabis pay off,29/12/2018,That has hit share prices of the largest producers with Chile’s lithium giant SQM down 31 per cent this year and cobalt producer China Molybdenum off by 40 per cent. Henry Sanderson,ft
65,Nissan scraps $1bn sale of battery unit to Chinese buyout group,03/07/2018,"Since then the group, led by deal-maker Sonny Wu, has appeared in a number of high-profile auctions for overseas assets. In the second half of last year it entered the race for a stake in SQM, the Chilean lithium producer, but was beaten by Tianqi, the Chinese battery maker.",ft
66,Metals are the new black gold as race to control battery resources turns geopolitical,23/05/2018,"Last week a Chinese company, Tianqi Lithium, snapped up a significant stake in Chile’s largest lithium producer, SQM, despite opposition from some in the South American country who say the deal is handing China a monopoly over lithium supply.",ft
67,Carmakers race to secure battery raw materials,26/02/2018,"This month, BMW said it was close to signing a deal for the long-term supply of battery metals lithium and cobalt, while Tesla is also in talks with Chile’s SQM, one of the world’s largest lithium producers.",ft
68,What to watch in metals during the coming year,22/12/2017,"One of the largest producers, Chile’s SQM, is in talks to resolve a dispute over how much lithium it can produce following the election of Sebastián Piñera as president this month.",ft
69,Chile’s Piñera aims to benefit from Latin America’s swing to right,17/10/2017,"Perhaps the former magnate’s greatest weakness are accusations of conflicts of interest. Although he has successfully deflected charges related to his overseas investments, an investigation was opened last month over whether he received illegal campaign funds in his 2009 presidential bid from the mining company, SQM.",ft
70,BlackRock bets big on lithium’s electric-car future,16/09/2017,"Lithium production is currently dominated by four large players, Chile’s SQM, FMC, Albemarle and Tianqi Lithium. But a host of smaller companies are racing to bring supply to the market and get their material approved for use in batteries.",ft
71,Supply challenge energises lithium trade,06/01/2017,"The market is dominated by four producers: Sociedad Química y Minera de Chile (SQM), Albemarle, FMC and China’s Tianqi Lithium. On top of that, at least 28 listed companies in Australia and Canada are developing lithium projects. Rio Tinto, the FTSE 100 miner,",ft
72,Lithium sector powered up by electric cars,27/07/2016,"That could come from other raw lithium producers such as Chile’s SQM or Orocobre, according to Robert Baylis, an analyst at consultancy Roskill.",ft
73,Battery power,06/03/2017,"purchase last year of a 2.1 per cent stake in Chile’s SQM, the world’s largest lithium producer, by Tianqi Lithium.",ft
0,Chilean Lithium Miner Seen Profiting From `Explosive' EV Growth,09/10/2018,"SQM’s plans to increase lithium production capacity by almost 50% have proved more challenging than expected, CEO Patricio de Solminihac said in a statement as the company released 3Q earnings.",reuters
1,Lithium Giant SQM's Challenging Expansion to Hit 4Q Sales: CEO,22/11/2018,"Even the most experienced lithium producers struggle when it comes to ramping up supply, suggesting that many projects being touted by small companies will never be built, according to Banco Santander.",reuters
2,Tianqi Lithium Confirms Purchase Nutrien's SQM Stake for $65/Shr,17/05/2018,"Rio Tinto Group has dropped out of the bidding for a stake in Soc. Quimica & Minera de Chile SA, one of the world’s top lithium producers, as it pursues other ways to capitalize on the electric-car boom, people familiar with the matter said.",reuters
3,Lithium Dispute in Chilean Desert Hits Battery Supplier’s Bonds,22/06/2015,"Seven logistics properties in France, Germany, Netherlands and Spain sold to CBRE Global Investment Partners, Warburg-HIH says in statement today. * Sale of bundled properties from Warburg-HIH and TIAA CREF investor funds was managed by TH Real Estate * Rental space of 600,000 sqm",reuters
4,Lithium Dispute in Chilean Desert Hits Battery Supplier’s Bonds,22/06/2015,"Seven logistics properties in France, Germany, Netherlands and Spain sold to CBRE Global Investment Partners, Warburg-HIH says in statement today. * Sale of bundled properties from Warburg-HIH and TIAA CREF investor funds was managed by TH Real Estate * Rental space of 600,000 sqm",reuters
5,"TIAA-CREF, Warburg-HIH Sell EU350m European Logistics Portfolio",29/06/2015,"Rental vacancies in Australian mining towns are climbing faster than the national average, highlighting the risk of a “severe correction” as the resources industry slows, according to SQM Research Pty.",reuters
6,Julio Ponce Resigns From Boards of Chile’s SQM Holding Cos.,09/09/2015,Electric-car demand and tight supplies will drive prices higher.,reuters
7,Israel Chemicals Says Chile Miner SQM a ‘Good Fit’,20/03/2015,"Rockwood Holdings Inc., the world’s largest producer of lithium products, may become a takeover target after agreeing to sell almost $4 billion of businesses this year.",reuters
8,Two Shots Fired May Break This Rally Wide Open: Taking Stock,04/03/2019,"Delays at SQM’s expansion project in Chile are “problematic” for a market that’s already tight, Livent CEO Paul Graves says.",reuters
9,Global Lithium Supply May See `Tightness' on SQM Delay: Livent,06/11/2018,Mining lithium and copper to supply the battery boom and fight climate change is wrecking a fragile ecosystem in Chile.,reuters
10,High Risk/High Reward Lithium Bet Drives Argentina Mining Surge,04/12/2018,"China’s Tianqi Lithium Corp. cleared a major hurdle in its bid to purchase a $4.1 billion stake in Chile’s SQM, the world’s second-largest producer of the mineral essential to manufacture electric vehicle batteries.",reuters
11,Tianqi Clears Legal Hurdle in Purchase of $4.1 Billion SQM Stake,25/10/2018,Renaissance Technologies LLC boosted its stake in lithium giant Soc. Quimica & Minera de Chile SA before the Santiago-based company was cleared by the government to crank up output.,reuters
12,Renaissance Technologies Increases Stake in Lithium Producer SQM,13/02/2018,Chilean stocks have risen to record highs on anticipation that former President Sebastian Pinera will return to power and usher in a golden period of growth and prosperity. He has his work cut out for him.,reuters
13,SQM Beats Profit Estimates as Cutbacks Blunt Fertilizer Slowdown,25/08/2015,"The Chilean company makes lithium for rechargeable batteries, but most of its profit comes from potassium products and fertilizers.",reuters
14,China’s Tianqi Lithium Proposes Deal for Stake in Rival SQM,09/09/2016,The race to supply lithium to the rechargeable batteries used in cell phones and electric cars is taking Soc. Quimica & Minera de Chile SA over the Andes as Argentina’s new government seeks to open up its reserves.,reuters
15,Lithium Boom Takes Chile's SQM Across Andes in Argentine Venture,28/03/2016,"Billionaire Lang Walker, founder of one of Australia’s largest closely held developers, said that home prices in Sydney and Melbourne have climbed too much, and he is turning his focus to his investment in Malaysia.",reuters
16,SQM’s Ponce Steps Down as Chairman; Potash Elects Directors,22/04/2015,Potash Corp. of Saskatchewan Inc. has the best chance in seven years of taking over Soc. Quimica & Minera de Chile SA as a stock slump and trading probe threaten to loosen the chairman’s grip on the fertilizer maker.,reuters
