,date,headline,stock
21,2020-04-16 09:28:00-04:00,"deutsche bank maintains hold on albemarle, raises price target to $68",alb
22,2020-04-15 09:02:00-04:00,shares of several material stocks are trading lower amid a warning that oil demand will reach a 25-year low. this has negative implications for industrial production and construction.,alb
23,2020-04-13 12:38:00-04:00,shares of several basic materials companies are trading lower amid overall market weakness. equities are down for the sessions amid uncertainty surrounding the reopening of the economy.,alb
24,2020-04-09 10:29:00-04:00,shares of several basic material companies are trading higher amid overall market strength after the us federal reserve announced a further $2.3 trillion in financing programs to support the economy.,alb
25,2020-04-09 07:57:00-04:00,"citigroup maintains cautious on albemarle, lowers price target to $49",alb
26,2020-04-08 11:51:00-04:00,"shares of several basic material companies are trading higher amid optimism that coronavirus cases around the world are potentially easing. global slowing cases could raise hopes of a sooner return to spending, economic activity and investment.",alb
27,2020-04-08 10:41:00-04:00,"ubs maintains buy on albemarle, lowers price target to $98",alb
28,2020-04-06 11:38:00-04:00,"bmo capital maintains outperform on albemarle, lowers price target to $80",alb
29,2020-04-03 12:27:00-04:00,"cfra downgrades albemarle to hold, lowers price target to $70",alb
30,2020-03-30 10:30:00-04:00,"morgan stanley maintains underweight on albemarle, lowers price target to $40",alb
31,2020-03-27 09:08:00-04:00,"wells fargo maintains equal-weight on albemarle, lowers price target to $68",alb
32,2020-03-26 10:01:00-04:00,"benzinga's top upgrades, downgrades for march 26, 2020",alb
33,2020-03-26 05:11:00-04:00,keybanc initiates coverage on albemarle with sector weight rating,alb
34,2020-03-25 08:40:00-04:00,"deutsche bank maintains hold on albemarle, lowers price target to $62",alb
35,2020-03-23 10:34:00-04:00,stocks that hit 52-week lows on monday,alb
36,2020-03-23 07:15:00-04:00,"ubs maintains buy on albemarle, lowers price target to $108",alb
37,2020-03-10 07:33:00-04:00,25 stocks moving in tuesday's pre-market session,alb
38,2020-03-10 07:18:00-04:00,"shares of several basic materials companies are trading higher, rebounding from monday's selloff. the basic materials space has been negatively impacted by the coronavirus outbreak, as the virus has disrupted economic activity globally.",alb
39,2020-03-09 10:36:00-04:00,"shares of several basic materials companies are trading lower amid the global coronavirus outbreak, which has disrupted economic growth and hampered the demand for basic materials.",alb
40,2020-03-09 07:51:00-04:00,22 basic materials stocks moving in monday's pre-market session,alb
41,2020-02-25 13:09:00-05:00,"shares of several basic materials companies are trading lower as markets fall amid the continued spread of the coronavirus, which has weighed on global economic outlook, impacting stocks across sectors.",alb
42,2020-02-24 08:01:00-05:00,shares of several basic materials companies are trading lower as coronavirus cases surge outside of china. note: the virus has raised fear of a global economic slowdown.,alb
43,2020-02-24 07:24:00-05:00,21 basic materials stocks moving in monday's pre-market session,alb
44,2020-02-21 10:05:00-05:00,"oppenheimer maintains outperform on albemarle, raises price target to $116",alb
45,2020-02-21 09:15:00-05:00,"suntrust robinson humphrey maintains hold on albemarle, raises price target to $90",alb
46,2020-02-21 08:50:00-05:00,"deutsche bank maintains hold on albemarle, raises price target to $96",alb
47,2020-02-21 08:47:00-05:00,10 biggest price target changes for friday,alb
48,2020-02-21 08:04:00-05:00,"rbc capital maintains sector perform on albemarle, raises price target to $84",alb
49,2020-02-21 07:45:00-05:00,6 basic materials stocks moving in friday's pre-market session,alb
50,2020-02-21 07:27:00-05:00,"wells fargo maintains equal-weight on albemarle, raises price target to $105",alb
51,2020-02-20 10:26:00-05:00,stocks that hit 52-week highs on thursday,alb
52,2020-02-20 10:25:00-05:00,albemarle shares are trading higher despite the company reporting worse-than-expected q4 eps and sales results.,alb
53,2020-02-20 07:54:00-05:00,8 basic materials stocks moving in thursday's pre-market session,alb
54,2020-02-19 16:55:00-05:00,albemarle corp sees fy20 adj. eps $4.80-$5.10; sales $3.48b-$3.53b,alb
55,2020-02-19 16:53:00-05:00,"albemarle q4 eps $1.73 misses $1.74 estimate, sales $992.564m miss $1b estimate",alb
56,2020-02-19 13:26:00-05:00,some market stats in 5 minutes,alb
57,2020-02-19 04:01:00-05:00,"earnings scheduled for february 19, 2020",alb
58,2020-02-18 10:14:00-05:00,"market taking a step back: walmart misses on earnings, apple lowers sales guidance",alb
59,2020-02-12 07:31:00-05:00,4 basic materials stocks moving in wednesday's pre-market session,alb
60,2020-02-11 11:36:00-05:00,germany's volkswagen and daimler launch study to push for more sustainable mining of lithium in chile,alb
61,2020-02-07 10:15:00-05:00,shares of several basic materials companies are trading lower as coronavirus fears continue to cloud the demand outlook for such products.,alb
62,2020-02-05 10:30:00-05:00,albemarle shares are trading lower after baird downgraded the stock from outperform to neutral.,alb
63,2020-02-05 10:00:00-05:00,"earnings bonanza: results keep pouring in, with investors looking over merck, disney",alb
64,2020-02-05 09:55:00-05:00,"benzinga's top upgrades, downgrades for february 5, 2020",alb
65,2020-02-05 08:31:00-05:00,10 biggest price target changes for wednesday,alb
66,2020-02-05 05:56:00-05:00,68 biggest movers from yesterday,alb
67,2020-02-05 05:35:00-05:00,"baird downgrades albemarle to neutral, raises price target to $100",alb
68,2020-02-04 12:35:00-05:00,55 stocks moving in tuesday's mid-day session,alb
69,2020-02-04 09:09:00-05:00,shares of basic materials companies are trading higher amid a rebound in global equities following last week's selloff on coronavirus fears.,alb
70,2020-01-15 08:18:00-05:00,"wells fargo maintains equal-weight on albemarle, raises price target to $80",alb
71,2020-01-08 08:15:00-05:00,17 basic materials stocks moving in wednesday's pre-market session,alb
72,2020-01-03 11:33:00-05:00,"benzinga's top upgrades, downgrades for january 3, 2020",alb
73,2019-12-12 07:06:00-05:00,"albemarle sees fy24 sales $4.4b-$5b, adj. ebitda $1.5m-$1.8m",alb
74,2019-11-22 12:14:00-05:00,"morgan stanley maintains underweight on albemarle, lowers target to $50 notes 'it's now consensus that lithium is oversupplied, but 2021+ expectations on demand and price remain too optimistic'",alb
75,2019-11-22 08:47:00-05:00,10 biggest price target changes for friday,alb
76,2019-11-22 08:38:00-05:00,"morgan stanley maintains underweight on albemarle, lowers price target to $50",alb
77,2019-11-21 15:57:00-05:00,albemarle shares rebound from session low; hearing hedgeye named stock a new long idea,alb
78,2019-11-14 09:56:00-05:00,"benzinga's top upgrades, downgrades for november 14, 2019",alb
79,2019-11-14 07:45:00-05:00,seaport global downgrades albemarle to neutral,alb
80,2019-11-13 09:35:00-05:00,"benzinga's top upgrades, downgrades for november 13, 2019",alb
81,2019-11-13 07:26:00-05:00,"citigroup downgrades albemarle to sell, lowers price target to $58",alb
82,2019-11-12 09:37:00-05:00,"benzinga's top upgrades, downgrades for november 12, 2019",alb
83,2019-11-12 08:14:00-05:00,10 biggest price target changes for tuesday,alb
84,2019-11-12 07:45:00-05:00,"ubs maintains buy on albemarle, lowers price target to $87",alb
85,2019-11-12 06:02:00-05:00,"rbc capital downgrades albemarle to sector perform, lowers price target to $71",alb
86,2019-11-08 10:03:00-05:00,albemarle shares are trading lower after jp morgan downgraded the stock from neutral to underweight and lowered the price target from $68 to $60 per share.,alb
87,2019-11-08 09:33:00-05:00,"benzinga's top upgrades, downgrades for november 8, 2019",alb
88,2019-11-08 06:35:00-05:00,"a peek into the markets: us stock futures flat ahead of economic data, fed speakers",alb
89,2019-11-08 06:03:00-05:00,"jp morgan downgrades albemarle to underweight, lowers price target to $60",alb
90,2019-11-07 12:33:00-05:00,albemarle shares are trading higher despite reporting worse-than-expected q3 earnings results.,alb
91,2019-11-07 12:12:00-05:00,albemarle option alert: dec 20 $70 calls sweep (46) near the ask: 910 @ $3.8 vs 2240 oi; ref=$71.2,alb
92,2019-11-07 10:07:00-05:00,albemarle ceo says lithium division will see lower financial performance in 2020 vs 2019 due to pricing pressure,alb
93,2019-11-07 10:07:00-05:00,"albemarle corp says in 'active discussions' with customers on price, timing and other facets of long-term contracts; has started talks to sell fine chemistry services and performance catalyst solutions businesses",alb
94,2019-11-06 16:20:00-05:00,albemarle sees fy19 adj. eps 6.00-$6.20 vs $6.12 est.,alb
95,2019-11-06 16:20:00-05:00,"albemarle q3 adj. eps $1.53 misses $1.57 estimate, sales $879.7m miss $890.57m estimate",alb
96,2019-11-06 04:13:00-05:00,"earnings scheduled for november 6, 2019",alb
97,2019-11-01 13:52:00-04:00,albemarle shares are trading higher after the company announced the completion of lithium jv with mineral resources limited.,alb
98,2019-11-01 03:55:00-04:00,albemarle announces completion of lithium jv with mineral resources limited,alb
99,2019-10-29 12:41:00-04:00,"jim cramer weighs in on wendy's, cme group and more",alb
100,2019-10-28 09:58:00-04:00,"benzinga's top upgrades, downgrades for october 28, 2019",alb
101,2019-10-28 07:03:00-04:00,bank of america downgrades albemarle to underperform,alb
102,2019-10-25 09:28:00-04:00,10 biggest price target changes for friday,alb
103,2019-10-25 08:44:00-04:00,17 stocks moving in friday's pre-market session,alb
104,2019-10-25 08:37:00-04:00,"bmo capital maintains outperform on albemarle, lowers price target to $80",alb
105,2019-10-25 08:14:00-04:00,"wells fargo maintains market perform on albemarle, lowers price target to $65",alb
106,2019-10-25 07:27:00-04:00,albemarle shares are trading lower after the company cut its fy19 eps and sales guidance. the company also issued q3 sales guidance below analyst estimates.,alb
107,2019-10-24 17:18:00-04:00,albemarle sees prelim. adj. q3 eps $1.53 vs $1.62 est.,alb
108,2019-10-24 17:17:00-04:00,"albemarle cuts prelim. fy19 adj. eps from $6.25-$6.65 to $6.00-$6.20 vs $6.27 est., cuts prelim. sales guidance from $3.65b-$3.85b to $3.6b-$3.7b vs $3.63b est.",alb
109,2019-10-21 10:31:00-04:00,shares of several basic material companies are trading higher on renewed trade optimism. white house economic advisor larry kudlow said the december tariffs could be removed if u.s.-china trade talks go well.,alb
110,2019-10-16 14:57:00-04:00,"benzinga's top upgrades, downgrades for october 16, 2019",alb
111,2019-10-16 06:59:00-04:00,"wells fargo initiates coverage on albemarle with market perform rating, announces $75 price target",alb
112,2019-10-11 10:06:00-04:00,shares of several basic material companies are trading higher after president trump made positive remarks on the u.s.-china trade talks as traders grew more optimistic over the possibility of a limited trade deal. trump is scheduled to meet with chinese vice premier liu he at the white house today.,alb
113,2019-10-09 08:26:00-04:00,"citigroup maintains neutral on albemarle, lowers price target to $73",alb
114,2019-10-08 11:30:00-04:00,"shares of several basic material companies are trading lower as optimism around the upcoming u.s.-china trade talks waned. a report says china is toning down its expectations of the meeting. the u.s. expanded its trade blacklist, and scheduled an increase in tariffs on $250 billion worth of chinese goods from 25% to 30% on oct. 15, which will go into effect if no progress is made.",alb
115,2019-10-03 08:36:00-04:00,"buckingham maintains neutral on albemarle, lowers price target to $75",alb
116,2019-10-02 08:36:00-04:00,"ubs maintains buy on albemarle, lowers price target to $105",alb
117,2019-09-12 09:39:00-04:00,"gabelli & co. initiates coverage on albemarle with buy rating, announces $109 price target",alb
118,2019-08-12 09:14:00-04:00,"bank of america reiterates buy on albemarle, lowers price target to $83",alb
119,2019-08-09 09:46:00-04:00,"oppenheimer maintains outperform on albemarle, lowers price target to $128",alb
120,2019-08-09 09:26:00-04:00,"suntrust robinson humphrey maintains buy on albemarle, lowers price target to $100",alb
121,2019-08-08 14:17:00-04:00,albemarle shares are trading higher after the company reported better-than-expected q2 eps results. the company also raised fy19 eps guidance above analyst estimates.,alb
122,2019-08-07 16:21:00-04:00,albemarle raises fy19 adj. eps guidance from $6.10-$6.50 to $6.25-$6.65 vs $6.18 estimate,alb
123,2019-08-07 16:20:00-04:00,"albemarle q2 eps $1.55 beats $1.44 estimate, sales $885.1m miss $892.37m estimate",alb
124,2019-08-07 04:43:00-04:00,"earnings scheduled for august 7, 2019",alb
125,2019-08-01 11:07:00-04:00,"jim cramer advises his viewers on colgate-palmolive, banco santander and more",alb
126,2019-06-11 09:50:00-04:00,albemarle corp executive says company sees demand for lithium remaining strong; says company continues to expect annual global lithium demand will hit 1 million tonnes by 2025,alb
127,2019-05-14 11:59:00-04:00,"top 10 most oversold stocks via benzinga pro's radar tool for tue., may 14, 2019",alb
128,2019-05-13 12:44:00-04:00,"albemarle option alert: jan, 2021 $75 calls at the ask: 809 @ $10.0 vs 2743 oi; ref=$69.53",alb
129,2019-05-08 17:05:00-04:00,"albemarle reaffirms fy19 guidance; sees adj. eps $6.10-$6.50 vs $6.21 est., sales $3.65b-$3.85b vs $3.68b est.",alb
130,2019-05-08 16:33:00-04:00,albemarle shares are trading higher after the company reported better-than-expected q1 eps and sales results.,alb
131,2019-05-08 16:16:00-04:00,"albemarle q1 eps $1.26 beats $1.25 estimate, sales $832.064m beat $817.04m estimate",alb
132,2019-05-08 09:15:00-04:00,q1 earnings preview for albemarle,alb
133,2019-05-08 04:39:00-04:00,"earnings scheduled for may 8, 2019",alb
134,2019-04-12 10:42:00-04:00,update: morgan stanley remains bearish on lithium prices following trip to chile; reduces sociedad quimica y minera target from $44 to $35,alb
135,2019-04-12 10:40:00-04:00,morgan stanley remains underweight on sociedad quimica and albemarle after firm returned from chile after meeting with sociedad and industry contacts 'less optimistic about both the possibility of an early lease renewal and the pace of sqm's expansion',alb
136,2019-04-12 09:46:00-04:00,"keybanc maintains overweight on albemarle, lowers price target to $110",alb
137,2019-04-05 11:38:00-04:00,"albemarle shares spike 0.7% amid reuters report us gov't officials plan to meet with execs from automakers, lithium miners in early may as part of an effort to launch a national electric vehicle supply chain strategy",alb
138,2019-04-05 11:37:00-04:00,"shares of albermarle corp trading at the highs as reuters reports u.s. officials, automakers, lithium miners to meet in may to plan national ev supply chain stategy",alb
139,2019-04-04 07:29:00-04:00,"jim cramer gives his opinion on nokia, salesforce and more",alb
140,2019-03-29 10:36:00-04:00,10 biggest price target changes for friday,alb
141,2019-03-29 07:53:00-04:00,"buckingham maintains neutral on albemarle, lowers price target to $88",alb
142,2019-03-28 16:16:00-04:00,albemarle sees q1 adj. eps $1.20-$1.25 vs $1.33 estimate,alb
143,2019-03-28 16:16:00-04:00,"albemarle sees q1 shift of 3-3.5k tons volume, will impact sales $40m-$45m, ebitda $15m-$18m",alb
144,2019-03-28 16:15:00-04:00,albemarle reaffirms fy18 guidance,alb
145,2019-02-26 17:38:00-05:00,albemarle raises quarterly dividend from $0.335 to $0.3675/share,alb
146,2019-02-25 09:52:00-05:00,"deutsche bank maintains hold on albemarle, raises price target to $95",alb
147,2019-02-22 05:02:00-05:00,65 biggest movers from yesterday,alb
148,2019-02-21 13:24:00-05:00,50 stocks moving in thursday's mid-day session,alb
149,2019-02-21 12:34:00-05:00,albemarle shares unaffected as jefferies cuts price target from $150 to $137 in mid-day note; maintains buy rating,alb
150,2019-02-21 08:48:00-05:00,albemarle shares are trading higher after the company beat q4 eps and sales estimates; the company also issued fy19 guidance inline with estimates.,alb
151,2019-02-21 08:09:00-05:00,31 stocks moving in thursday's pre-market session,alb
152,2019-02-21 04:44:00-05:00,"11 stocks to watch for february 21, 2019",alb
153,2019-02-20 17:11:00-05:00,5 stocks moving in wednesday's after-hours session,alb
154,2019-02-20 17:08:00-05:00,albemarle shares are trading higher after the company beat q4 eps and sales estimates; the company also issued fy19 guidance inline with estimates.,alb
155,2019-02-20 16:23:00-05:00,albemarle sees fy19 adj eps $6.10-$6.50 vs $6.14 estimate,alb
156,2019-02-20 16:22:00-05:00,"albemarle q4 eps $1.53 beats $1.47 estimate, sales $921.699m beat $894.83m estimate",alb
157,2019-02-20 07:38:00-05:00,a preview of albemarle's q4 earnings,alb
158,2019-02-20 04:04:00-05:00,"earnings scheduled for february 20, 2019",alb
159,2019-02-05 10:11:00-05:00,8 biggest price target changes for tuesday,alb
160,2019-02-05 09:08:00-05:00,"benzinga's top upgrades, downgrades for february 5, 2019",alb
161,2019-02-05 06:30:00-05:00,"citigroup downgrades albemarle to neutral, lowers price target to $81",alb
162,2019-01-25 08:03:00-05:00,21 stocks moving in friday's pre-market session,alb
163,2019-01-24 16:16:00-05:00,update: albemarle says corfo will not file previously-disclosed arbitration claim,alb
164,2019-01-24 16:15:00-05:00,albemarle reports resolution with corfo in chile,alb
165,2019-01-24 15:27:00-05:00,albemarle and chile govt reach agreement in lithium dispute,alb
166,2019-01-15 09:39:00-05:00,10 biggest price target changes for tuesday,alb
167,2019-01-15 09:23:00-05:00,"update: nomura downgrades livent and albemarle as firm expects 'price data points to surprise negatively in coming months, although we see alb's and lthm's own asp's doing better than the overall market'",alb
168,2019-01-15 09:08:00-05:00,"benzinga's top upgrades, downgrades for january 15, 2019",alb
169,2019-01-15 06:44:00-05:00,"nomura downgrades albemarle to neutral, lowers price target to $85",alb
170,2019-01-04 05:35:00-05:00,58 biggest movers from yesterday,alb
171,2019-01-03 12:27:00-05:00,44 stocks moving in thursday's mid-day session,alb
172,2019-01-03 10:58:00-05:00,albemarie shares are trading lower after berenberg downgraded the stock from buy to hold.,alb
173,2019-01-03 09:09:00-05:00,"benzinga's top upgrades, downgrades for january 3, 2019",alb
174,2019-01-03 07:33:00-05:00,berenberg downgrades albemarle to hold,alb
175,2019-01-02 06:35:00-05:00,albemarle begins earthworks at kemerton project,alb
176,2018-12-27 15:59:00-05:00,chile to delay arbitration procedures against top lithium producer albermarle in anticipation of new offer,alb
177,2018-12-20 11:33:00-05:00,"stocks which set new 52-week low yesterday, tues., dec. 20, 2018",alb
178,2018-12-17 11:48:00-05:00,"stocks which set new 52-week low last trading session, fri., dec. 14, 2018",alb
179,2018-12-14 06:06:00-05:00,albemarle reports deal with mineral sources limited to form lithium jv in western australia,alb
180,2018-12-12 11:15:00-05:00,"stocks that will be trading ex dividend thurs., dec. 13, 2018",alb
181,2018-12-10 09:51:00-05:00,"benzinga's top upgrades, downgrades for december 10, 2018",alb
182,2018-12-10 07:40:00-05:00,"hsbc upgrades albemarle to buy, announces $112.50 price target",alb
183,2018-12-05 16:43:00-05:00,albemarle pressing chile to reverse lithium quota decision,alb
184,2018-12-03 09:34:00-05:00,"benzinga's top upgrades, downgrades for december 3, 2018",alb
185,2018-12-03 08:49:00-05:00,"hsbc initiates coverage on albemarle with hold rating, announces $112.50 price target",alb
186,2018-11-28 14:23:00-05:00,albemarle exec eric norris speaking at citi's basic materials battery value chain conference: global lithium demand forecast is probably biased upwards from feb. forecast for lithium demand of 800k tonnes by 2025,alb
187,2018-11-26 11:19:00-05:00,chile says it will file an arbitration case against albemarle related to a contract by december 15th,alb
188,2018-11-21 06:02:00-05:00,"albemarle reports purchase of 50% interest in 50/50 joint venture with mineral resources limited to own, operate wodgina hard rock lithium mine for $1.15b",alb
189,2018-11-15 16:47:00-05:00,"albemarle launches innovative xplore platform and its first product, kf 787 pulsar",alb
190,2018-11-15 09:55:00-05:00,"buckingham initiates coverage on albemarle with neutral rating, announces $106 price target",alb
191,2018-11-13 07:04:00-05:00,chile environmental regulators reject albemarle plans to boost lithium output,alb
192,2018-11-08 07:38:00-05:00,"jim cramer shares his thoughts on albermarle, cisco and more",alb
193,2018-11-07 16:29:00-05:00,"albemarle reaffirms fy18 guidance of adj. eps $5.30-$5.50 vs $5.39 est., sales $3.3b-$3.5b vs $3.38b est.",alb
194,2018-11-07 16:27:00-05:00,"albemarle q3 adj. eps $1.31 beats $1.25 estimate, sales $777.75m miss $796.65m estimate",alb
195,2018-11-07 07:32:00-05:00,q3 earnings preview for albemarle,alb
196,2018-11-07 03:51:00-05:00,"earnings scheduled for november 7, 2018",alb
197,2018-10-17 16:00:00-04:00,chilean government says to seek international arbitration over lithium miner albemarle's alleged failure to adhere to contract news,alb
198,2018-10-17 15:41:00-04:00,"albemarle shares down ~0.6% over last few mins amid report co., chilean corfo fail to reach deal related to lithium price",alb
199,2018-09-27 13:26:00-04:00,"albemarle ceo luke kissam, speaking in interview, says sees co.'s sole focus could eventually be lithium operations",alb
200,2018-09-25 09:41:00-04:00,"vertical research initiates coverage on albemarle with sell rating, announces $85 price target",alb
201,2018-09-14 07:09:00-04:00,"stocks trading ex dividend for thurs., sep. 13, 2018",alb
202,2018-09-13 09:42:00-04:00,"stocks trading ex dividend for thurs., sep. 13, 2018",alb
203,2018-09-05 10:22:00-04:00,albemarle eyeing fmc corp. 'if its ipo [of lithium business] stumbles,alb
204,2018-09-04 09:18:00-04:00,"suntrust robinson humphrey upgrades albemarle to buy, raises price target to $115",alb
205,2018-08-30 10:50:00-04:00,albemarle option alert: sep 21 $95 puts sweep (24) near the bid: 900 @ $2.0 vs 2709 oi; ref=$95.57,alb
206,2018-08-30 04:18:00-04:00,albemarle investing millions of dollars to engineer specialized types of lithium for electric car batteries,alb
207,2018-08-08 10:19:00-04:00,albemarle shares are up 7.1% after the company beat q2 earnings estimates and raised its 2018 guidance.,alb
208,2018-08-08 09:58:00-04:00,"albemarle sees global lithium demand of 800k metric tons by 2025, ceo sees no scenario where contract lithium pricing could fall significantly in the next several years",alb
209,2018-08-08 09:50:00-04:00,albemarle in china expects to see an increases in lithium hydroxide demand due to rising ev adoption,alb
210,2018-08-07 16:19:00-04:00,"update: albemarle raises fy18 adj. eps guidance from $5.10-$5.40 to $5.30-$5.50 vs $5.27 estimate, sales $3.3b-$3.5b vs $3.32b est.",alb
211,2018-08-07 16:19:00-04:00,albemarle raises fy18 guidance,alb
212,2018-08-07 16:19:00-04:00,"albemarle q2 eps $1.36 beats $1.28 estimate, sales $853.874m beat $798.22m estimate",alb
213,2018-08-07 04:49:00-04:00,"earnings scheduled for august 7, 2018",alb
214,2018-07-25 06:48:00-04:00,"albemarle corporation announces netha johnson as president, bromine specialties",alb
215,2018-07-25 06:47:00-04:00,"albemarle announces that eric norris becomes president, lithium",alb
216,2018-07-25 04:22:00-04:00,"head of tesla supplier albermarle corp's lithium unit, john mitchell to leave; to be replaced by eric norris on august 1",alb
217,2018-07-11 07:48:00-04:00,"jim cramer weighs in on albemarle, paypal, goodyear and more",alb
218,2018-07-03 09:00:00-04:00,"benzinga's top upgrades, downgrades for july 3, 2018",alb
219,2018-07-03 06:34:00-04:00,goldman sachs upgrades albemarle to buy,alb
220,2018-07-01 16:56:00-04:00,a 2018 midyear update: the 10 worst-performing s&p 500 stocks,alb
221,2018-05-14 17:43:00-04:00,albemarle earlier after-hours 8-k showed news of $250m uncollared accelerated buyback plan via jp morgan chase bank,alb
222,2018-05-09 16:54:00-04:00,"albemarle sees fy18 eps $5.10-$5.40 vs $5.17 est., sales $3.2b-$3.4b vs $3.3b est.",alb
223,2018-05-09 16:53:00-04:00,"albemarle q1 eps $1.30 beats $1.21 estimate, sales $821.629m beat $803.36m estimate",alb
224,2018-05-09 04:05:00-04:00,"earnings scheduled for may 9, 2018",alb
225,2018-05-08 08:03:00-04:00,28 stocks moving in tuesday's pre-market session,alb
226,2018-04-24 16:25:00-04:00,"albemarle, dupont to collaborate on hydroprocessing",alb
227,2018-04-13 09:36:00-04:00,citigroup upgrades albemarle to buy,alb
228,2018-04-12 07:52:00-04:00,"keybanc maintains overweight on albemarle, lowers price target to $140.00",alb
229,2018-04-10 08:47:00-04:00,"citigroup maintains neutral on albemarle, lowers price target to $95.00",alb
230,2018-04-03 12:15:00-04:00,"stocks that made new 52-wk lows today include: incyte, merck, mallinckrodt, celgene, cerner, willams cos., amd, albemarle, kinder morgan, western union, walgreens, kraft heinz, nielsen, and alliance data systems",alb
231,2018-04-01 10:00:00-04:00,the s&p 500's biggest gainers and losers in a turbulent first quarter,alb
232,2018-03-27 09:28:00-04:00,argus lowers albemarle from $148 to $125 as the firm cuts five-year eps growth forecast from 17% to 15%; says co. may be negatively impacted as sociedad quimica resolved a payment dispute with the chilean govt. which will allow them to boost lithium prod.,alb
233,2018-03-20 12:42:00-04:00,recent strength in albemarle and cigna being attributed to unusual options mention by najarian on cnbc halftime report,alb
234,2018-03-19 07:47:00-04:00,the long-term view on lithium,alb
235,2018-03-09 16:05:00-05:00,"albemarle corporation receives increase in lithium quota to as much as 145,000 metric tons for its chile operations",alb
236,2018-03-05 07:33:00-05:00,"benzinga's bulls & bears of the week: fitbit, ge, intel, target, walmart and more",alb
237,2018-03-02 08:04:00-05:00,"bmo capital maintains outperform on albemarle, lowers price target to $130.00",alb
238,2018-03-02 07:13:00-05:00,"jim cramer weighs in on albemarle, square and more",alb
239,2018-03-01 08:29:00-05:00,"citigroup maintains neutral on albemarle, lowers price target to $112.00",alb
240,2018-03-01 06:18:00-05:00,"keybanc maintains overweight on albemarle, lowers price target to $148.00",alb
241,2018-02-28 14:30:00-05:00,mid-afternoon market update: student transportation rises on acquisition news; frontier communications shares plunge,alb
242,2018-02-28 12:10:00-05:00,mid-day market update: huron consulting falls after downbeat q4 results; phh shares surge,alb
243,2018-02-28 10:16:00-05:00,mid-morning market update: markets open higher; lowe's profit misses views,alb
244,2018-02-27 16:25:00-05:00,"albermarle sees fy18 adj. eps $5-$5.40 vs $5.14 est., sales $3.2b-$3.4b vs $3.24b est.",alb
245,2018-02-27 16:24:00-05:00,"albemarle reports q4 adj. eps $1.34 vs $1.21 est., sales $857.8m vs $795.5m est.",alb
246,2018-02-27 10:39:00-05:00,albemarle q4 earnings preview,alb
247,2018-02-27 09:22:00-05:00,"benzinga's top upgrades, downgrades for february 27, 2018",alb
248,2018-02-27 07:40:00-05:00,"berenberg initiates coverage on albemarle with buy rating, announces $150.00 price target",alb
249,2018-02-27 04:58:00-05:00,38 biggest movers from yesterday,alb
250,2018-02-27 04:33:00-05:00,"12 stocks to watch for february 27, 2018",alb
251,2018-02-27 04:01:00-05:00,"earnings scheduled for february 27, 2018",alb
252,2018-02-26 12:25:00-05:00,28 stocks moving in monday's mid-day session,alb
253,2018-02-26 09:51:00-05:00,"benzinga's top upgrades, downgrades for february 26, 2018",alb
