idx,headline,date,ticker,source
67,is samsung the next blackberry?,2014-12-05 15:30:00-05:00,alb,Kaggle
68,blackberry ceo chen says he hopes to build a bigger ecosystem with samsung,2014-11-13 15:18:00-05:00,alb,Kaggle
69,blackberry to offer security system on samsung smartphones,2014-11-13 13:01:00-05:00,alb,Kaggle
70,citron research @citronresearch $bbry all systems a go for mr. chen.  new deal with samsung makes citron feel confident about our near term $15 target. new 52 week high,2014-11-13 12:26:00-05:00,alb,Kaggle
71,blackberry and samsung partner to provide end-to-end security for android,2014-11-13 12:02:00-05:00,alb,Kaggle
72,"update: blackberry, samsung will sell each other's mobile security technology",2014-11-13 12:02:00-05:00,alb,Kaggle
73,"blackberry issues handful of press releases disclosing new partnerships, will work with brightstar, salesforce, samsung",2014-11-13 12:00:00-05:00,alb,Kaggle
74,dow jones reports samsung close to device order from nsa,2014-02-12 14:00:00-05:00,alb,Kaggle
75,latest data shows apple and samsung pulling ahead in smartphone wars,2013-11-06 08:35:00-05:00,alb,Kaggle
76,hearing samsung says they are not considering blackberry acquisition,2013-10-07 08:04:00-04:00,alb,Kaggle
77,update: on monday a leaked tv ad reportedly showed bbm is coming to samsung galaxy phones,2013-08-27 10:37:00-04:00,alb,Kaggle
78,"new report shows samsung tops apple in customer satisfaction (aapl, ssnlf)",2013-08-02 07:31:00-04:00,alb,Kaggle
79,samsung reportedly close to mobile deals with fbi and navy -wsj,2013-07-19 06:27:00-04:00,alb,Kaggle
80,"blackberry's a10 to compete with samsung's galaxy note iii (bbry, ssnlf)",2013-07-12 12:40:00-04:00,alb,Kaggle
81,"samsung falling victim to same economic headwinds as apple (aapl, ssnlf)",2013-07-05 09:45:00-04:00,alb,Kaggle
82,investors flee from samsung on lower sales expectations,2013-06-07 08:59:00-04:00,alb,Kaggle
83,will samsung top apple in china during q2?,2013-05-28 15:02:00-04:00,alb,Kaggle
84,"apple is losing $6 billion annually to blackberry, samsung",2013-05-16 14:50:00-04:00,alb,Kaggle
85,did blackberry photobomb the samsung galaxy mega?,2013-04-11 15:19:00-04:00,alb,Kaggle
86,"samsung's u.s. boutiques invade apple territory, but could save best buy",2013-04-04 13:05:00-04:00,alb,Kaggle
87,"comscore says apple had 38.9% of us smartphone subscriber market in feb, samsung had 21.3%, htc had 9.3%",2013-04-04 12:16:00-04:00,alb,Kaggle
88,samsung to provide 30% of all phones shipped in 2013,2013-04-03 11:00:00-04:00,alb,Kaggle
89,apple and samsung's biggest competitor arrives this week,2013-03-25 18:49:00-04:00,alb,Kaggle
90,apple's iphone 5 is 50% slower than samsung's galaxy s iv,2013-03-20 11:46:00-04:00,alb,Kaggle
91,uh-oh - apple is really mad at samsung and blackberry now,2013-03-19 14:45:00-04:00,alb,Kaggle
92,"analyst: samsung's galaxy s iv was ""overhyped, under delivered""",2013-03-15 17:09:00-04:00,alb,Kaggle
93,can the samsung galaxy s4 break the blackberry-apple stranglehold on business customers?,2013-03-15 14:44:00-04:00,alb,Kaggle
94,samsung is launching an assault on the enterprise mobile market,2013-02-28 08:40:00-05:00,alb,Kaggle
95,"samsung introduces its first divx certifiedmp3 player at ifa 2009 along with divx, inc. (divx)",2009-09-03 07:23:00-04:00,alb,Kaggle
96,"baidu, samsung electronics ready for production of leading-edge ai chip for early next year",2019-12-18 05:17:00-05:00,alb,Kaggle
97,biogen announces proposed transaction with samsung bioepis to secure exclusive rights to two ophthalmology biosimilars,2019-11-06 07:35:00-05:00,alb,Kaggle
98,"biogen, samsung bioepis announce european launch of imraldi",2018-10-17 04:22:00-04:00,alb,Kaggle
99,"biogen exercises option to increase ownership in samsung bioepis, biogen will pay samsung biologics ~$700m to increase its ownership in samsung bioepis to ~49.9%; transaction to close 2h of 2018",2018-06-28 16:09:00-04:00,alb,Kaggle
100,"samsung bioepis and biogen announce pooled analysis results of anti-tnf biosimilars benepali, flixabi and imraldi",2018-06-13 08:04:00-04:00,alb,Kaggle
101,mizuho: samsung bioepis renegotiation 'a positive' for biogen,2018-04-11 12:09:00-04:00,alb,Kaggle
102,"update: mizuho says alleged negotiation between biogen, samsung 'hasn't hit many investors' inboxes...so we're putting everything here'",2018-04-11 10:54:00-04:00,alb,Kaggle
103,update: mizuho highlights business korea article describing samsung group negotiation with biogen to buy stake or part of samsung bioepis,2018-04-11 10:53:00-04:00,alb,Kaggle
104,"biogen shares up 1.3%; asian publications overnight discussed 'samsung begins talks with biogen to secure control of biosimilar joint venture'; bz note: biogen announced last thurs. commercialization deal with samsung bioepis, abbvie for imraldi",2018-04-11 10:51:00-04:00,alb,Kaggle
106,"biogen, samsung jv announces etanercept biosimilar referencing enbrel, benepali, approved in eu",2016-01-17 09:18:00-05:00,alb,Kaggle
107,samsung-biogen biosimilar for amgen's enbrel could receive ema recommendation this week -reuters,2015-11-18 05:13:00-05:00,alb,Kaggle
108,biogen reports samsung bioepis drugs well tollerated,2015-06-10 06:04:00-04:00,alb,Kaggle
109,"biogen idec, samsung bioepis to market anti-tnf biosimilar product candidates in europe ",2013-12-17 05:44:00-05:00,alb,Kaggle
110,samsung biologics and biogen idec announce formation of biosimilars joint venture samsung bioepis,2012-02-28 07:17:00-05:00,alb,Kaggle
111,samsung and barnes & noble introduce new large screen samsung galaxy tab 4 nook,2014-10-22 08:32:00-04:00,alb,Kaggle
112,barnes & noble's nook launches co-branded tablet with samsung,2014-09-09 08:36:00-04:00,alb,Kaggle
113,"samsung, barnes & noble unveil new samsung galaxy tab 4 nook, priced at $179 following rebate",2014-08-20 09:35:00-04:00,alb,Kaggle
114,barnes and nobel and samsung to collaborate on tablet,2014-06-05 08:31:00-04:00,alb,Kaggle
115,"blackrock reports its real assets unit reached deal with consortium of samsung securities as financial investor, samchully asset as asset manager with schroder aida for sale of 14 operating solar projects in france, no terms disclosed",2018-12-04 10:21:00-05:00,alb,Kaggle
116,"bristol-myers squibb, samsung biologics expand manufacturing agreement ",2014-04-22 19:06:00-04:00,alb,Kaggle
117,bristol-myers squibb and samsung biologics announce biopharmaceutical manufacturing relationship ,2013-07-29 07:31:00-04:00,alb,Kaggle
118,shares of broadcom down 4% as traders passing around barclays note suggesting samsung's galaxy s4 mini includes qualcomm chips,2013-07-17 09:46:00-04:00,alb,Kaggle
120,hearing otr global says broadcom has displaced nxp semiconductor for near field communication chip in samsung galaxy s4,2013-03-01 09:35:00-05:00,alb,Kaggle
121,barron's recap: time to buy samsung,2014-10-12 11:35:00-04:00,alb,Kaggle
122,china bak successfully passes samsung factory audit,2011-06-30 08:14:00-04:00,alb,Kaggle
123,"the market in 5 minutes: alabama, saban win historic national title, samsung's record quarter, under armour downgrade",2018-01-09 09:01:00-05:00,alb,Kaggle
124,rumor of china telecom releasing high-end samsung smartphone -marbridge daily,2012-11-13 08:19:00-05:00,alb,Kaggle
125,"samsung retains top smartphone share in china, apple remains number two",2012-05-23 07:02:00-04:00,alb,Kaggle
127,cinedigm partners with samsung to give viewers access to digital-first networks contv and dove channel,2018-12-18 09:16:00-05:00,alb,Kaggle
128,"cheetah mobile, samsung announce collaboration",2015-03-02 05:54:00-05:00,alb,Kaggle
129,"comcast announces its xfinity mobile segment will carry samsung's galaxy note8, in-stores sept. 15",2017-08-23 11:45:00-04:00,alb,Kaggle
130,warren buffett still prefers burgers and iphones to tacos and samsungs,2018-02-26 11:20:00-05:00,alb,Kaggle
131,techfaith files patent infringement suit against samsung ,2012-10-24 05:59:00-04:00,alb,Kaggle
132,spansion and samsung announce patent litigation settlement and cross-licensing agreement,2011-06-20 08:02:00-04:00,alb,Kaggle
134,cray announces samsung purchase cray cs-storm accelerated cluster supercomputer,2017-11-14 04:10:00-05:00,alb,Kaggle
135,samsung considering unpaid leave for led staff as worldwide led market suffers from oversupply -digitimes,2016-01-05 05:16:00-05:00,alb,Kaggle
137,"soft apple, samsung handset demand a common theme across semiconductor stocks, keybanc says in earnings preview",2018-04-30 10:39:00-04:00,alb,Kaggle
138,"otr out negative on cirrus logic, sees dollar content loss expected as samsung brings dsp function in-house",2017-01-25 09:54:00-05:00,alb,Kaggle
139,dougherty says cirrus logic likely to have won a samsung contract,2016-12-06 15:23:00-05:00,alb,Kaggle
141,"northland warning on crus, believes co lost samsung galaxy 7 following qcom displacement",2015-10-02 10:17:00-04:00,alb,Kaggle
142,hearing samsung to offer bid for cirrus logic,2011-07-27 11:17:00-04:00,alb,Kaggle
143,"samsung, canadian solar plant to creates 200 jobs",2014-03-06 14:34:00-05:00,alb,Kaggle
144,samsung and canadian solar open solar manufacturing facility in london,2014-03-06 14:32:00-05:00,alb,Kaggle
145,samsung renewable energy signs manufacturing partnership agreement with canadian solar ,2013-06-26 11:06:00-04:00,alb,Kaggle
146,update: citigroup upgrades csr plc to neutral following samsung deal  ,2012-08-06 10:08:00-04:00,alb,Kaggle
147,"vmware, citrix issue separate press releases highlighting collaborations/partnerships with samsung",2017-03-29 11:00:00-04:00,alb,Kaggle
148,samsung anounces groundbreaking method to commercialize new material for electronics -samsung tomorrow blog; cvd equipment share move may be attributed to post,2014-04-04 11:01:00-04:00,alb,Kaggle
151,"amazon teams with samsung, warner bros., lionsgate and others to pioneer 4k ultra hd experience for customers ",2014-01-06 17:03:00-05:00,alb,Kaggle
152,tivo teams with samsung - analyst blog,2010-09-13 16:06:00-04:00,alb,Kaggle
153,"barron's picks and pans: ebay, shire, samsung and more",2016-10-10 08:10:00-04:00,alb,Kaggle
155,"samsung, amdocs partner to accelerate communications service providers' deployment of 5g open cloud networks",2019-09-09 06:07:00-04:00,alb,Kaggle
156,"shares of several semiconductor stocks are trading higher after amd announced a multi-year partnership with samsung for 'ultra low power, high performance mobile graphics ip based on amd radeon graphics technologies.'",2019-06-03 09:53:00-04:00,alb,Kaggle
158,mid-morning market update: crude oil down over 2.5%; harman shares surge following samsung bid,2016-11-14 12:08:00-05:00,alb,Kaggle
159,three companies samsung should buy,2012-09-28 10:15:00-04:00,alb,Kaggle
160,katzenberg's dreamworks animation (dwa) collaborates with samsung,2010-01-08 08:42:00-05:00,alb,Kaggle
161,"samsung heavy industries, technip, japan's jgc in talks to supply floating lng platform to eni's project in mozambique -reuters",2016-07-21 04:36:00-04:00,alb,Kaggle
164,apple sold $2 billion worth of iphones into samsung's user base,2015-03-31 15:35:00-04:00,alb,Kaggle
165,"ebay announces paypal now available with fingerprint authentication, app now available around the world on samsung galaxy s5, gear 2, gear fit",2014-04-11 10:54:00-04:00,alb,Kaggle
167,"ericsson, samsung reach agreement on global patent licenses ",2014-01-27 05:47:00-05:00,alb,Kaggle
168,"bloomberg reporting stmicro, ericsson said to fail to find buyer for chip venture, says samsung among buyers who declined offer",2013-03-12 12:20:00-04:00,alb,Kaggle
169,samsung files countercomplaint vs. ericsson with itc,2012-12-27 12:43:00-05:00,alb,Kaggle
170,"eros reports partnership with its now unit, samsung, no terms disclosed",2020-03-13 09:05:00-04:00,alb,Kaggle
171,"elbit systems' subsidiary, cyberbit, selected by samsung sds to provide advanced cyber security solutions; terms not disclosed",2016-11-16 04:12:00-05:00,alb,Kaggle
172,german appeals court reaffirms ban on samsung galaxy tab,2011-09-09 07:58:00-04:00,alb,Kaggle
173,south korea etf sort of endures samsung slide,2016-09-13 08:28:00-04:00,alb,Kaggle
175,samsung and the north: just two of the issues plaguing south korea etfs,2015-08-24 11:59:00-04:00,alb,Kaggle
176,fiat chrysler +8.7% premarket @ $6.61 following bloomberg report of talks to sell auto parts unit to samsung,2016-08-03 06:18:00-04:00,alb,Kaggle
177,fiat chrysler declines comment on report samsung in talks to acquire auto parts unit -reuters,2016-08-03 06:04:00-04:00,alb,Kaggle
178,samsung said to be in talks to acquire fiat assets -bloomberg,2016-08-03 05:58:00-04:00,alb,Kaggle
180,phoenix new media announces pre-installation agreement with samsung,2014-04-24 08:16:00-04:00,alb,Kaggle
182,"update: google says working with samsung, motorola, htc, lg, asus, fossil group to bring android watches to market later this year",2014-03-18 12:18:00-04:00,alb,Kaggle
183,samsung partners with 20th century fox to establish new uhd content ecosystem,2014-03-20 13:31:00-04:00,alb,Kaggle
185,"samsung signs content deals with amazon, netflix, fox",2014-01-06 17:01:00-05:00,alb,Kaggle
186,"technipfmc, samsung engineering awarded $4.2b contract for bapco sitra refinery expansion in bahrain",2017-12-04 04:20:00-05:00,alb,Kaggle
188,himax shares move to low; hearing analyst note says google testing samsung oled chipset for google glass,2014-06-02 10:10:00-04:00,alb,Kaggle
189,general dynamics' c4 systems announces strategic partnership for samsung mobile devices,2013-02-25 10:14:00-05:00,alb,Kaggle
191,"gaslog announces two further long-term charters with cheniere; to fulfill charters, two lng carriers have been ordered from samsung heavy industries",2018-12-26 06:50:00-05:00,alb,Kaggle
192,gaslog orders a newbuild lng carrier from samsung heavy industries,2018-03-12 08:21:00-04:00,alb,Kaggle
193,"gaslog orders a 180,000 cubic meter vessel from samsung heavy industries",2018-01-02 08:35:00-05:00,alb,Kaggle
194,gaslog orders lng carriers from samsung,2014-05-09 05:30:00-04:00,alb,Kaggle
195,"impact from samsung issues should be muted for best buy, gamestop",2016-10-12 09:17:00-04:00,alb,Kaggle
197,how does apple's iphone loyalty compare to samsung and google?,2019-07-31 12:55:00-04:00,alb,Kaggle
198,"update: google cloud announced 33 new partners, including jp morgan chase, dish, usa today, sprint, viacom, p&g, tyson foods, unilever, samsung, ups",2019-04-09 13:06:00-04:00,alb,Kaggle
201,samsung display said to have delivered samples of flexible displays for foldable phones to apple and google,2019-03-08 04:06:00-05:00,alb,Kaggle
202,samsung unveils new screen technology for foldable phones: infinity flex,2018-11-07 14:25:00-05:00,alb,Kaggle
203,google at conference says expect 'foldable products' from several android device makers; says working closely with samsung electronics on foldable phone for early 2019,2018-11-07 13:45:00-05:00,alb,Kaggle
204,huawei technologies and samsung electronics say demand for smartphones look sluggish going into christmas season,2018-10-11 15:12:00-04:00,alb,Kaggle
209,"jason picks the best deals for july 9: urbanears wireless headset, samsung fit2 pro smart band and more",2018-07-09 12:38:00-04:00,alb,Kaggle
214,fitbit ripe for takeover with samsung and apple's commitment to wearables,2016-06-24 08:13:00-04:00,alb,Kaggle
215,"update: idc data shows fitbit saw 158.8% yoy shipment volume growth, garmin growth 40%, samsung volume down ~25%",2015-08-27 08:46:00-04:00,alb,Kaggle
216,"update: idc data shows fitbit holding largest market share in wearables at 24.3%, apple second at 19.9%, xiaomi 17.1%, garmin 3.9%, samsung 3.3%",2015-08-27 08:42:00-04:00,alb,Kaggle
219,hearing harman holder planning to vote against sale to samsung,2016-12-14 14:48:00-05:00,alb,Kaggle
221,harman sharply higher off samsung bid,2016-11-14 10:09:00-05:00,alb,Kaggle
222,samsung electronics to acquire harman for $112.00/share in cash,2016-11-14 04:12:00-05:00,alb,Kaggle
223,home depot adds samsung to home appliance line-up,2012-12-04 09:24:00-05:00,alb,Kaggle
227,how apple can win its patent war against samsung,2013-01-16 14:13:00-05:00,alb,Kaggle
228,micron and samsung launch consortium to break down the memory wall  ,2011-10-06 15:05:00-04:00,alb,Kaggle
230,smsc inter-chip connectivity technology licensed by samsung   ,2011-10-13 08:00:00-04:00,alb,Kaggle
232,"ibm says co, samsung electronics announce new joint platform leveraging ibm cloud and ai capabilities, and samsung's mobile offerings; platform will help clients track worker's vitals, including heart rate and physical activity",2019-10-29 14:02:00-04:00,alb,Kaggle
233,ibm expands strategic partnership with samsung to include 7nm chip manufacturing,2018-12-20 09:06:00-05:00,alb,Kaggle
234,bofa: integrated device technology's samsung exposure could limit upside,2018-05-01 16:12:00-04:00,alb,Kaggle
236,"the deal tweets: eight: western digital $wdt could buy $idti if it finishes toshiba fight. so could samsung, nvidia. #dealeconomy",2017-11-30 12:40:00-05:00,alb,Kaggle
237,samsung says it has chosen integrated device technology for wireless charging in the galaxy s8 and s8+,2017-06-13 06:45:00-04:00,alb,Kaggle
238,integrated device technology announces its wireless charging technology used in samsung galaxy s7,2016-03-22 06:37:00-04:00,alb,Kaggle
240,samsung selects idt's low-power dual-port memory for galaxy tab. 10.1 lte tablet pc   ,2011-10-25 06:35:00-04:00,alb,Kaggle
241,"hearing chatter samsung to stream 3d videos in may, affecting imax corp (imax)",2011-04-15 13:08:00-04:00,alb,Kaggle
242,update: immunomedics is obligated to pay samsung each year from 2020 to 2025 greater of min. product purchase commitment as set forth in psa,2018-09-12 08:30:00-04:00,alb,Kaggle
243,"immunomedics and samsung biologics announce strategic manufacturing partnership, 
partnership involves commercial-scale production of hrs7, the antibody used in immunomedics' lead antibody-drug conjugate, sacituzumab govitecan",2018-09-12 08:03:00-04:00,alb,Kaggle
244,"mobile world congress americas continues today, day 2 of 3; attendees include samsung, semtech, and inseego",2018-09-13 05:51:00-04:00,alb,Kaggle
246,"barrington initiates coverage on invensense amid design wins with apple, samsung and xiaomi",2015-02-23 11:08:00-05:00,alb,Kaggle
247,"invensense shares up 4+% monday; note from craig-hallum suggests co. has won three new design wins related to nexus 5, kindle fire hd, samsung's smartwatch",2013-10-07 13:10:00-04:00,alb,Kaggle
248,apple's chief patent lawyer leaving company amidst lawsuits against samsung and htc,2011-07-12 15:49:00-04:00,alb,Kaggle
249,"spruce point capital tweets: amazon ""robotic vacuum"" search - best seller ecovacs, eufy + samsung ahead of $irbt #competition #negative #deflation @cnbcclosingbell",2017-07-27 15:16:00-04:00,alb,Kaggle
250,samsung extends its lead over apple,2012-11-14 11:29:00-05:00,alb,Kaggle
251,mobile phone sales decline 2.3% in q2; are apple and samsung doomed? ,2012-08-14 09:11:00-04:00,alb,Kaggle
252,samsung results could cut into apple's profits,2012-07-06 08:32:00-04:00,alb,Kaggle
253,"ic insights reports samsung, intel, taiwan semiconductor to account for 52% of semiconductor capex in 2014 -digitimes",2014-03-26 05:59:00-04:00,alb,Kaggle
254,"bloomberg earlier reported apple, samsung, roche holding will participate in fda pilot program for digital health software",2017-09-26 14:10:00-04:00,alb,Kaggle
255,"samsung, amazon — everyone is getting into pharmaceuticals",2017-07-27 08:36:00-04:00,alb,Kaggle
256,are the samsung m&a rumors true?,2011-12-01 14:52:00-05:00,alb,Kaggle
257,"keysight technologies, samsung report collaboration to validate dynamic spectrum sharing technology in chipmaker's new 5g modem, no terms disclosed",2020-02-04 11:00:00-05:00,alb,Kaggle
258,"keysight, samsung announce 5g collaboration",2017-02-27 04:08:00-05:00,alb,Kaggle
264,kt and samsung medical center earlier announce to build 5g smart hospital,2020-01-21 08:32:00-05:00,alb,Kaggle
265,the samsung galaxy s8 next gen smartphone now available to flow customers across the caribbean,2017-05-17 15:08:00-04:00,alb,Kaggle
266,"semileds shares up 28%, traders attributing strength to an earlier ledinside report titled, 'samsung researching possibility of combining quantum dot technology with micro led tvs'",2018-04-24 10:11:00-04:00,alb,Kaggle
267,semileds shares pop to high of $4.67 and halted on cb on unconfirmed chat room chatter of contract win with samsung,2018-02-02 12:15:00-05:00,alb,Kaggle
268,"record oled shipments in third quarter 2009, samsung telecommunication the market leader",2009-12-22 12:19:00-05:00,alb,Kaggle
270,"bloomberg reporting amazon teams with samsung, warner bros, lionsgate on 4k ultra",2014-01-06 17:02:00-05:00,alb,Kaggle
271,"lionsgate, samsung partner to expand availability of hig 3d content in home entertainment marketplace",2013-01-09 11:05:00-05:00,alb,Kaggle
274,"samsung provides google tv on its own terms (goog, intc, sne, logi)",2011-02-28 10:34:00-05:00,alb,Kaggle
275,lojack for android to be embedded in samsung galaxy s4's firmware -engadget,2013-05-22 11:38:00-04:00,alb,Kaggle
276,samsung display maintains top-vendor ranking in global small and medium-size panel market in q3; tianma optoelectronics narrows gap vs second-ranked lg display,2018-12-14 04:13:00-05:00,alb,Kaggle
277,apple relying solely on samsung for high-end smartphone displays due to production issues at lg,2018-04-20 06:42:00-04:00,alb,Kaggle
